Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-timestamp:3092859156]-tamper{TCP:dport:corrupt}(tamper{TCP:options-uto:corrupt},)-|[TCP:options-altchksumopt::2]-drop-|",1,[-1000]
-1000.0,[TCP:options-nop::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-tamper{TCP:options-sack:replace:}-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dataofs:replace:15}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:replace:727996007}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:replace:1215109147}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:options-sack:replace:}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-timestamp:1528041063]-tamper{TCP:ack:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-nop::0]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sackok::0]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:seq:2390211730:2]-fragment{ip:-1:True}(duplicate(,tamper{TCP:options-altchksumopt:corrupt}),fragment{tcp:-1:True})-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:load:__HTTP_REQUEST__:2]-|,1,[-1000]
