Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt::3]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-mss:replace:41021}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|[TCP:ack:492221780]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-uto:replace:107}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-timestamp:1445751528:0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:load:zngv1u3v8x]-tamper{TCP:sport:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-mss:10561]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:dataofs:8]-tamper{TCP:dataofs:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:24}(tamper{TCP:seq:replace:447821785}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:replace:59152}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:options-eol:replace:}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-nop::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:replace:53413}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:chksum:64107]-fragment{tcp:2:False:1}-|[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksum:140]-tamper{TCP:options-eol:replace:}-|,1,[-1000]
-1000.0,"[TCP:chksum:64107]-fragment{tcp:12:True}(,tamper{TCP:dataofs:replace:3})-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:window:40]-fragment{tcp:43:False}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:window:40]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol:]-|,1,[-1000]
-20.0,"[TCP:urgptr:6507]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:options-mss:19024:4]-tamper{TCP:window:replace:20}-|",1,[-20]
-20.0,"[TCP:sport:7356]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-timestamp:375392850:3]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:50706]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-timestamp:313268250]-drop-|",1,[-20]
-20.0,"[TCP:options-timestamp:2598997672]-tamper{TCP:load:corrupt}(tamper{TCP:dataofs:corrupt},)-|[TCP:urgptr:32520:2]-tamper{TCP:ack:replace:2966514707}-|",1,[-20]
-20.0,[TCP:chksum:8571]-drop-|[TCP:options-md5header:65d6603210cd8324bb29c1f0e02274ee]-duplicate-|,1,[-20]
-20.0,"[TCP:dport:40158]-fragment{tcp:-1:True}(,duplicate)-|[TCP:options-timestamp:1363982826]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,"[TCP:options-mss:41746:3]-tamper{TCP:options-uto:replace:187}(tamper{TCP:chksum:corrupt},)-|[TCP:window:30]-tamper{TCP:options-eol:corrupt}-|",1,[-20]
-20.0,"[TCP:load:fpa6nhhwpi]-tamper{TCP:dport:replace:37675}(tamper{TCP:reserved:replace:4},)-|[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:57200]-fragment{tcp:-1:True}(,fragment{tcp:-1:True})-|[TCP:options-uto:115]-duplicate-|",1,[-20]
-20.0,"[TCP:load:h7zvx8nhfo]-fragment{tcp:-1:False}(,tamper{TCP:flags:corrupt}(tamper{TCP:options-nop:replace:},))-|[TCP:options-wscale:246]-drop-|",1,[-20]
-20.0,"[TCP:options-mss:24553]-duplicate(,duplicate)-|[TCP:seq:2521286128]-duplicate-|",1,[-20]
-20.0,"[TCP:window:10]-tamper{TCP:seq:corrupt}(duplicate,)-|[TCP:options-md5header:d9726b066c38ea231f2493089b9acdd5]-tamper{TCP:window:replace:100}-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__:2]-fragment{tcp:-1:False}(,fragment{tcp:-1:False})-|[TCP:options-wscale:173]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:window:replace:40}(drop,)-|[TCP:chksum:51120]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:17809]-fragment{tcp:-1:True}(,tamper{TCP:load:corrupt})-|[TCP:window:170]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:ack:2675988094]-fragment{tcp:-1:False}(tamper{TCP:options-timestamp:replace:2382140124},)-|[TCP:options-md5header:933a4d4802f03262a79a44c17016caf3]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,[TCP:options-uto:33]-tamper{TCP:reserved:replace:0}-|[TCP:seq:878154054:3]-duplicate-|,1,[-20]
-20.0,"[TCP:options-altchksumopt::0]-tamper{TCP:reserved:replace:6}(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-md5header:9d3db6de61acfdecec1085f94e3bb279]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-uto:157:0]-duplicate(,drop)-|[TCP:options-md5header:d3dfb11acb80bc5832f0208c04990c60]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:59112]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:True},)-|[TCP:flags:RUEN:3]-tamper{TCP:options-mss:replace:6000}-|",1,[-20]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:True},)-|[TCP:ack:3612048705]-tamper{TCP:options-altchksum:replace:230}-|",1,[-10]
-10.0,"[TCP:flags:FPAUC]-tamper{TCP:load:replace:__HTTP_REQUEST__}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:48949]-duplicate(,tamper{TCP:ack:corrupt})-|",1,[-10]
-10.0,"[TCP:reserved:4]-tamper{TCP:seq:replace:2975533045}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3411712579:3]-tamper{TCP:chksum:replace:48195}(fragment{tcp:-1:True:5},)-|",1,[-10]
-10.0,[TCP:seq:946053956:1]-tamper{TCP:options-md5header:replace:44ab7e9e6d1a3b0cfb04db7c5b8677ac}-|,1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:flags:S]-duplicate(tamper{TCP:dataofs:replace:12},)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:flags:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:90:3]-tamper{TCP:flags:replace:FECN}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3869914069]-duplicate(tamper{TCP:options-sackok:corrupt},drop)-|",1,[-10]
-10.0,"[TCP:load:]-duplicate(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:seq:4258851560]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:ack:2289421433]-duplicate(,fragment{tcp:-1:False}(,tamper{TCP:urgptr:replace:16743}))-|",1,[-10]
-10.0,[TCP:urgptr:40858]-drop-|,1,[-10]
-10.0,"[TCP:options-altchksum:237]-tamper{TCP:options-uto:replace:234}(duplicate,)-|[TCP:options-altchksumopt:]-duplicate-|",1,[-10]
-10.0,[TCP:load::3]-drop-|,1,[-10]
-10.0,"[TCP:dport:44050:3]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,[TCP:dport:28773]-drop-|,1,[-10]
-10.0,"[TCP:seq:2603062828]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:ack:2722975999]-duplicate-|,1,[-10]
-10.0,"[TCP:window:50]-tamper{TCP:reserved:replace:0}(tamper{TCP:dport:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:urgptr:34654]-duplicate-|,1,[-10]
