Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:dport:7395]-drop-|[TCP:options-eol::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::2]-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-timestamp:926696888]-duplicate-|,1,[-1000]
-1000.0,[TCP:flags:PA:1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:550080865}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-drop-|[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:dataofs:3]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:reserved:corrupt}(tamper{TCP:window:replace:50},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:3932907597}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:ack:2840365947]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok::1]-|[TCP:options-sackok::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-sack::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-altchksum:corrupt}(tamper{TCP:ack:corrupt}(tamper{TCP:load:corrupt}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-mss:replace:30398}(fragment{tcp:-1:False},),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:flags:FRPUC]-fragment{tcp:30:False:15}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-md5header:5d6e9252e4568f4f423cbb601aff0f5e:4]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:flags:FRPUC]-tamper{TCP:window:replace:90}(fragment{tcp:54:False:31},)-|",1,[-1000]
-1000.0,"[TCP:options-sack::3]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-md5header:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-md5header:corrupt}(drop,),)-|",1,[-1000]
-20.0,"[TCP:options-altchksum:57:3]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-timestamp:2166738973]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:221]-tamper{TCP:options-mss:corrupt}(tamper{TCP:dataofs:replace:14}(duplicate,),)-|[TCP:flags:RUN:0]-tamper{TCP:options-altchksum:corrupt}-|",1,[-20]
-20.0,[TCP:options-uto:48:2]-drop-|[TCP:sport:40205]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-20]
-20.0,"[TCP:options-altchksum:210]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-timestamp:2975498801:3]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:185]-tamper{TCP:options-mss:replace:25424}(tamper{TCP:options-altchksumopt:corrupt},)-|[TCP:chksum:2263:3]-duplicate-|",1,[-20]
-20.0,"[TCP:options-altchksum:14]-tamper{TCP:options-sackok:replace:}(drop,)-|[TCP:seq:649438987]-drop-|",1,[-20]
-20.0,"[TCP:ack:2315871631]-fragment{tcp:-1:True}(tamper{TCP:load:corrupt},)-|[TCP:seq:3208512254]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,[TCP:options-altchksumopt::0]-drop-|[TCP:seq:3071196560]-tamper{TCP:chksum:replace:21904}-|,1,[-20]
-20.0,"[TCP:chksum:54670]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:seq:replace:3631398219},)-|[TCP:window:90]-tamper{TCP:options-eol:corrupt}-|",1,[-20]
-20.0,"[TCP:options-wscale:14]-duplicate(,fragment{tcp:-1:True})-|[TCP:load::4]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:14]-tamper{TCP:reserved:replace:3}(drop,)-|[TCP:seq:3739703166:1]-tamper{TCP:seq:replace:979747681}-|",1,[-20]
-20.0,"[TCP:dport:44814:3]-fragment{tcp:-1:True}(,drop)-|[TCP:chksum:7256]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:37135:2]-duplicate(,duplicate)-|[TCP:options-altchksum:71]-duplicate-|",1,[-20]
-20.0,[TCP:load:__DNS_REQUEST__]-drop-|[TCP:options-mss:47866:1]-fragment{tcp:-1:False}-|,1,[-20]
