Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-timestamp:3238578682]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:corrupt}(tamper{TCP:reserved:replace:0}(tamper{TCP:seq:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:2}(tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-wscale:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:urgptr:corrupt},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:dataofs:1]-fragment{tcp:14:False}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-uto:corrupt}(duplicate(tamper{TCP:options-md5header:replace:ca9a9c79da5e948b1402da7dd9f41f98}(duplicate,),),)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:seq:3056761877]-tamper{TCP:options-wscale:corrupt}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-uto:127]-tamper{TCP:options-nop:replace:}-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:load:corrupt}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-tamper{TCP:options-uto:replace:129}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack::0]-tamper{TCP:window:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-tamper{TCP:seq:replace:3184457311}-|[TCP:flags:PA]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-sack::0]-tamper{TCP:options-wscale:corrupt}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{ip:-1:True:17}(drop,drop)-|",1,[-1000]
