Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|[TCP:chksum:17407]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:seq:3205975685]-tamper{TCP:dataofs:replace:3}(duplicate,)-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::1]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:urgptr:replace:65515}(fragment{tcp:-1:True}(,tamper{TCP:options-sackok:corrupt}),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:flags:replace:FA}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-mss:replace:12546}(drop,),)-|[TCP:dport:18859]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-fragment{tcp:-1:True}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:reserved:0:0]-tamper{TCP:dport:replace:24832}(fragment{tcp:-1:False},)-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-mss:59649]-tamper{TCP:reserved:replace:3}(tamper{TCP:options-mss:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-md5header:replace:e6cf85edcb6a6b2279c1e7780ff2b004}(tamper{TCP:seq:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
