Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-timestamp:3227367767:2]-drop-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(drop,)-|[TCP:options-uto:81]-tamper{TCP:options-sack:corrupt}-|",1,[-1000]
-1000.0,"[TCP:ack:3553274000]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::2]-tamper{TCP:sport:replace:56490}(drop,)-|[TCP:dport:28463:0]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-sackok::1]-tamper{TCP:ack:replace:339053596}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:window:replace:190}(tamper{TCP:window:replace:110}(tamper{TCP:options-altchksum:replace:108}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:replace:60}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:ack:corrupt}(tamper{TCP:load:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:reserved:corrupt}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:window:corrupt}(tamper{TCP:flags:replace:SA},),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:window:corrupt}(tamper{TCP:seq:replace:1479129228}(tamper{TCP:options-sack:corrupt},),),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:seq:replace:1479129228}(tamper{TCP:chksum:replace:25687}(tamper{TCP:dataofs:corrupt},),),)-|[TCP:options-sack::1]-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-fragment{ip:-1:True}(,tamper{TCP:options-sack:replace:})-|[TCP:options-sackok:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:seq:replace:1479129228}(tamper{TCP:chksum:corrupt}(tamper{TCP:dataofs:corrupt},),),)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(tamper{TCP:reserved:replace:6}(tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-md5header:replace:6f3b12fbf91dae52ebf1751750864847}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:-1:True}(tamper{TCP:options-eol:replace:}(tamper{TCP:dataofs:replace:1},),tamper{TCP:options-sack:replace:})-|[TCP:options-altchksumopt::0]-tamper{TCP:window:corrupt}(tamper{TCP:seq:replace:1479129228},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:-1:True}(tamper{TCP:options-eol:replace:},tamper{TCP:sport:replace:27675})-|[TCP:options-altchksumopt::0]-tamper{TCP:options-eol:replace:}(tamper{TCP:seq:replace:1479129228},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:window:replace:90}(tamper{TCP:options-wscale:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:chksum:corrupt}(duplicate(fragment{tcp:-1:True},),),)-|[TCP:options-nop::0]-tamper{TCP:options-eol:replace:}-|[TCP:options-sack:]-drop-|[TCP:load:__DNS_REQUEST__]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|[TCP:options-nop::0]-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:replace:6506c52e51440e5c028988f50b690c2a}(tamper{TCP:reserved:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:replace:36899}(tamper{TCP:sport:replace:36036}(tamper{TCP:options-eol:replace:}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:urgptr:replace:36899}(tamper{TCP:chksum:replace:35876}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-md5header:159157ee72454c08535caaac167a7ba5:1]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop::0]-tamper{TCP:options-eol:replace:}-|,1,[-1000]
