Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:844727078}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::1]-tamper{TCP:seq:corrupt}(drop,)-|[TCP:flags:RPAUECN]-fragment{tcp:-1:True}-|",1,[-1000]
-1000.0,[TCP:options-md5header:9ba2798abfafdbea63050ad6d3e4ea69:2]-drop-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:73}(drop,)-|",1,[-1000]
-1000.0,[TCP:load:__DNS_REQUEST__]-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-eol::0]-fragment{tcp:-1:True}(tamper{TCP:reserved:corrupt},tamper{TCP:ack:replace:3984579248})-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:4658mddzjb}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:sport:replace:34643}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-eol::0]-duplicate(,fragment{tcp:-1:True:28})-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-md5header:ee5ec57d86c64c1bfbf098b691d90d9e:4]-fragment{tcp:41:True}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:chksum:54363:4]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:3}(tamper{TCP:load:corrupt}(drop,),)-|[TCP:ack:3175062431:1]-tamper{TCP:dataofs:corrupt}-|",1,[-1000]
-1000.0,[TCP:dataofs:3]-duplicate-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:True:42}-|[TCP:urgptr:11401:1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:RA}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-sack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
