Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:11625}(tamper{TCP:window:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:replace:31189}(tamper{TCP:load:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::3]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-mss:replace:3765}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-mss:replace:3765}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-mss:59808]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:dport:9533]-duplicate(tamper{TCP:options-nop:replace:},)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:options-md5header:corrupt}-|[TCP:options-altchksumopt::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:0}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:window:160:2]-duplicate(,tamper{TCP:options-md5header:corrupt})-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:sport:45434]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop::0]-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-tamper{TCP:options-wscale:corrupt}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(tamper{TCP:flags:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-drop-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-tamper{TCP:dport:replace:58205}-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:options-sack:corrupt}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:sport:31468]-fragment{ip:-1:True:5}(fragment{ip:-1:True:5}(,duplicate(tamper{TCP:seq:replace:3890885886},)),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-20.0,"[TCP:options-wscale:158]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:seq:1172255435]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:window:corrupt}(tamper{TCP:seq:replace:1778069533},)-|[TCP:reserved:7:4]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:FRCN]-fragment{tcp:-1:True}(duplicate,)-|[TCP:sport:41140:0]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:3861147668]-fragment{tcp:-1:False}(,tamper{TCP:reserved:replace:5})-|[TCP:reserved:6]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:window:90:3]-fragment{tcp:-1:False}(,duplicate)-|[TCP:load:42rgfcadmz]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:157]-fragment{tcp:-1:True}(tamper{TCP:urgptr:replace:6469},)-|[TCP:options-md5header:0c3c4314703d19cae32941477bef8fb3]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:5]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-md5header:corrupt},)-|[TCP:window:50]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:9]-duplicate(,fragment{tcp:-1:True})-|[TCP:window:180]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-altchksum:217]-duplicate(fragment{tcp:-1:False},)-|[TCP:reserved:4]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,[TCP:chksum:11601]-drop-|[TCP:seq:1793699422]-tamper{TCP:seq:corrupt}-|,1,[-20]
-20.0,"[TCP:chksum:64192:0]-tamper{TCP:seq:replace:3263452474}(tamper{TCP:flags:replace:S},)-|[TCP:options-altchksum:153]-drop-|",1,[-20]
-20.0,"[TCP:load:ne7v2vv19a]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-mss:11813:1]-tamper{TCP:chksum:replace:14769}-|",1,[-20]
-20.0,"[TCP:options-altchksum:228]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:sport:21274:1]-tamper{TCP:options-timestamp:replace:532716698}-|",1,[-20]
-20.0,"[TCP:options-mss:31498:1]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:options-altchksum:103]-duplicate-|",1,[-20]
-20.0,"[TCP:window:20]-duplicate(tamper{TCP:options-uto:replace:110},)-|[TCP:urgptr:56683]-tamper{TCP:sport:replace:12447}-|",1,[-20]
-20.0,"[TCP:dataofs:11]-duplicate(tamper{TCP:dport:corrupt},)-|[TCP:options-wscale:190]-tamper{TCP:flags:replace:RA}-|",1,[-20]
-20.0,[TCP:ack:2859737918]-|[TCP:urgptr:10907:2]-tamper{TCP:options-sackok:corrupt}-|,1,[-20]
-20.0,"[TCP:options-timestamp:2006115331]-duplicate(,duplicate)-|[TCP:flags:]-drop-|",1,[-20]
-20.0,"[TCP:dataofs:6]-tamper{TCP:options-sack:corrupt}(tamper{TCP:window:replace:140},)-|[TCP:options-wscale:200]-tamper{TCP:options-wscale:replace:23}-|",1,[-20]
