Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::1]-tamper{TCP:options-timestamp:replace:185347021}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:replace:53258}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:ack:replace:1946579949}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:UEN}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:corrupt}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:seq:3700607197]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:True:17},)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:reserved:1]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:options-sack:replace:}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-md5header:90119997e32464b61c76843fe87cd166:3]-tamper{TCP:options-altchksum:replace:228}(fragment{tcp:-1:True},)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:sport:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(,fragment{tcp:-1:True})-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-|[TCP:options-sack:]-|,1,[-1000]
-20.0,"[TCP:ack:1801281524]-duplicate(,tamper{TCP:options-md5header:replace:cc7f8d6874b78c3be611b9b68a0eb9dc})-|[TCP:chksum:15191:4]-tamper{TCP:load:corrupt}-|",1,[-20]
