Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,"[TCP:ack:898093214]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:load:corrupt},)-|[TCP:options-sack::1]-drop-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:reserved:0:3]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:chksum:replace:36967}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-sack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt::0]-tamper{TCP:sport:replace:43981}(fragment{ip:-1:True:5},)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:ack:replace:4195110755}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-mss:replace:16150}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-nop::0]-tamper{TCP:chksum:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:chksum:replace:43333}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:FSAUE}(tamper{TCP:dataofs:replace:7}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-sackok:corrupt}(drop,),)-|[TCP:ack:802937117:1]-tamper{TCP:options-mss:replace:23791}(fragment{tcp:32:False:27}(,tamper{TCP:options-sackok:replace:}),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:window:190]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-20.0,"[TCP:dport:19862:0]-fragment{tcp:-1:True}(duplicate,)-|[TCP:sport:3003]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:3]-tamper{TCP:options-altchksumopt:corrupt}(duplicate,)-|[TCP:urgptr:63739]-tamper{TCP:ack:corrupt}-|",1,[-20]
-20.0,[TCP:options-altchksum:45]-drop-|[TCP:options-uto:86]-tamper{TCP:ack:corrupt}-|,1,[-20]
-20.0,"[TCP:options-altchksum:202]-duplicate(tamper{TCP:options-md5header:corrupt},)-|[TCP:sport:35557]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:flags:FSPUEC]-duplicate(,tamper{TCP:window:corrupt})-|[TCP:ack:4179366372:4]-drop-|",1,[-20]
-20.0,"[TCP:dport:64757]-duplicate(fragment{tcp:-1:False},)-|[TCP:flags:FSRPC]-drop-|",1,[-20]
-20.0,"[TCP:options-wscale:178]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:window:corrupt},)-|[TCP:sport:1309:1]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:36527]-duplicate(tamper{TCP:options-sack:replace:},)-|[TCP:options-uto:196]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:flags:R]-fragment{tcp:-1:False}(tamper{TCP:dataofs:replace:4},)-|[TCP:options-timestamp:4130263429]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:ee5a30832619e469eab5f634f4d1aee9]-duplicate(,tamper{TCP:dport:corrupt})-|[TCP:dataofs:2]-duplicate-|",1,[-20]
-20.0,"[TCP:reserved:2]-duplicate(,tamper{TCP:sport:corrupt})-|[TCP:urgptr:34206]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:window:100:1]-fragment{tcp:-1:True}(,tamper{TCP:options-md5header:corrupt})-|[TCP:flags:A]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:2748377545]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-md5header:d8edfb923a2bf42939438df920789b73]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,"[TCP:ack:4174701245]-tamper{TCP:seq:corrupt}(tamper{TCP:load:corrupt},)-|[TCP:ack:3728328986]-tamper{TCP:options-uto:replace:80}-|",1,[-20]
-20.0,[TCP:flags:P]-drop-|[TCP:ack:745883681:1]-tamper{TCP:sport:replace:65083}-|,1,[-20]
