Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:load:__HTTP_REQUEST__:1]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:reserved:1]-tamper{TCP:options-md5header:replace:e418f105d20c96bd0c6b5b3a1477bf9d}-|,1,[-1000]
-1000.0,"[TCP:options-sack::2]-tamper{TCP:urgptr:replace:5161}(tamper{TCP:dport:replace:58715}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksum:125]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(drop,)-|[TCP:load:__HTTP_REQUEST__]-tamper{TCP:ack:corrupt}-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:replace:509539322}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-fragment{tcp:-1:False}(tamper{TCP:dataofs:replace:15},duplicate)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-timestamp:replace:1233962627}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-fragment{tcp:44:True}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt::0]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:dataofs:13]-tamper{TCP:options-eol:replace:}-|,1,[-1000]
-1000.0,[TCP:ack:1552131947]-fragment{tcp:-1:False}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt::0]-tamper{TCP:sport:replace:53702}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:False:7}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:9]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:seq:1407115094]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:ack:replace:3175512195},)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-md5header:5ca1277fb1c94a1a456c9feb8dfffdd9]-tamper{TCP:options-timestamp:replace:2885298379}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-nop:]-|,1,[-1000]
-20.0,"[TCP:reserved:6]-duplicate(tamper{TCP:seq:corrupt},)-|[TCP:sport:58459:1]-tamper{TCP:options-mss:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:178]-tamper{TCP:seq:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-md5header:017a846eeb116e0349eb30644d80f525:2]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:37573]-duplicate(tamper{TCP:options-nop:replace:},)-|[TCP:sport:774]-duplicate-|",1,[-20]
-20.0,"[TCP:load:]-tamper{TCP:dport:corrupt}(duplicate,)-|[TCP:chksum:18916]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:seq:62984870]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:seq:corrupt},)-|[TCP:seq:2769801450]-tamper{TCP:options-sack:replace:}-|",1,[-20]
-20.0,"[TCP:options-altchksum:85]-tamper{TCP:load:replace:__DNS_REQUEST__}(fragment{tcp:-1:False},)-|[TCP:flags:P:4]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-timestamp:3404696481]-duplicate(tamper{TCP:ack:replace:4093303234},)-|[TCP:dport:6744]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-wscale:216]-tamper{TCP:options-md5header:replace:f7e6217dba49967d803fafb7d605f6cd}(fragment{tcp:-1:False},)-|[TCP:dataofs:3:3]-tamper{TCP:options-uto:replace:52}-|",1,[-20]
-20.0,"[TCP:flags:A]-fragment{tcp:-1:True}(tamper{TCP:reserved:corrupt},)-|[TCP:reserved:3]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:8022:2]-duplicate(drop,)-|[TCP:flags:SA]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-altchksum:200]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:options-sack:corrupt},)-|[TCP:options-mss:21857]-duplicate-|",1,[-20]
