Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::3]-drop-|[TCP:dataofs:2]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-mss:34498]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(tamper{TCP:options-wscale:replace:57}(drop,),)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:urgptr:replace:48929}(drop,)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:replace:129}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-wscale:16]-tamper{TCP:chksum:replace:31706}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:reserved:replace:4}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksum:replace:95}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:load:corrupt}-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(tamper{TCP:flags:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:dport:replace:27724}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-mss:49128]-tamper{TCP:options-wscale:replace:84}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:replace:24}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False:39}(drop,drop)-|",1,[-1000]
-20.0,"[TCP:load:__DNS_REQUEST__]-duplicate(tamper{TCP:sport:replace:42664}(fragment{tcp:-1:False},),)-|[TCP:urgptr:36703]-duplicate-|",1,[-20]
-20.0,"[TCP:dport:11156]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|[TCP:chksum:34396]-tamper{TCP:options-eol:corrupt}-|",1,[-20]
-20.0,"[TCP:window:50]-tamper{TCP:window:replace:100}(duplicate,)-|[TCP:urgptr:13492]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-20.0,"[TCP:chksum:56779]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|[TCP:dataofs:11:1]-tamper{TCP:options-uto:replace:60}-|",1,[-20]
-20.0,"[TCP:dport:45534]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-timestamp:1287783355]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:e9d8a847414592663044b9037a6b5e60]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:dport:6168]-duplicate-|",1,[-20]
-20.0,[TCP:options-md5header:a25653bd320e82e84b81aa69cf042881:4]-tamper{TCP:options-altchksumopt:replace:}-|[TCP:dataofs:9]-tamper{TCP:options-uto:replace:213}-|,1,[-20]
-20.0,"[TCP:options-wscale:21]-tamper{TCP:window:replace:190}(tamper{TCP:dataofs:corrupt},)-|[TCP:reserved:5]-drop-|",1,[-20]
-20.0,"[TCP:sport:54733]-tamper{TCP:ack:corrupt}(fragment{tcp:-1:False},)-|[TCP:ack:1174655925]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:6935]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-md5header:corrupt},)-|[TCP:dport:60532]-tamper{TCP:options-md5header:replace:8877d8956f64669276d3f98d7dda6864}-|",1,[-20]
-20.0,[TCP:options-timestamp:370836685:0]-drop-|[TCP:options-timestamp:693069476]-duplicate-|,1,[-20]
-20.0,"[TCP:dataofs:2]-duplicate(,duplicate)-|[TCP:options-mss:59695]-duplicate-|",1,[-20]
