Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:flags:PA:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:replace:38042}(tamper{TCP:ack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:replace:4814}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-uto:replace:139}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:2535620942}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,tamper{TCP:dport:replace:51864}(drop,))-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:replace:569907050}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:replace:55203}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:ack:2054939107]-duplicate-|,1,[-1000]
-1000.0,"[TCP:seq:4285454822]-tamper{TCP:load:corrupt}-|[TCP:options-sack::0]-tamper{TCP:options-nop:replace:}(tamper{TCP:window:corrupt},)-|[TCP:options-altchksumopt::1]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-fragment{tcp:29:True}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:A}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:sport:4541]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:replace:1003426909}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:ack:replace:1003426909}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:61885}(tamper{TCP:options-uto:replace:228}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(,drop)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dport:56815]-duplicate-|,1,[-1000]
-20.0,[TCP:urgptr:46424]-drop-|[TCP:urgptr:64352]-duplicate-|,1,[-20]
-20.0,"[TCP:options-timestamp:1055430429]-duplicate(drop,)-|[TCP:options-uto:179:1]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,"[TCP:options-md5header:79d7e006252068b3b19e8e5ba68ed641]-fragment{tcp:-1:True}(tamper{TCP:chksum:replace:7249},)-|[TCP:urgptr:13147]-tamper{TCP:options-uto:replace:150}-|",1,[-20]
-20.0,"[TCP:options-uto:204]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-nop:replace:},)-|[TCP:options-uto:127]-tamper{TCP:ack:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:7]-tamper{TCP:dataofs:corrupt}(tamper{TCP:reserved:replace:2},)-|[TCP:options-uto:214]-tamper{TCP:options-md5header:replace:fe9a6d2dceb9e6d94e75d0bc32fe6e5e}-|",1,[-20]
-20.0,"[TCP:flags:A:1]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:replace:7a723abe9d1ff791c12aa4da6b9d287f},)-|[TCP:dataofs:13]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,[TCP:urgptr:57635]-tamper{TCP:dport:corrupt}-|[TCP:options-altchksum:116:3]-drop-|,1,[-20]
-20.0,"[TCP:dport:55132]-tamper{TCP:sport:replace:26462}(tamper{TCP:options-mss:corrupt},)-|[TCP:chksum:45249]-duplicate-|",1,[-20]
-20.0,"[TCP:reserved:3]-duplicate(,fragment{tcp:-1:True})-|[TCP:options-altchksum:228]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,"[TCP:window:50]-fragment{tcp:-1:True}(,tamper{TCP:options-wscale:corrupt})-|[TCP:chksum:18135]-tamper{TCP:ack:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:35362:0]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|[TCP:options-wscale:140]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:6]-tamper{TCP:dataofs:replace:8}(tamper{TCP:window:corrupt},)-|[TCP:urgptr:4278]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:2]-duplicate(drop,)-|[TCP:dataofs:15:0]-duplicate-|",1,[-20]
-20.0,[TCP:load:__HTTP_REQUEST__:1]-drop-|[TCP:load:__HTTP_REQUEST__:1]-tamper{TCP:options-wscale:corrupt}-|,1,[-20]
