Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:RPAUEN}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::3]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-fragment{tcp:-1:True}(tamper{TCP:options-sack:replace:}(drop,),drop)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:replace:80}(tamper{TCP:sport:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-altchksum:61]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:replace:46843}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-altchksum:136:4]-tamper{TCP:load:replace:__DNS_REQUEST__}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:chksum:47807]-tamper{TCP:options-altchksum:replace:58}(tamper{TCP:options-md5header:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-wscale:97]-fragment{tcp:5:False:2}(,fragment{tcp:-1:True})-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:3393738770}(duplicate(drop,drop),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-wscale:92]-duplicate-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:ack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dport:47969]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-sackok:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-mss:22523:0]-tamper{TCP:dport:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:replace:170}(tamper{TCP:options-nop:corrupt}(drop,),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:window:140]-duplicate(,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(tamper{TCP:reserved:corrupt}(drop,),)-|[TCP:options-md5header:e20619246da6063d2e75f5b50ce31dd8:3]-duplicate(duplicate,drop)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(tamper{TCP:dataofs:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:sport:9238]-duplicate(,tamper{TCP:sport:corrupt}(fragment{tcp:-1:False},))-|",1,[-1000]
-20.0,[TCP:chksum:10021]-drop-|[TCP:options-wscale:42]-duplicate-|,1,[-20]
-20.0,"[TCP:options-uto:3]-tamper{TCP:options-mss:replace:23167}(tamper{TCP:load:replace:__DNS_REQUEST__},)-|[TCP:options-timestamp:2539755959]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:options-uto:156]-duplicate(tamper{TCP:options-mss:replace:60408},)-|[TCP:flags:FA]-tamper{TCP:options-altchksum:replace:87}-|",1,[-20]
-20.0,[TCP:load:__HTTP_REQUEST__]-drop-|[TCP:seq:3896140435]-tamper{TCP:dport:replace:5816}-|,1,[-20]
