Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::2]-drop-|[TCP:options-md5header:c9905d62a6b387d79e28a2e3c1870fbe]-tamper{TCP:options-sack:replace:}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:replace:40130}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:replace:145}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:replace:2125587553}(tamper{TCP:dport:replace:31058}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::2]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSRP}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksum:replace:50}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:replace:2125587553}(tamper{TCP:options-mss:replace:36968}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-sackok::1]-drop-|[TCP:options-md5header:c33f501af4690e9b0ab3432fc9f87365]-tamper{TCP:flags:replace:A}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:window:130]-tamper{TCP:options-eol:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:seq:corrupt}-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:load:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:dataofs:replace:7}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-nop:corrupt}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:window:replace:50}(tamper{TCP:load:replace:uowvignhqx}(drop,),),),),),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-nop:corrupt}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:load:replace:uowvignhqx}(drop,),),),),)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:load:2b3vkdmmkr:0]-duplicate-|,1,[-1000]
