Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok::1]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:reserved:5]-tamper{TCP:window:replace:60}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:46548}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-eol:replace:}(tamper{TCP:seq:replace:539663254}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-wscale:59]-tamper{TCP:options-uto:replace:218}-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-mss:replace:37236}(tamper{TCP:urgptr:replace:52991}(tamper{TCP:sport:replace:25707}(tamper{TCP:options-uto:corrupt},),),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-mss:replace:37236}(tamper{TCP:urgptr:replace:52991},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:replace:8007}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:sport:replace:50256}(tamper{TCP:options-timestamp:corrupt},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-wscale:231]-fragment{tcp:-1:False}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:replace:19703}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-wscale:231]-tamper{TCP:options-uto:corrupt}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:10915}(drop,)-|",1,[-1000]
