Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack::2]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:36}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0:2]-|,1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:1}(tamper{TCP:options-altchksum:replace:209}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:replace:519}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-md5header:replace:0d88d4fc92c573400e2b6e96ed260217}(tamper{TCP:options-altchksum:replace:209}(duplicate(,fragment{tcp:-1:True}),),)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:replace:8475}(tamper{TCP:window:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:P}(tamper{TCP:options-md5header:replace:b6db91748742c7331b0ceec43e1edf12}(tamper{TCP:load:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:42391}(tamper{TCP:options-nop:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:RA}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:dport:46907]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-duplicate-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:options-md5header:corrupt}-|[TCP:options-sack:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
