Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::2]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:corrupt}(tamper{TCP:options-sack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:replace:38363}(tamper{TCP:options-sack:corrupt}(tamper{TCP:reserved:replace:3}(tamper{TCP:options-mss:replace:18910}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(tamper{TCP:reserved:replace:3}(tamper{TCP:window:replace:190}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:replace:38363}(tamper{TCP:seq:corrupt}(tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:window:replace:190}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:9181}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-duplicate(tamper{TCP:chksum:replace:17230},)-|[TCP:options-sackok:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:replace:32500}(tamper{TCP:window:replace:100}(drop,),)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|[TCP:options-altchksumopt::0]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:replace:0}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:options-timestamp:replace:153323628}(tamper{TCP:options-eol:corrupt},)-|[TCP:options-nop::3]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate-|[TCP:options-sackok:]-tamper{TCP:dport:replace:47353}(drop,)-|",1,[-1000]
-1000.0,[TCP:ack:1224073854]-fragment{tcp:-1:False:7}-|[TCP:options-sack:]-|,1,[-1000]
