Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:ack:replace:2746581880}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:replace:1163309610}(drop,)-|",1,[-1000]
-1000.0,"[TCP:load::1]-duplicate(tamper{TCP:options-mss:replace:19162},)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,[TCP:options-mss:3499]-duplicate-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-mss:49835]-tamper{TCP:ack:replace:2113254624}(tamper{TCP:urgptr:corrupt},)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:replace:186}(tamper{TCP:options-sack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:-1:False}(tamper{TCP:sport:corrupt}(tamper{TCP:dataofs:replace:14},),tamper{TCP:seq:corrupt})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:sport:corrupt}(tamper{TCP:flags:replace:SRECN},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-|[TCP:options-sack::0]-duplicate(duplicate(fragment{tcp:-1:True},),)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-uto:replace:87}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-duplicate(drop,fragment{tcp:-1:True})-|[TCP:dataofs:11]-duplicate-|[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
