Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-wscale:corrupt}(drop,)-|[TCP:urgptr:8403]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:replace:825}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-mss:329]-fragment{tcp:-1:True}(,tamper{TCP:options-md5header:corrupt})-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-mss:42764]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:seq:replace:494348982}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-fragment{tcp:-1:False:5}-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:reserved:replace:1}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-mss:10227]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-timestamp:1346366774:4]-duplicate(fragment{tcp:-1:False},duplicate(fragment{tcp:-1:False}(,tamper{TCP:window:corrupt}),tamper{TCP:seq:corrupt}))-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(tamper{TCP:options-altchksum:replace:249}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-drop-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-duplicate(tamper{TCP:options-sack:corrupt},tamper{TCP:options-uto:corrupt})-|[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,drop)-|",1,[-1000]
-20.0,"[TCP:sport:43032]-duplicate(,duplicate)-|[TCP:chksum:47472]-tamper{TCP:load:replace:n3pebthev8}-|",1,[-20]
-20.0,"[TCP:options-wscale:216]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-uto:replace:181},)-|[TCP:dport:15932]-duplicate-|",1,[-20]
-20.0,"[TCP:reserved:6]-duplicate(,duplicate)-|[TCP:options-uto:101]-duplicate-|",1,[-20]
-20.0,"[TCP:options-altchksum:137]-tamper{TCP:options-wscale:replace:110}(fragment{tcp:-1:True},)-|[TCP:options-mss:39956]-tamper{TCP:flags:replace:R}-|",1,[-20]
-20.0,"[TCP:sport:37166:4]-tamper{TCP:options-md5header:corrupt}(duplicate,)-|[TCP:options-altchksum:47:2]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:59297]-duplicate(tamper{TCP:window:replace:30}(duplicate,),)-|[TCP:reserved:5]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:A:0]-tamper{TCP:sport:replace:18996}(fragment{tcp:-1:False},)-|[TCP:load:sa8yz820gp]-tamper{TCP:options-eol:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:150]-fragment{tcp:-1:False}(,duplicate)-|[TCP:reserved:4]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:urgptr:65508]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-sack:corrupt},)-|[TCP:reserved:3]-tamper{TCP:options-md5header:replace:e16f484f3c8b5f3c484c83ff8356c367}-|",1,[-20]
-20.0,"[TCP:reserved:2]-tamper{TCP:window:corrupt}(tamper{TCP:dataofs:corrupt},)-|[TCP:options-timestamp:937766400]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:chksum:16209:2]-fragment{tcp:-1:False}(,drop)-|[TCP:options-mss:54171]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,[TCP:ack:4081481783]-|[TCP:flags:SRUN]-tamper{TCP:options-sackok:replace:}-|,1,[-20]
-10.0,[TCP:sport:5908:4]-tamper{TCP:dataofs:replace:11}-|,1,[-10]
-10.0,[TCP:options-mss:51790]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:replace:47}-|[TCP:dataofs:1]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:sport:35183]-tamper{TCP:sport:replace:23049}(fragment{tcp:-1:True}(tamper{TCP:sport:replace:63267},),)-|",1,[-10]
-10.0,[TCP:window:50]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:219]-fragment{tcp:26:False}-|,1,[-10]
-10.0,"[TCP:flags:FSUECN]-duplicate(tamper{TCP:options-md5header:replace:bc73041ceaf6b23b3c7bbe221ae57bc6}(tamper{TCP:options-sackok:replace:}(tamper{TCP:urgptr:replace:29601},),),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3911248901]-duplicate(tamper{TCP:options-md5header:replace:359f4a94009fef9788c3a778e696dbdc},drop)-|",1,[-10]
-10.0,[TCP:options-uto:97]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:1842158857]-drop-|,1,[-10]
-10.0,"[TCP:options-md5header:ded9deedb4b5ff1c16b40d04e9ae7b01]-tamper{TCP:options-timestamp:replace:2392274357}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:dataofs:7]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:53:4]-fragment{tcp:-1:False}(,tamper{TCP:options-sackok:replace:})-|",1,[-10]
-10.0,"[TCP:dport:15928]-duplicate(,tamper{TCP:options-altchksum:corrupt}(drop,))-|",1,[-10]
-10.0,"[TCP:seq:710755256]-tamper{TCP:options-mss:replace:17491}(duplicate,)-|",1,[-10]
-10.0,[TCP:ack:2928127573:1]-tamper{TCP:sport:replace:40624}-|,1,[-10]
-10.0,"[TCP:sport:29077]-duplicate(,tamper{TCP:reserved:corrupt})-|",1,[-10]
-10.0,"[TCP:options-timestamp:3139524716]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:44677:2]-tamper{TCP:reserved:replace:7}(tamper{TCP:options-uto:replace:103},)-|",1,[-10]
-10.0,[TCP:options-altchksum:117]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:dataofs:4]-tamper{TCP:options-sackok:replace:}(duplicate(,tamper{TCP:dataofs:replace:4}),)-|",1,[-10]
-10.0,[TCP:options-timestamp:1915368289:3]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:seq:1748008350]-duplicate(drop,tamper{TCP:window:replace:70})-|",1,[-10]
-10.0,"[TCP:options-timestamp:2432019435]-duplicate(,drop)-|",1,[-10]
-10.0,"[TCP:chksum:25302]-fragment{tcp:-1:True}(fragment{tcp:-1:True}(tamper{TCP:seq:corrupt},),tamper{TCP:options-mss:corrupt})-|",1,[-10]
-10.0,[TCP:options-md5header:e02d3f057e9e79ff8d875a4721d7f322]-drop-|,1,[-10]
-10.0,"[TCP:dport:62873]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:flags:FPAEC:2]-duplicate(tamper{TCP:options-sackok:replace:},tamper{TCP:urgptr:corrupt})-|",1,[-10]
-10.0,"[TCP:window:90]-tamper{TCP:window:replace:30}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:33538:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:urgptr:5691:0]-fragment{tcp:-1:False:18}(drop,)-|",1,[-10]
-10.0,[TCP:chksum:63720]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:12146]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:sport:32285]-tamper{TCP:options-timestamp:replace:2337712786}(tamper{TCP:options-mss:corrupt}(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(duplicate,)-|[TCP:flags:]-duplicate-|",1,[-10]
-10.0,"[TCP:sport:41263]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1323290191]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1316702971]-fragment{tcp:-1:True}(,tamper{TCP:dataofs:corrupt}(duplicate,))-|",1,[-10]
-10.0,"[TCP:options-wscale:84]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:51189]-tamper{TCP:chksum:replace:21382}(tamper{TCP:window:replace:80},)-|",1,[-10]
-10.0,"[TCP:options-md5header:15d13ac61d07c3b78ed2b40bd00f35e4]-tamper{TCP:sport:corrupt}(tamper{TCP:options-uto:replace:72}(duplicate,),)-|",1,[-10]
