Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(drop,)-|[TCP:dataofs:6]-tamper{TCP:options-md5header:corrupt}-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:urgptr:57471]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-mss:6870]-duplicate(duplicate,)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-uto:205]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-nop::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:sport:corrupt}(duplicate(tamper{TCP:options-timestamp:corrupt},),)-|[TCP:options-altchksumopt::1]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:sport:replace:27646}(duplicate(fragment{tcp:-1:True},),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(tamper{TCP:options-eol:replace:}(tamper{TCP:options-altchksum:corrupt}(drop,),),drop)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-wscale:204:3]-tamper{TCP:options-wscale:corrupt}-|,1,[-1000]
-1000.0,"[TCP:reserved:6:2]-tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:False}(duplicate,),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-uto:186]-tamper{TCP:window:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:seq:658528428]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:replace:42722}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-mss:33079]-drop-|,1,[-1000]
-1000.0,"[TCP:options-md5header:74ace2e8b3320bbe47c00ceace90adf4]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:ack:3560061279]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-mss:5743]-duplicate-|,1,[-1000]
-1000.0,"[TCP:dport:23165:1]-fragment{ip:-1:False:5}(tamper{TCP:options-sack:replace:},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:replace:62196}(drop,)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dport:corrupt}(tamper{TCP:options-uto:replace:209}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:dport:23165:1]-fragment{ip:-1:False:5}(tamper{TCP:load:replace:},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(drop,)-|[TCP:seq:311269168]-duplicate-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-fragment{tcp:-1:False}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-uto:13:2]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-drop-|[TCP:options-timestamp:2383991871]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:reserved:3]-tamper{TCP:options-mss:replace:59220}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:ack:139169103:3]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:load::3]-tamper{TCP:chksum:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-mss:33079]-|,1,[-1000]
-20.0,"[TCP:dataofs:1]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:dataofs:10]-tamper{TCP:urgptr:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:P]-duplicate(tamper{TCP:chksum:corrupt},)-|[TCP:sport:55765]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-uto:138]-duplicate(tamper{TCP:urgptr:replace:26009},)-|[TCP:options-mss:29987]-tamper{TCP:options-sack:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:4]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:False},)-|[TCP:dataofs:4]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:3837329164]-duplicate(,tamper{TCP:options-sackok:corrupt})-|[TCP:chksum:21465]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:dport:52225]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-uto:243]-tamper{TCP:options-wscale:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:221]-fragment{tcp:-1:True}(,tamper{TCP:urgptr:corrupt})-|[TCP:flags:SPCN]-duplicate-|",1,[-20]
-20.0,"[TCP:window:190:4]-tamper{TCP:load:corrupt}(tamper{TCP:chksum:corrupt},)-|[TCP:options-wscale:206]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:55534]-tamper{TCP:reserved:corrupt}(drop,)-|[TCP:flags:FRPU]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:8]-fragment{tcp:-1:False}(tamper{TCP:window:replace:20},)-|[TCP:dport:8060]-tamper{TCP:options-md5header:replace:b175450ee3f99a7acd26470957997fe9}-|",1,[-20]
-20.0,"[TCP:window:140]-duplicate(drop,)-|[TCP:dataofs:7]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,"[TCP:options-wscale:133]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|[TCP:reserved:7]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:sport:47539]-tamper{TCP:options-nop:replace:}(duplicate,)-|[TCP:options-uto:67:0]-tamper{TCP:urgptr:replace:15060}-|",1,[-20]
-20.0,[TCP:chksum:28238]-drop-|[TCP:options-altchksum:227]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,[TCP:options-mss:11614:3]-drop-|[TCP:options-mss:31933]-duplicate-|,1,[-20]
-20.0,[TCP:options-wscale:140]-drop-|[TCP:seq:3573941514:1]-duplicate-|,1,[-20]
-20.0,"[TCP:options-eol:]-duplicate(,duplicate)-|[TCP:sport:44966]-tamper{TCP:window:replace:20}-|[TCP:ack:3828994512:3]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-10.0,"[TCP:options-eol:]-duplicate(,duplicate)-|[TCP:sport:44966]-tamper{TCP:window:replace:20}-|",1,[-10]
-10.0,"[TCP:dport:23292]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-nop:]-duplicate(duplicate,)-|[TCP:options-md5header:6a49b42ec28418274a427e6dcc7aafa9:0]-tamper{TCP:options-sackok:corrupt}-|",1,[-10]
-10.0,"[TCP:dport:54561]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:load:]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:227]-duplicate(,tamper{TCP:dport:corrupt})-|",1,[-10]
-10.0,[TCP:options-wscale:115:3]-tamper{TCP:dataofs:replace:8}-|,1,[-10]
-10.0,[TCP:seq:969898990]-drop-|,1,[-10]
-10.0,[TCP:chksum:44768]-drop-|,1,[-10]
-10.0,[TCP:dport:4293]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:250:0]-fragment{tcp:-1:True}(tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:flags:RA]-tamper{TCP:flags:corrupt}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
