Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:seq:replace:2032601665}(tamper{TCP:reserved:replace:6}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:replace:65}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:window:130:1]-tamper{TCP:options-wscale:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:replace:65}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-md5header:effebb9f080835da945d51863a08c648]-tamper{TCP:urgptr:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:reserved:5]-tamper{TCP:options-sackok:replace:}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:SA}(tamper{TCP:urgptr:replace:10380}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}(tamper{TCP:ack:corrupt},)-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:window:130]-tamper{TCP:ack:replace:3251225000}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:window:90:1]-tamper{TCP:options-mss:replace:1874}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:9rsp2l89c7}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-|,1,[-1000]
-1000.0,[TCP:options-timestamp:2686897407:3]-tamper{TCP:options-sack:corrupt}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-timestamp:2686897407:3]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-md5header:d9274c0e76453906ec0a14adc67e3b7c]-tamper{TCP:options-timestamp:replace:3540527254}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:seq:1051390871]-|,1,[-1000]
-20.0,"[TCP:urgptr:18490]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:seq:corrupt},)-|[TCP:load:__DNS_REQUEST__:4]-tamper{TCP:options-wscale:corrupt}-|",1,[-20]
-20.0,"[TCP:chksum:54333]-tamper{TCP:options-md5header:replace:785aae1de1d6beb44ababd2ad7072502}(tamper{TCP:options-nop:replace:},)-|[TCP:flags:RAUEN:3]-duplicate-|",1,[-20]
-20.0,[TCP:chksum:31530]-drop-|[TCP:reserved:7]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,"[TCP:load::2]-duplicate(tamper{TCP:options-nop:replace:},)-|[TCP:options-altchksum:124]-duplicate-|",1,[-20]
-20.0,[TCP:options-timestamp:1792748257:3]-drop-|[TCP:flags:FRACN]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,"[TCP:options-uto:70:3]-fragment{tcp:-1:True}(,duplicate)-|[TCP:load::2]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-wscale:108:2]-duplicate(drop,)-|[TCP:options-mss:65395]-tamper{TCP:seq:replace:1169518870}-|",1,[-20]
-20.0,"[TCP:options-altchksum:209]-tamper{TCP:options-mss:replace:43658}(fragment{tcp:-1:False},)-|[TCP:window:80]-drop-|",1,[-20]
-20.0,"[TCP:options-altchksum:155]-fragment{tcp:-1:False}(,drop)-|[TCP:chksum:2510]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:95]-tamper{TCP:options-eol:replace:}(fragment{tcp:-1:True},)-|[TCP:dataofs:2]-tamper{TCP:load:replace:__DNS_REQUEST__}-|",1,[-20]
-20.0,"[TCP:flags:SRPAUECN:0]-duplicate(,duplicate)-|[TCP:options-wscale:38]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:22a0859347ec20a3763c977ea90f3d48:3]-duplicate(,tamper{TCP:options-sack:corrupt})-|[TCP:window:100]-tamper{TCP:reserved:replace:6}-|",1,[-20]
-20.0,"[TCP:dataofs:8]-duplicate(duplicate,)-|[TCP:dataofs:5]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-wscale:129]-tamper{TCP:options-altchksum:corrupt}(duplicate,)-|[TCP:flags:RU:3]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,[TCP:flags:SRPAUECN]-|[TCP:options-md5header:9235ebe66e991938061c1419ab473301]-tamper{TCP:options-eol:corrupt}-|,1,[-20]
-20.0,[TCP:chksum:14704]-|[TCP:chksum:51419:4]-tamper{TCP:dport:corrupt}-|,1,[-20]
-20.0,[TCP:sport:30440]-|[TCP:window:110:1]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,[TCP:sport:30440]-|[TCP:options-altchksum:90:1]-duplicate-|,1,[-20]
