Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:replace:1206764676}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-timestamp:1666054110]-tamper{TCP:urgptr:replace:28605}-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:replace:43212}(tamper{TCP:reserved:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-drop-|[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(tamper{TCP:seq:replace:732122616}(tamper{TCP:options-nop:corrupt}(tamper{TCP:options-altchksum:replace:226}(drop,),),),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:reserved:7:2]-tamper{TCP:urgptr:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-eol:replace:}-|[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:11:True:5}(,duplicate(duplicate,)),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-uto:corrupt}(fragment{tcp:12:False:6}(,duplicate),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-uto:corrupt}(fragment{tcp:11:True:5},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-sackok::0]-tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:True:5},)-|[TCP:chksum:6827]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-altchksum:replace:179},)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:True:15}(fragment{tcp:-1:True},),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:True:15},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:replace:2294412300}(tamper{TCP:seq:replace:3375529089}(tamper{TCP:options-mss:replace:31394}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:49369}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-nop:corrupt}(drop,),)-|[TCP:options-altchksum:138]-duplicate(fragment{tcp:-1:True},)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-wscale:128]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-sack::0]-fragment{tcp:-1:False}(,duplicate)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:window:90:2]-fragment{tcp:-1:False}-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,[-1000]
-20.0,"[TCP:ack:3894531964:2]-duplicate(,fragment{tcp:-1:True})-|[TCP:seq:900609338]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-uto:7:2]-tamper{TCP:options-wscale:replace:104}(fragment{tcp:-1:True},)-|[TCP:reserved:2]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:options-mss:20925]-fragment{tcp:-1:True}(,duplicate)-|[TCP:options-altchksum:239]-tamper{TCP:ack:replace:1602510896}-|",1,[-20]
-20.0,[TCP:load:vh03tk2hhv:3]-drop-|[TCP:dataofs:13:4]-duplicate-|,1,[-20]
-20.0,"[TCP:options-wscale:209]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-eol:replace:},)-|[TCP:seq:1986052506]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:e73a78389288e14fc3c44b88c5ae58bc]-fragment{tcp:-1:True}(duplicate,)-|[TCP:flags:F]-tamper{TCP:urgptr:replace:64736}-|",1,[-20]
-20.0,"[TCP:seq:1111937400]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:options-timestamp:890161679]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:4321]-duplicate(,tamper{TCP:options-altchksum:replace:180})-|[TCP:reserved:7]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:b602486fe2df985b978fab6f1ea22ac5]-tamper{TCP:seq:corrupt}(tamper{TCP:reserved:replace:2},)-|[TCP:sport:49084]-duplicate-|",1,[-20]
-20.0,"[TCP:options-altchksum:49]-duplicate(,duplicate)-|[TCP:options-wscale:128]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,[TCP:seq:433216336]-drop-|[TCP:options-wscale:161]-tamper{TCP:options-eol:replace:}-|,1,[-20]
-20.0,"[TCP:options-altchksum:78]-tamper{TCP:sport:replace:6080}(tamper{TCP:options-nop:replace:},)-|[TCP:load:__DNS_REQUEST__]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,[TCP:load:zvrfkz4pty]-tamper{TCP:options-sackok:corrupt}-|[TCP:sport:51155]-tamper{TCP:dataofs:replace:4}-|,1,[-20]
-20.0,"[TCP:urgptr:44368]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:options-uto:151]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:options-uto:15]-tamper{TCP:options-md5header:replace:1c8bdc87470ce06b6a3f63e105fc3c47}(duplicate(duplicate,),)-|[TCP:options-md5header:efa3ff5ba1c1be2f4e4ace6dbb45c1f4:0]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,[TCP:options-mss:6037]-|[TCP:dport:55689]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-20]
-20.0,[TCP:options-mss:6037]-tamper{TCP:options-sack:replace:}-|[TCP:dport:1821]-tamper{TCP:reserved:replace:6}-|,1,[-20]
-20.0,[TCP:options-mss:6037]-|[TCP:chksum:57614]-tamper{TCP:options-timestamp:replace:2778056423}-|,1,[-20]
-20.0,[TCP:options-mss:6037]-tamper{TCP:options-eol:corrupt}-|[TCP:options-timestamp:440897005]-tamper{TCP:options-uto:corrupt}-|,1,[-20]
-10.0,[TCP:options-mss:59531]-duplicate-|,1,[-10]
-10.0,[TCP:ack:1594235071]-tamper{TCP:seq:replace:111899155}-|,1,[-10]
-10.0,[TCP:ack:88740465]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:chksum:27874]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:chksum:61508]-tamper{TCP:options-timestamp:replace:284380605}-|,1,[-10]
-10.0,"[TCP:seq:1457087995]-tamper{TCP:options-mss:corrupt}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1390261751:4]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:35689:4]-duplicate(drop,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-uto:138]-duplicate(fragment{tcp:-1:True},tamper{TCP:options-timestamp:corrupt})-|",1,[-10]
-10.0,[TCP:reserved:2]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:225]-duplicate-|,1,[-10]
-10.0,[TCP:dport:28027]-tamper{TCP:options-altchksum:replace:191}-|,1,[-10]
-10.0,"[TCP:urgptr:57853]-tamper{TCP:load:replace:__DNS_REQUEST__}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:63314:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-md5header:4039c05c3936a4a56cd100192bc6ad40]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,"[TCP:options-timestamp:530616613]-tamper{TCP:options-altchksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-altchksum:128]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:reserved:6:1]-tamper{TCP:load:corrupt}(tamper{TCP:dport:replace:796},)-|",1,[-10]
-10.0,[TCP:dport:32601]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-timestamp:3860361400]-fragment{tcp:-1:True}(fragment{ip:-1:False},)-|",1,[-10]
-10.0,"[TCP:flags:RCN]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1452549447]-drop-|,1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-uto:replace:194}(tamper{TCP:options-timestamp:replace:3343745878},)-|",1,[-10]
-10.0,"[TCP:seq:755176435]-duplicate(fragment{tcp:-1:False},tamper{TCP:options-sackok:corrupt})-|",1,[-10]
-10.0,"[TCP:dport:3548:4]-tamper{TCP:dataofs:replace:12}(fragment{tcp:-1:False}(,tamper{TCP:load:replace:j4w41lyqzz}),)-|",1,[-10]
-10.0,"[TCP:options-md5header:01310926f398b426a546dfed1f75cf44]-fragment{tcp:-1:True}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,[TCP:options-mss:23319]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:2267161755]-duplicate(duplicate(,duplicate),)-|",1,[-10]
-10.0,"[TCP:window:90]-tamper{TCP:options-md5header:replace:3ce8308e48db39dc63174d0f5c622213}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-md5header:250604d47665c88be6c2a93cdecdb098]-drop-|,1,[-10]
-10.0,[TCP:seq:3188072184]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-timestamp:3136730503:2]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:43493]-fragment{tcp:-1:True}(duplicate(duplicate,),duplicate)-|",1,[-10]
-10.0,[TCP:options-altchksum:234]-duplicate-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-sack:corrupt}(tamper{TCP:load:replace:__HTTP_REQUEST__},)-|",1,[-10]
-10.0,[TCP:flags:FRPC]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:2834772557]-tamper{TCP:sport:corrupt}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:44777]-tamper{TCP:options-mss:replace:8241}(tamper{TCP:load:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:flags:FSUCN]-duplicate(fragment{tcp:-1:False}(tamper{TCP:options-eol:corrupt},),)-|",1,[-10]
-10.0,[TCP:chksum:46481]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:36121]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|[TCP:options-nop:]-tamper{TCP:reserved:corrupt}-|",1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:load:replace:zkp9rt4vnl}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:e56ae4cb2b8e83088be57f8707a840f5:3]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:3683]-duplicate(,tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:]-tamper{TCP:window:replace:50}(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags:P:3]-tamper{TCP:load:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-mss:62734:1]-tamper{TCP:options-md5header:replace:632aebcb774bef84891278923e51116a}(tamper{TCP:dataofs:corrupt},)-|",1,[-10]
-10.0,[TCP:seq:652586518:4]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:2108968848]-tamper{TCP:reserved:replace:5}(fragment{tcp:11:False:14},)-|",1,[-10]
-10.0,[TCP:dport:21341]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-md5header:7aebf1f4b0387748a46d4f13100e2700]-tamper{TCP:ack:replace:544822815}(duplicate,)-|[TCP:options-altchksumopt:]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:seq:2276435020:3]-tamper{TCP:window:corrupt}(fragment{tcp:-1:False:23},)-|",1,[-10]
-10.0,"[TCP:options-mss:16513]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:seq:replace:4244036972}(tamper{TCP:options-altchksum:replace:69},),)-|",1,[-10]
-10.0,[TCP:options-md5header:0e3b4ab743186d0d3a6355d294a17605]-drop-|,1,[-10]
-10.0,"[TCP:sport:46520]-fragment{tcp:-1:False}(,tamper{TCP:sport:corrupt})-|",1,[-10]
-10.0,[TCP:load:2wl5sd5efr]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:1:1]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:options-mss:11951]-tamper{TCP:window:replace:30}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-mss:9122]-fragment{tcp:-1:True}(,fragment{tcp:28:False})-|",1,[-10]
-10.0,"[TCP:options-timestamp:1974440803]-duplicate(tamper{TCP:options-uto:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:36]-fragment{tcp:-1:False}(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:dataofs:10:3]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:49987:2]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,[TCP:options-wscale:8]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:137:0]-tamper{TCP:urgptr:replace:53220}(drop,)-|",1,[-10]
-10.0,"[TCP:window:90]-fragment{tcp:56:False}(,tamper{TCP:ack:replace:1436857664})-|",1,[-10]
-10.0,"[TCP:dport:18721:3]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:sport:replace:51697},)-|",1,[-10]
-10.0,"[TCP:options-wscale:220]-tamper{TCP:flags:corrupt}(tamper{TCP:options-md5header:replace:c75e3ba007e6fcc1c4db91d40175364e},)-|",1,[-10]
-10.0,"[TCP:options-eol::0]-tamper{TCP:options-wscale:replace:10}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:RN]-tamper{TCP:window:replace:150}(tamper{TCP:ack:replace:3372052057},)-|",1,[-10]
-10.0,"[TCP:seq:1727216450]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-altchksum:81]-drop-|,1,[-10]
-10.0,"[TCP:window:50]-duplicate(,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,[TCP:flags:A]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:3462195269]-duplicate(tamper{TCP:options-eol:replace:},tamper{TCP:seq:replace:3013756779})-|",1,[-10]
-10.0,"[TCP:dport:10424]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:dataofs:14]-tamper{TCP:options-mss:replace:49240}(tamper{TCP:options-timestamp:corrupt},)-|[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-10]
-10.0,"[TCP:options-nop::3]-duplicate(fragment{tcp:-1:True},)-|[TCP:load:n7adgeankk]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:window:60]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:131]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:231]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,"[TCP:seq:167231306]-tamper{TCP:options-sack:replace:}(tamper{TCP:options-uto:corrupt},)-|[TCP:options-altchksumopt::2]-duplicate-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__:0]-tamper{TCP:load:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:urgptr:41070]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:window:130]-tamper{TCP:dataofs:replace:10}(tamper{TCP:options-nop:replace:}(tamper{TCP:chksum:replace:56936},),)-|",1,[-10]
-10.0,"[TCP:chksum:56276]-fragment{tcp:-1:True}(fragment{tcp:-1:False},duplicate)-|",1,[-10]
-10.0,"[TCP:chksum:30368]-fragment{tcp:-1:False}(fragment{tcp:-1:True}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:load:7lamv2m1eh:2]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:window:70]-tamper{TCP:dataofs:replace:5}-|,1,[-10]
-10.0,[TCP:options-md5header:20ebb0f82ad184f0afee675949a6701b]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
