Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack::0]-tamper{TCP:chksum:corrupt}-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-timestamp:replace:2665384891}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-duplicate(,tamper{TCP:options-uto:corrupt})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:SPUECN}(drop,)-|[TCP:options-nop::0]-fragment{ip:-1:True:32}-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:64067}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-sack::0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-mss:20825]-tamper{TCP:options-sack:replace:}-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{ip:-1:True:11}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-fragment{tcp:-1:False}(tamper{TCP:window:corrupt}(fragment{tcp:-1:True},),)-|[TCP:options-eol:]-drop-|",1,[-1000]
-20.0,"[TCP:chksum:61922:2]-duplicate(duplicate,)-|[TCP:dport:6440]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:32]-duplicate(tamper{TCP:window:replace:40},)-|[TCP:options-uto:224]-drop-|",1,[-20]
-20.0,[TCP:urgptr:46255]-drop-|[TCP:load:]-duplicate-|,1,[-20]
-20.0,"[TCP:window:150:2]-tamper{TCP:dataofs:corrupt}(duplicate,)-|[TCP:options-uto:241]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,"[TCP:options-timestamp:2397373480]-tamper{TCP:ack:replace:1238667589}(fragment{tcp:-1:False},)-|[TCP:seq:2347845926]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:2]-fragment{tcp:-1:False}(drop,)-|[TCP:reserved:5]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__]-duplicate(tamper{TCP:flags:replace:SRECN},)-|[TCP:sport:18143:4]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:options-wscale:160:0]-duplicate(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:dataofs:13]-duplicate-|",1,[-20]
-20.0,[TCP:ack:316988829]-tamper{TCP:load:replace:__HTTP_REQUEST__}-|[TCP:dataofs:5]-tamper{TCP:chksum:replace:53535}-|,1,[-20]
-20.0,"[TCP:options-md5header:37021d302def5ffcbc1bd34676f56c8c]-duplicate(,tamper{TCP:reserved:corrupt})-|[TCP:urgptr:27560]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-wscale:79]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-altchksum:replace:221},)-|[TCP:ack:3809905204]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:reserved:1:0]-tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-mss:4378]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:sport:29655]-duplicate(,tamper{TCP:options-eol:corrupt})-|[TCP:options-timestamp:239792032]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:178285258]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:flags:P]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:dataofs:3]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False},)-|[TCP:dport:1378]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:flags:R:0]-|[TCP:options-uto:212]-tamper{TCP:options-nop:corrupt}-|,1,[-20]
-20.0,"[TCP:options-wscale:233:4]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-uto:replace:45}(duplicate,),)-|[TCP:options-timestamp:1576695327]-fragment{tcp:-1:False}-|",1,[-20]
-10.0,"[TCP:options-altchksum:43]-tamper{TCP:dataofs:replace:13}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:48428]-fragment{tcp:-1:False}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-fragment{ip:-1:True:15}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:dport:48719]-tamper{TCP:seq:replace:2290978293}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:ack:2545807897]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:14912]-fragment{tcp:-1:False}(tamper{TCP:options-uto:corrupt},fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-mss:25693]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-tamper{TCP:urgptr:replace:31820}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:114]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:True}(,tamper{TCP:options-altchksumopt:replace:}),)-|",1,[-10]
-10.0,[TCP:options-mss:62975]-drop-|,1,[-10]
-10.0,[TCP:urgptr:53360]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:57819:2]-tamper{TCP:dataofs:replace:14}(fragment{tcp:-1:True}(fragment{tcp:52:True},),)-|",1,[-10]
-10.0,[TCP:load:]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:53071]-duplicate(,drop)-|",1,[-10]
