Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:dport:34328]-duplicate-|,1,[-1000]
-1000.0,"[TCP:flags:]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-altchksumopt:corrupt},)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:options-md5header:corrupt}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol::0]-tamper{TCP:options-wscale:replace:35}-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:options-eol:replace:}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-nop:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:replace:8777c41aeaa1b11b93e6ae114b06799f}(drop,)-|",1,[-1000]
-1000.0,"[TCP:flags:PA:0]-duplicate(duplicate,tamper{TCP:dport:corrupt})-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sack:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:chksum:corrupt}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:A}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
