Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:seq:1972417705:1]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::3]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:corrupt}(tamper{TCP:reserved:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-fragment{tcp:-1:False:5}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:S}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-altchksum:87]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-uto:replace:36}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:12:False}(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-duplicate-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:ack:1316934263:2]-fragment{tcp:-1:False}(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-duplicate-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-mss:40961]-fragment{tcp:-1:True}-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:dataofs:12:0]-tamper{TCP:options-wscale:replace:86}(duplicate,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:reserved:3]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:ack:corrupt}(tamper{TCP:options-timestamp:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-altchksumopt:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-md5header:corrupt}(tamper{TCP:sport:corrupt},),),drop)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::3]-tamper{TCP:sport:replace:16139}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:reserved:6]-tamper{TCP:dataofs:replace:11}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:29889}(drop,)-|",1,[-1000]
-20.0,"[TCP:reserved:3:4]-fragment{tcp:-1:True}(tamper{TCP:dport:replace:20574},)-|[TCP:sport:32059]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:207]-duplicate(tamper{TCP:options-eol:corrupt},)-|[TCP:dport:14897:2]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:6468]-fragment{tcp:-1:False}(,tamper{TCP:dataofs:corrupt})-|[TCP:options-timestamp:1942592296]-duplicate-|",1,[-20]
-20.0,"[TCP:load::4]-duplicate(duplicate,)-|[TCP:options-md5header:127854ca7534ab01a6e448e85e1b9c49]-tamper{TCP:options-wscale:replace:95}-|",1,[-20]
-20.0,"[TCP:options-md5header:df9e2832fb2b2676af5056a465808b3a]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-sack:corrupt},)-|[TCP:urgptr:1619]-tamper{TCP:options-altchksum:replace:115}-|",1,[-20]
-20.0,"[TCP:options-altchksum:177]-fragment{tcp:-1:True}(tamper{TCP:chksum:corrupt},)-|[TCP:seq:3475787562]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:dataofs:3:3]-fragment{tcp:-1:False}(duplicate,)-|[TCP:seq:3359346984]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:SRUEC]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:dataofs:replace:15}(tamper{TCP:dport:corrupt},),)-|[TCP:reserved:2:1]-tamper{TCP:options-altchksum:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:1875673659]-tamper{TCP:sport:corrupt}(duplicate,)-|[TCP:options-wscale:89]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:REN]-fragment{tcp:-1:False}(tamper{TCP:chksum:replace:60764},)-|[TCP:dataofs:11]-drop-|",1,[-20]
-20.0,"[TCP:options-md5header:89e0d7f37f65372a349e9d7e9e8466cc:2]-fragment{tcp:-1:True}(,duplicate)-|[TCP:options-md5header:711119e4497f511e6ff01c3de2d6c599]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-timestamp:2677406451]-duplicate(duplicate,)-|[TCP:options-timestamp:3393377777:2]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:30701]-duplicate(duplicate,)-|[TCP:chksum:50019]-fragment{tcp:-1:True}-|",1,[-20]
