Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-wscale:25]-tamper{TCP:options-mss:replace:38051}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:chksum:42453]-tamper{TCP:options-nop:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-altchksum:69]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:chksum:51479]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:replace:2075355246}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-mss:13759]-tamper{TCP:load:replace:__DNS_REQUEST__}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:dataofs:5:4]-fragment{tcp:-1:True:45}(fragment{tcp:-1:True},fragment{tcp:20:False:2})-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:replace:24956}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:zxr2ef5fjr}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-duplicate(drop,tamper{TCP:window:corrupt}(drop,))-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:chksum:27067]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:sport:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-md5header:fe45d125452a14162ff16f7144aee41b]-fragment{tcp:-1:True:45}(fragment{tcp:-1:False:8},fragment{tcp:-1:False:5})-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:corrupt}(drop,)-|[TCP:options-mss:32612]-fragment{tcp:5:False}-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-uto:132]-duplicate(,tamper{TCP:options-timestamp:corrupt}(duplicate,))-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop::0]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:chksum:39691]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:False},)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-drop-|[TCP:options-mss:24897:3]-tamper{TCP:seq:replace:2867894377}(fragment{tcp:50:False:25}(tamper{TCP:load:replace:},tamper{TCP:dport:replace:35172}(tamper{TCP:chksum:corrupt},)),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-uto:132]-duplicate(,tamper{TCP:options-timestamp:replace:296699478})-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-uto:181:2]-tamper{TCP:chksum:replace:18386}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:replace:27}(tamper{TCP:options-wscale:replace:201}(tamper{TCP:options-altchksum:corrupt}(drop,),),)-|",1,[-1000]
-20.0,"[TCP:dataofs:3]-tamper{TCP:urgptr:replace:19851}(duplicate,)-|[TCP:options-uto:233:3]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,"[TCP:dport:30832]-tamper{TCP:options-wscale:replace:132}(duplicate,)-|[TCP:dport:26761:3]-tamper{TCP:options-sackok:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:A]-duplicate(tamper{TCP:dataofs:replace:11},)-|[TCP:urgptr:58639]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:window:60]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-sack:corrupt},)-|[TCP:options-uto:63]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,"[TCP:options-uto:25]-duplicate(fragment{tcp:-1:False},)-|[TCP:flags:A:3]-tamper{TCP:window:replace:160}-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-wscale:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-md5header:35fcdb3c730a8e3419a82c058334d5e9:4]-drop-|",1,[-20]
-20.0,"[TCP:chksum:20710]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-uto:22:4]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,"[TCP:dport:25283:0]-duplicate(,duplicate)-|[TCP:ack:2518564609]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,[TCP:seq:2697236471]-drop-|[TCP:options-altchksum:183]-tamper{TCP:chksum:corrupt}-|,1,[-20]
-20.0,"[TCP:options-altchksum:153]-tamper{TCP:load:corrupt}(drop,)-|[TCP:urgptr:42837:3]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:window:70]-tamper{TCP:flags:replace:SAC}(tamper{TCP:chksum:replace:50484},)-|[TCP:options-mss:18688:0]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,[TCP:ack:2488634106]-drop-|[TCP:urgptr:20762]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-20]
-20.0,[TCP:load:5k7oqs5kz4]-fragment{tcp:-1:False}-|[TCP:options-wscale:166:4]-drop-|,1,[-20]
-20.0,"[TCP:reserved:4]-tamper{TCP:chksum:replace:20406}(duplicate,)-|[TCP:window:80]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
