Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,[TCP:load:__HTTP_REQUEST__]-drop-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok::2]-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack::1]-tamper{TCP:options-timestamp:replace:3284008258}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:replace:10}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-wscale:replace:224}(tamper{TCP:options-mss:replace:7309}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:220}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-duplicate(fragment{tcp:-1:False:1},duplicate)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:chksum:10774]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:flags:SRUC]-tamper{TCP:options-altchksum:corrupt}(duplicate(tamper{TCP:sport:replace:991},),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:corrupt}(tamper{TCP:options-md5header:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sack::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:flags:replace:FU}(fragment{tcp:-1:True:40},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-timestamp:941784928:3]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:corrupt}(drop,)-|[TCP:options-uto:118]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dataofs:replace:12}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:urgptr:42483]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-20.0,"[TCP:reserved:6]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:seq:4028419479]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:08caad70f18a302ce843c049691514c6:4]-duplicate(,fragment{tcp:-1:True})-|[TCP:seq:16047315]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:flags:RA]-fragment{tcp:-1:True}(,duplicate)-|[TCP:options-timestamp:2889419568:3]-tamper{TCP:options-altchksum:replace:122}-|",1,[-20]
-20.0,"[TCP:dataofs:5]-fragment{tcp:-1:True}(tamper{TCP:flags:replace:AEN},)-|[TCP:reserved:2]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-wscale:183]-tamper{TCP:options-altchksum:corrupt}(duplicate(duplicate,),)-|[TCP:load:__DNS_REQUEST__]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:1838070555]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-md5header:replace:ea79ceec61b28ef417c2ea6d048a86ad},)-|[TCP:dport:43999]-tamper{TCP:ack:replace:3175813510}-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(drop,)-|[TCP:options-altchksum:57]-tamper{TCP:urgptr:replace:5206}-|",1,[-20]
-20.0,"[TCP:ack:1387606795]-tamper{TCP:options-eol:replace:}(fragment{tcp:-1:True},)-|[TCP:ack:550249504]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:50272]-tamper{TCP:options-uto:replace:70}(duplicate,)-|[TCP:options-wscale:172]-tamper{TCP:options-sack:corrupt}-|",1,[-20]
-20.0,"[TCP:load:]-duplicate(,tamper{TCP:options-eol:replace:})-|[TCP:options-mss:2599]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:98:2]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-altchksum:240]-drop-|",1,[-20]
-20.0,[TCP:options-wscale:179]-drop-|[TCP:options-md5header:683928e8a5ae353010d59fdd55814145:1]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,[TCP:ack:2203271769]-drop-|[TCP:options-wscale:11]-duplicate-|,1,[-20]
-20.0,"[TCP:seq:3340554424]-duplicate(duplicate,)-|[TCP:seq:4232323866]-tamper{TCP:sport:replace:7696}-|",1,[-20]
-20.0,"[TCP:seq:2744378007]-tamper{TCP:options-nop:corrupt}(drop,)-|[TCP:options-timestamp:135324796]-drop-|",1,[-20]
-20.0,"[TCP:options-timestamp:3462211754]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:options-timestamp:2359406507]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:urgptr:58604:4]-tamper{TCP:seq:corrupt}(duplicate,)-|[TCP:window:180]-duplicate-|",1,[-20]
-20.0,"[TCP:seq:2390171000]-duplicate(,tamper{TCP:options-md5header:replace:550a2f32d3354562337179652a44e5cd})-|[TCP:options-timestamp:164061999]-drop-|",1,[-20]
-20.0,"[TCP:dataofs:8]-tamper{TCP:ack:corrupt}(tamper{TCP:chksum:replace:23938}(drop,),)-|[TCP:reserved:5]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:69]-duplicate(fragment{tcp:-1:False},)-|[TCP:ack:1091326896]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:urgptr:43850]-duplicate(fragment{tcp:-1:False}(,tamper{TCP:options-md5header:replace:104030b42a841046069a0d56274103e5}),)-|[TCP:ack:596385251]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:options-md5header:be0fab1bf9e2e19a732a524be28e2abb:3]-tamper{TCP:options-sackok:replace:}(tamper{TCP:chksum:corrupt},)-|[TCP:reserved:3]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-uto:239]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:load:corrupt},)-|[TCP:seq:2449379264]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,[TCP:dataofs:5:0]-|[TCP:options-mss:39952]-drop-|,1,[-20]
-20.0,[TCP:load:__HTTP_REQUEST__:4]-|[TCP:options-uto:211:0]-drop-|,1,[-20]
-10.0,"[TCP:seq:2035002525]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dataofs:7]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:2483854362:0]-duplicate(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:42]-duplicate(tamper{TCP:ack:corrupt}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,[TCP:flags:RPAUC]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:69]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:9]-fragment{tcp:-1:True:36}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:RA]-tamper{TCP:window:replace:120}(drop,)-|",1,[-10]
-10.0,"[TCP:options-wscale:64]-tamper{TCP:urgptr:corrupt}(tamper{TCP:dport:replace:39266}(tamper{TCP:options-sack:replace:},),)-|",1,[-10]
-10.0,[TCP:dport:59528]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:2409768868:0]-tamper{TCP:sport:replace:9767}-|,1,[-10]
-10.0,"[TCP:options-timestamp:4197100390]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:64:0]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:59341]-tamper{TCP:sport:corrupt}(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1571178320]-fragment{tcp:-1:False}(tamper{TCP:window:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:seq:2214801808]-fragment{tcp:-1:False}(,tamper{TCP:chksum:corrupt})-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-altchksum:replace:174}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:2]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:urgptr:33297]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:1270271470]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:165]-duplicate(fragment{ip:-1:True:5},)-|",1,[-10]
-10.0,"[TCP:flags:FA]-duplicate(,tamper{TCP:ack:replace:323882562})-|",1,[-10]
-10.0,[TCP:dport:41837]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:3]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dport:60970:1]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:dataofs:13]-duplicate(tamper{TCP:reserved:replace:2},)-|",1,[-10]
-10.0,[TCP:options-md5header:28ce5b7b03ec1c838d5c47161957b31c]-tamper{TCP:ack:replace:1521386027}-|,1,[-10]
-10.0,[TCP:chksum:1634]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:ack:314308917]-tamper{TCP:options-sackok:corrupt}(fragment{ip:-1:False},)-|",1,[-10]
-10.0,"[TCP:sport:35035]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:ack:701476414]-duplicate(tamper{TCP:options-altchksumopt:replace:},tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,[TCP:chksum:14703]-duplicate-|,1,[-10]
-10.0,"[TCP:window:10]-fragment{tcp:-1:True}(,tamper{TCP:options-md5header:replace:434ea404b7ae2e935b12a84d83290f37})-|",1,[-10]
-10.0,[TCP:seq:2614807082:2]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:181]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,"[TCP:options-wscale:92]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:seq:4059811816]-tamper{TCP:options-mss:replace:36246}(fragment{tcp:43:False:21},)-|",1,[-10]
-10.0,"[TCP:options-md5header:7efa7481cd511ad570c2bcda36efe5c0:2]-tamper{TCP:ack:corrupt}(tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:reserved:2:2]-duplicate(tamper{TCP:ack:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-wscale:77]-duplicate(,tamper{TCP:options-mss:replace:38698})-|",1,[-10]
-10.0,"[TCP:dport:433]-tamper{TCP:options-uto:replace:53}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:ack:962640702]-fragment{tcp:-1:True}(tamper{TCP:sport:replace:22276},)-|",1,[-10]
-10.0,"[TCP:seq:2960695205:3]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:options-altchksum:202:0]-duplicate-|,1,[-10]
-10.0,[TCP:flags:SA:0]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:ack:2873789006]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,"[TCP:reserved:1]-duplicate(tamper{TCP:window:replace:140}(drop,),)-|",1,[-10]
-10.0,"[TCP:dport:4300]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,"[TCP:options-md5header:6de1e396ad999d00ab2ea278e032b4b7]-duplicate(fragment{tcp:-1:True},tamper{TCP:load:replace:__DNS_REQUEST__})-|",1,[-10]
-10.0,"[TCP:dport:19643:0]-tamper{TCP:reserved:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,[TCP:dataofs:4]-drop-|,1,[-10]
-10.0,"[TCP:seq:41431490:4]-duplicate(,tamper{TCP:ack:replace:2649808227})-|",1,[-10]
-10.0,"[TCP:options-nop:]-duplicate(fragment{tcp:-1:False},)-|[TCP:urgptr:51598:3]-tamper{TCP:sport:corrupt}-|",1,[-10]
-10.0,"[TCP:options-md5header:bac827407366ac4b2207c9214a45e0fa]-duplicate(,tamper{TCP:options-mss:corrupt})-|",1,[-10]
-10.0,[TCP:options-uto:83:0]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:flags:RA]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:235]-duplicate(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:33]-fragment{tcp:-1:True}(fragment{tcp:-1:True}(,fragment{tcp:-1:True}),)-|",1,[-10]
-10.0,"[TCP:window:50]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:27]-fragment{tcp:-1:True}(tamper{TCP:dataofs:replace:14},)-|",1,[-10]
-10.0,[TCP:sport:21269]-tamper{TCP:ack:replace:2563733677}-|,1,[-10]
-10.0,[TCP:urgptr:10872]-tamper{TCP:dataofs:replace:9}-|,1,[-10]
-10.0,"[TCP:ack:2626829491]-tamper{TCP:options-eol:replace:}(duplicate,)-|",1,[-10]
