Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:204}(drop,)-|[TCP:options-timestamp:2067802295]-tamper{TCP:dataofs:replace:10}-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:seq:3129860094]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:dataofs:6]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:13]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:replace:1}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:167}(tamper{TCP:flags:replace:FSAEN}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(tamper{TCP:flags:replace:FSAEN}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSAEN}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-mss:26485]-tamper{TCP:flags:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:replace:190}(tamper{TCP:flags:replace:FSAEN}(tamper{TCP:reserved:replace:4}(tamper{TCP:dataofs:replace:1}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSAEN}(tamper{TCP:load:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:FSAEN}(tamper{TCP:load:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:replace:4}(tamper{TCP:flags:replace:FSAEN}(tamper{TCP:load:replace:}(tamper{TCP:window:replace:100}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:replace:4}(tamper{TCP:flags:replace:FSAEN}(tamper{TCP:load:replace:}(tamper{TCP:ack:replace:3551414346}(drop,),),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:load:replace:}(tamper{TCP:window:replace:100}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:FSAEN}(tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:load:replace:}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:replace:4}(tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:options-altchksumopt:replace:}(drop,),),)-|",1,[-1000]
-20.0,[TCP:reserved:7]-tamper{TCP:options-altchksum:replace:53}-|[TCP:ack:4140167206]-tamper{TCP:ack:corrupt}-|,1,[-20]
-20.0,"[TCP:ack:1141465230]-tamper{TCP:options-timestamp:replace:2457349449}(tamper{TCP:options-nop:corrupt},)-|[TCP:options-mss:1383]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:3604192833]-tamper{TCP:options-altchksum:replace:149}(duplicate,)-|[TCP:seq:722870618]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:3:3]-duplicate(tamper{TCP:window:corrupt},)-|[TCP:urgptr:50769]-duplicate-|",1,[-20]
-20.0,[TCP:options-md5header:1253f34f521e91d6ef1c8b53e18351ab]-drop-|[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-20]
-20.0,"[TCP:urgptr:42829]-duplicate(,tamper{TCP:flags:corrupt})-|[TCP:flags:PUN]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:options-nop::0]-duplicate(tamper{TCP:options-md5header:replace:06117f10bf12a1175987895af3bc976f},)-|[TCP:options-mss:49710]-tamper{TCP:options-wscale:replace:49}-|",1,[-20]
-20.0,"[TCP:options-wscale:109:1]-fragment{tcp:-1:False}(,tamper{TCP:options-sack:corrupt})-|[TCP:urgptr:60294]-tamper{TCP:reserved:replace:1}-|",1,[-20]
-20.0,"[TCP:ack:1183277204]-duplicate(,duplicate)-|[TCP:load::3]-tamper{TCP:sport:replace:16681}-|",1,[-20]
-20.0,"[TCP:options-timestamp:2709164354]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:flags:replace:P},)-|[TCP:options-timestamp:3896779845]-tamper{TCP:flags:corrupt}-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__]-duplicate(,duplicate(tamper{TCP:seq:replace:1539884454},))-|[TCP:chksum:25445]-tamper{TCP:options-timestamp:replace:1954160866}-|",1,[-20]
-10.0,[TCP:options-timestamp:3253324502]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-timestamp:1668209184]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksumopt::0]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:95]-duplicate-|,1,[-10]
-10.0,"[TCP:window:40:0]-fragment{tcp:49:False}(,tamper{TCP:dataofs:corrupt})-|",1,[-10]
-10.0,"[TCP:window:180:3]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,[-10]
-10.0,"[TCP:window:130]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:chksum:54316]-tamper{TCP:chksum:replace:1407}(drop,)-|",1,[-10]
-10.0,[TCP:options-wscale:198]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,"[TCP:options-wscale:8]-tamper{TCP:options-uto:replace:251}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:5:4]-duplicate(,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,[TCP:sport:63068:4]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:A]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-md5header:36063d98e2c42fbaac16c826434e76da]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:12290]-tamper{TCP:options-eol:replace:}(duplicate,)-|[TCP:options-sackok:]-tamper{TCP:options-sackok:replace:}-|",1,[-10]
-10.0,"[TCP:ack:3861886649:1]-tamper{TCP:options-altchksum:replace:135}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:239:1]-tamper{TCP:sport:replace:22626}(tamper{TCP:options-altchksum:corrupt}(tamper{TCP:reserved:replace:4},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:131]-duplicate(,fragment{ip:-1:True})-|",1,[-10]
-10.0,[TCP:urgptr:36840]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:138]-tamper{TCP:window:replace:170}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:49848]-duplicate-|,1,[-10]
-10.0,"[TCP:window:60]-duplicate(tamper{TCP:options-md5header:replace:2a50948a1faf60a56e81f0148c83febc}(duplicate,),)-|",1,[-10]
-10.0,[TCP:dport:49226]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:1373425158]-tamper{TCP:options-uto:corrupt}(tamper{TCP:chksum:replace:65080},)-|",1,[-10]
-10.0,[TCP:ack:3960691246]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1333671106]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:614994014:0]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:29033:2]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dataofs:2]-tamper{TCP:window:replace:80}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-md5header:63af2abb931d14b55b0c83a466d233f0]-duplicate-|,1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(,fragment{tcp:-1:True})-|[TCP:sport:10785]-tamper{TCP:urgptr:replace:22779}-|",1,[-10]
-10.0,[TCP:dataofs:11]-drop-|[TCP:options-sackok:]-fragment{tcp:-1:False}-|,1,[-10]
