Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-nop::0]-tamper{TCP:sport:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:chksum:43409]-drop-|[TCP:options-altchksumopt:]-drop-|,1,['-1000']
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-md5header:192f719211038369e6a844a53d7f4842:1]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:flags:replace:RPACN}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-sack:replace:}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack::1]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop::0]-drop-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}(tamper{TCP:dataofs:corrupt}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-mss:26642]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:replace:pniv5smlut}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(drop,tamper{TCP:options-eol:corrupt}(drop,))-|",1,['-1000']
-1000.0,"[TCP:flags:A]-|[TCP:options-sackok:]-fragment{tcp:-1:True}(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(drop,drop)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-timestamp:3750344391:0]-tamper{TCP:flags:replace:RA}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-fragment{tcp:10:True}(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-nop:]-drop-|,1,['-1000']
-1000.0,"[TCP:flags:A]-|[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
