Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
[TCP:options-sack:]-duplicate-|,84.73399999999998,19,4.459684210526315
[TCP:options-nop:]-|,-142000.0,19,-7473.684210526316
[TCP:options-sackok:]-|,-136000.0,19,-7157.894736842105
[TCP:options-sackok:]-duplicate-|,91.486,19,4.815052631578948
[TCP:options-eol:]-|,-155000.0,19,-8157.894736842105
[TCP:options-eol:]-duplicate-|,57.13,19,3.006842105263158
,299.468,19,15.761473684210527
[TCP:options-altchksumopt:]-drop-|,-50000.0,18,-2777.777777777778
[TCP:options-sack:]-|,-142000.0,18,-7888.888888888889
[TCP:options-nop:]-duplicate-|,78.66499999999999,18,4.370277777777777
[TCP:options-altchksumopt:]-|,-111000.0,18,-6166.666666666667
[TCP:options-eol:]-drop-|,-70000.0,17,-4117.64705882353
[TCP:options-sackok:]-drop-|,-89000.0,17,-5235.294117647059
[TCP:options-altchksumopt:]-duplicate-|,67.17799999999997,17,3.9516470588235277
[TCP:options-nop:]-fragment{tcp:-1:False}-|,42.24400000000001,16,2.6402500000000004
[TCP:options-nop:]-drop-|,-80000.0,15,-5333.333333333333
[TCP:options-sackok:]-fragment{tcp:-1:False}-|,76.80499999999999,14,5.486071428571428
[TCP:options-sackok:]-fragment{tcp:-1:True}-|,47.35999999999999,14,3.382857142857142
[TCP:options-altchksumopt:]-fragment{tcp:-1:False}-|,37.695000000000014,14,2.6925000000000012
[TCP:options-sack:]-drop-|,-68000.0,14,-4857.142857142857
[TCP:options-eol:]-fragment{tcp:-1:False}-|,41.089999999999996,13,3.1607692307692306
[TCP:options-altchksumopt:]-fragment{tcp:-1:True}-|,44.812999999999995,13,3.447153846153846
[TCP:options-eol:]-fragment{tcp:-1:True}-|,90.311,13,6.947000000000001
[TCP:options-nop:]-fragment{tcp:-1:True}-|,57.022,13,4.3863076923076925
[TCP:options-sack:]-fragment{tcp:-1:False}-|,43.555,12,3.629583333333333
[TCP:options-sack:]-fragment{tcp:-1:True}-|,43.886,11,3.989636363636364
"[TCP:options-nop:]-duplicate(duplicate,)-|",8.734,11,0.794
[TCP:load:]-duplicate-|,19.004,10,1.9004
"[TCP:options-altchksumopt:]-duplicate(duplicate,)-|",10.239,10,1.0239
[TCP:options-altchksumopt::0]-drop-|,-4025.2799999999997,10,-402.52799999999996
[TCP:options-eol::0]-|,19.586000000000002,10,1.9586000000000001
[TCP:options-eol:]-fragment{ip:-1:True}-|,4.111,10,0.41109999999999997
[TCP:load:]-|,79.56299999999992,10,7.956299999999992
[TCP:options-sackok:]-fragment{tcp:-1:True:5}-|,6.751,9,0.7501111111111112
[TCP:options-sack::0]-duplicate-|,16.027999999999995,9,1.7808888888888883
[TCP:reserved:0]-|,-22000.0,9,-2444.4444444444443
[TCP:options-nop:]-tamper{TCP:flags:corrupt}-|,6.904,9,0.7671111111111111
[TCP:options-sack::0]-drop-|,-1021.0939999999999,9,-113.45488888888889
"[TCP:options-nop:]-fragment{tcp:-1:False}(duplicate,)-|",16.332,9,1.8146666666666667
[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}-|,8.767999999999999,8,1.0959999999999999
[TCP:options-nop:]-tamper{TCP:options-nop:replace:}-|,12.803999999999998,8,1.6004999999999998
[TCP:options-sackok::0]-duplicate-|,11.725,8,1.465625
"[TCP:options-sackok:]-duplicate(duplicate,)-|",9.648000000000001,8,1.2060000000000002
"[TCP:options-sack:]-duplicate(duplicate,)-|",23.241000000000003,8,2.9051250000000004
[TCP:options-nop::0]-|,5.561000000000001,8,0.6951250000000001
"[TCP:options-sackok:]-fragment{tcp:-1:True}(,duplicate)-|",27.083,8,3.385375
"[TCP:options-eol:]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|",29.405999999999995,8,3.6757499999999994
[TCP:options-nop::0]-duplicate-|,-25.554,8,-3.19425
[TCP:options-eol::0]-duplicate-|,37.08800000000001,8,4.636000000000001
"[TCP:options-eol:]-duplicate(fragment{tcp:-1:True},)-|",3.705,7,0.5292857142857142
[TCP:options-nop:]-tamper{TCP:seq:corrupt}-|,8.101,7,1.1572857142857145
"[TCP:options-altchksumopt:]-duplicate(,duplicate)-|",6.010000000000001,7,0.8585714285714287
[TCP:options-sack:]-fragment{ip:-1:True}-|,2.678,7,0.38257142857142856
[TCP:options-sackok::0]-|,9.826,7,1.4037142857142857
"[TCP:options-altchksumopt:]-fragment{tcp:-1:True}(duplicate,)-|",15.682999999999998,7,2.240428571428571
[TCP:options-altchksumopt::0]-duplicate-|,12.058,7,1.7225714285714286
[TCP:options-eol:]-fragment{ip:-1:False}-|,3.701,7,0.5287142857142857
[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}-|,8.143,7,1.1632857142857145
[TCP:options-sack:]-tamper{TCP:options-eol:replace:}-|,7.797999999999999,7,1.1139999999999999
[TCP:options-eol:]-fragment{tcp:-1:False:5}-|,7.551,7,1.0787142857142857
[TCP:options-sack:]-fragment{tcp:-1:False:5}-|,5.269,7,0.7527142857142858
"[TCP:options-sackok:]-fragment{tcp:-1:False}(duplicate,)-|",10.905000000000001,7,1.557857142857143
"[TCP:options-sackok:]-fragment{tcp:-1:True}(duplicate,)-|",22.42,7,3.2028571428571433
[TCP:options-eol:]-fragment{tcp:-1:True:5}-|,8.894,7,1.2705714285714287
"[TCP:options-sackok:]-fragment{tcp:-1:False}(drop,)-|",60.69,7,8.67
[TCP:options-nop:]-fragment{tcp:-1:True:5}-|,8.3,7,1.1857142857142857
[TCP:options-sackok::0]-fragment{tcp:-1:True}-|,-3.2119999999999997,7,-0.4588571428571428
[TCP:options-nop:]-tamper{TCP:options-sackok:replace:}-|,5.299,6,0.8831666666666668
[TCP:options-nop::0]-drop-|,-1008.284,6,-168.04733333333334
"[TCP:options-eol:]-duplicate(duplicate,)-|",4.788,6,0.798
[TCP:options-sackok::0]-fragment{tcp:-1:False}-|,-6.521000000000001,6,-1.0868333333333335
[TCP:options-nop:]-tamper{TCP:options-eol:corrupt}-|,3.1310000000000002,6,0.5218333333333334
[TCP:options-eol:]-tamper{TCP:chksum:corrupt}-|,0.0,6,0.0
[TCP:options-sack::0]-|,26.503999999999998,6,4.417333333333333
[TCP:flags:A]-duplicate-|,31.618,6,5.269666666666667
[TCP:options-altchksumopt:]-tamper{TCP:options-mss:corrupt}-|,3.152,6,0.5253333333333333
[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:replace:}-|,5.705,6,0.9508333333333333
[TCP:options-altchksumopt::0]-|,4.774,6,0.7956666666666666
[TCP:reserved:7]-duplicate-|,-64.894,6,-10.815666666666667
[TCP:options-sack:]-tamper{TCP:load:replace:}-|,53.999999999999986,6,8.999999999999998
[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}-|,8.783,6,1.4638333333333333
[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}-|,5.307,6,0.8845000000000001
[TCP:options-nop:]-tamper{TCP:options-eol:replace:}-|,8.134,6,1.3556666666666668
[TCP:flags:PA]-|,17.550000000000004,6,2.9250000000000007
"[TCP:options-sack:]-fragment{tcp:-1:True}(duplicate,)-|",7.337,6,1.2228333333333332
[TCP:options-sackok:]-fragment{ip:-1:False}-|,4.1259999999999994,6,0.6876666666666665
"[TCP:options-nop:]-fragment{tcp:-1:False}(drop,)-|",6.1610000000000005,6,1.0268333333333335
[TCP:options-sack:]-fragment{tcp:-1:True:5}-|,12.771,6,2.1285000000000003
[TCP:options-nop:]-tamper{TCP:load:corrupt}-|,22.37,6,3.7283333333333335
[TCP:options-nop:]-tamper{TCP:dport:corrupt}-|,0.0,6,0.0
"[TCP:options-nop:]-fragment{tcp:-1:True}(duplicate,)-|",11.640000000000002,6,1.9400000000000004
"[TCP:options-eol:]-fragment{tcp:-1:True}(duplicate,)-|",17.014000000000003,6,2.835666666666667
"[TCP:options-eol:]-fragment{tcp:-1:False}(duplicate,)-|",4.721,6,0.7868333333333334
[TCP:load:]-drop-|,39.50899999999998,6,6.5848333333333295
[TCP:options-sackok:]-fragment{ip:-1:False:5}-|,3.1119999999999997,6,0.5186666666666666
[TCP:flags:PA]-duplicate-|,17.190999999999995,6,2.8651666666666658
"[TCP:options-sackok:]-fragment{tcp:-1:False}(,duplicate)-|",11.394,6,1.899
