Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack::1]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:reserved:3]-tamper{TCP:dport:corrupt}-|,1,['-1000']
-1000.0,"[TCP:flags:SRPC]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:11},)-|[TCP:options-altchksumopt:]-drop-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-nop:replace:}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:replace:54046}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol::1]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:replace:190}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:ack:1477966333]-tamper{TCP:urgptr:replace:57708}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:27942}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol::0]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:replace:40483}(duplicate(drop,drop),)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:__DNS_REQUEST__}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol::0]-duplicate-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:reserved:0]-drop-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-eol::0]-duplicate(duplicate,)-|[TCP:options-nop:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-fragment{tcp:-1:False}(drop,drop)-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-drop-|[TCP:options-eol:]-tamper{TCP:ack:replace:1788322649}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-duplicate(fragment{tcp:-1:False}(drop,drop),drop)-|",1,['-1000']
-1000.0,[TCP:flags:A]-|[TCP:options-eol:]-|,1,['-1000']
-1000.0,[TCP:options-eol::0]-|[TCP:options-nop:]-|[TCP:options-eol:]-|,1,['-1000']
-1000.0,[TCP:load::0]-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:replace:df10e13674f6e9f4f944a5fdc1fea326}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop::0]-tamper{TCP:window:replace:130}-|[TCP:options-eol:]-|,1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-nop::0]-tamper{TCP:options-altchksum:replace:205}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(drop,drop)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-altchksum:249]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,[TCP:options-nop::0]-drop-|[TCP:options-eol:]-drop-|,1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:chksum:29934]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:FSAECN}(tamper{TCP:options-timestamp:replace:1988502598}(drop,),)-|",1,['-1000']
-1000.0,[TCP:flags:A]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:dport:44340]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-mss:35535:2]-tamper{TCP:options-sackok:replace:}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:ack:replace:73182960}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSAECN}(tamper{TCP:window:replace:40}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-mss:34715]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSAECN}(fragment{tcp:11:True}(drop,drop),)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-md5header:97fdc36d5c45c5382ecd000eff00feeb]-tamper{TCP:options-wscale:corrupt}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:15734}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:replace:165412492}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:54184}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:window:190:2]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:FSAECN}(tamper{TCP:load:replace:}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-timestamp:4171981685]-duplicate-|,1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:flags:F]-tamper{TCP:window:replace:20}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:corrupt}(fragment{tcp:-1:True}(tamper{TCP:options-wscale:replace:195}(drop,),drop),)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:load:kniah68a13]-tamper{TCP:seq:replace:382603954}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:FSAECN}(tamper{TCP:urgptr:replace:15747}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:flags:P]-drop-|,1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-altchksum:47:0]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:SA}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:dataofs:6]-tamper{TCP:options-sackok:corrupt}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:replace:155}(drop,)-|",1,['-1000']
-19.368,"[TCP:options-mss:4356]-fragment{tcp:-1:True}(tamper{TCP:window:corrupt},)-|[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:True}-|",1,['-19.368']
-19.368,"[TCP:urgptr:33060]-duplicate(,fragment{tcp:-1:False})-|[TCP:reserved:2]-tamper{TCP:urgptr:corrupt}-|",1,['-19.368']
-19.368,"[TCP:options-timestamp:889026928]-tamper{TCP:dataofs:corrupt}(drop,)-|[TCP:seq:3806898927]-tamper{TCP:options-md5header:replace:a207c0a0e17de0ad6ab090df40ace8c0}-|",1,['-19.368']
-19.368,"[TCP:options-uto:70]-tamper{TCP:options-uto:corrupt}(duplicate,)-|[TCP:options-timestamp:492073103:4]-fragment{tcp:-1:False}-|",1,['-19.368']
-19.368,"[TCP:dport:28717]-fragment{tcp:-1:True}(,duplicate)-|[TCP:dataofs:6]-duplicate-|",1,['-19.368']
-19.368,"[TCP:urgptr:2713:2]-tamper{TCP:urgptr:replace:65092}(duplicate,)-|[TCP:ack:2864794979]-fragment{tcp:-1:True}-|",1,['-19.368']
-19.368,"[TCP:ack:1209169650]-duplicate(,drop)-|[TCP:sport:26853:3]-tamper{TCP:dataofs:replace:15}-|",1,['-19.368']
-19.368,"[TCP:sport:45078:1]-tamper{TCP:dport:replace:54410}(duplicate,)-|[TCP:dataofs:14]-duplicate-|",1,['-19.368']
-19.368,"[TCP:options-mss:28448]-fragment{tcp:-1:True}(,tamper{TCP:options-sackok:corrupt})-|[TCP:seq:3324430410]-drop-|",1,['-19.368']
-19.368,"[TCP:options-timestamp:4190703906]-duplicate(,fragment{tcp:-1:True})-|[TCP:window:190]-duplicate-|",1,['-19.368']
-19.368,"[TCP:options-timestamp:2144226277]-fragment{tcp:-1:True}(,duplicate)-|[TCP:options-uto:210]-tamper{TCP:flags:replace:SA}-|",1,['-19.368']
-19.368,"[TCP:dataofs:8]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-wscale:143]-tamper{TCP:options-md5header:corrupt}-|",1,['-19.368']
-19.368,"[TCP:seq:969164906]-duplicate(tamper{TCP:options-nop:replace:},)-|[TCP:seq:3558402843:0]-tamper{TCP:chksum:corrupt}-|",1,['-19.368']
-19.368,"[TCP:dataofs:8]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:urgptr:replace:20241},)-|[TCP:options-mss:59674]-drop-|",1,['-19.368']
