Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:chksum:53849]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:10256}(tamper{TCP:window:replace:20}(drop,),)-|[TCP:options-wscale:70]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:28089}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:replace:61}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:ack:replace:2569115496}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:replace:35187}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:replace:3540942649}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:flags:SPAC]-tamper{TCP:options-wscale:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-duplicate(drop,)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-sack::0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,"[TCP:reserved:0]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:replace:}(tamper{TCP:seq:replace:1571183040}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-duplicate-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksum:85]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:load:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:y8o94o16xg}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-sack::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:corrupt}(tamper{TCP:options-altchksum:replace:67}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol::0]-tamper{TCP:sport:replace:57848}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:20920}(tamper{TCP:seq:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(tamper{TCP:dataofs:corrupt}(tamper{TCP:options-mss:replace:22779}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:ack:1612831251]-tamper{TCP:window:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:dataofs:13]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-timestamp:1121448793]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:replace:2778}(drop,)-|",1,[-1000]
