IP:62.48.187.246   Website:www.pornhub.com

2023-04-04 00:09:51 INFO:Logging results to trials/2023-04-04_00:09:51/logs
2023-04-04 00:09:51 INFO:Strategies will only be allowed to use protocols: TCP
2023-04-04 00:09:51 INFO:Initializing 1000 strategies with 0 input-action trees and 1 output-action trees of input size 2 and output size 2 for evolution over 10 generations.
2023-04-04 00:09:51 INFO:================================================================================================================================
2023-04-04 00:09:51 INFO:Generation 0:

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 1/1000 [00:00<14:47,  1.13it/s]
  0%|          | 2/1000 [00:01<14:29,  1.15it/s]
  0%|          | 3/1000 [00:02<13:47,  1.21it/s]
  0%|          | 4/1000 [00:03<13:38,  1.22it/s]
  0%|          | 5/1000 [00:04<13:26,  1.23it/s]
  1%|          | 6/1000 [00:04<13:01,  1.27it/s]
  1%|          | 7/1000 [00:05<12:58,  1.28it/s]
  1%|          | 8/1000 [00:06<13:06,  1.26it/s]
  1%|          | 9/1000 [00:07<13:01,  1.27it/s]
  1%|          | 11/1000 [00:08<09:53,  1.67it/s]
  1%|          | 12/1000 [00:08<10:35,  1.55it/s]
  1%|▏         | 13/1000 [00:09<11:10,  1.47it/s]
  1%|▏         | 14/1000 [00:10<11:37,  1.41it/s]
  2%|▏         | 15/1000 [00:11<11:56,  1.37it/s]
  2%|▏         | 16/1000 [00:11<12:10,  1.35it/s]
  2%|▏         | 17/1000 [00:13<14:52,  1.10it/s]
  2%|▏         | 18/1000 [00:13<14:11,  1.15it/s]
  2%|▏         | 19/1000 [00:14<12:59,  1.26it/s]
  2%|▏         | 20/1000 [00:15<12:57,  1.26it/s]
  2%|▏         | 21/1000 [00:16<16:07,  1.01it/s]
  2%|▏         | 22/1000 [00:17<15:00,  1.09it/s]
  2%|▏         | 23/1000 [00:18<14:09,  1.15it/s]
  2%|▏         | 24/1000 [00:19<13:54,  1.17it/s]
  2%|▎         | 25/1000 [00:19<13:25,  1.21it/s]
  3%|▎         | 26/1000 [00:20<12:18,  1.32it/s]
  3%|▎         | 27/1000 [00:21<12:24,  1.31it/s]
  3%|▎         | 28/1000 [00:22<12:30,  1.29it/s]
  3%|▎         | 29/1000 [00:22<12:23,  1.31it/s]
  3%|▎         | 30/1000 [00:23<13:51,  1.17it/s]
  3%|▎         | 31/1000 [00:24<13:36,  1.19it/s]
  3%|▎         | 32/1000 [00:25<13:11,  1.22it/s]
  3%|▎         | 33/1000 [00:26<13:05,  1.23it/s]
  3%|▎         | 34/1000 [00:27<14:10,  1.14it/s]
  4%|▎         | 35/1000 [00:28<13:55,  1.16it/s]
  4%|▎         | 36/1000 [00:28<13:32,  1.19it/s]
  4%|▎         | 37/1000 [00:29<13:07,  1.22it/s]
  4%|▍         | 38/1000 [00:30<12:47,  1.25it/s]
  4%|▍         | 39/1000 [00:31<12:35,  1.27it/s]
  4%|▍         | 40/1000 [00:31<12:30,  1.28it/s]
  4%|▍         | 41/1000 [00:32<12:26,  1.29it/s]
  4%|▍         | 42/1000 [00:33<12:28,  1.28it/s]
  4%|▍         | 43/1000 [00:34<12:30,  1.28it/s]
  4%|▍         | 44/1000 [00:35<12:14,  1.30it/s]
  4%|▍         | 45/1000 [00:35<12:02,  1.32it/s]
  5%|▍         | 46/1000 [00:36<12:08,  1.31it/s]
  5%|▍         | 47/1000 [00:37<12:20,  1.29it/s]
  5%|▍         | 48/1000 [00:38<12:32,  1.27it/s]
  5%|▍         | 49/1000 [00:39<12:31,  1.27it/s]
  5%|▌         | 50/1000 [00:39<13:19,  1.19it/s]
  5%|▌         | 51/1000 [00:40<12:58,  1.22it/s]
  5%|▌         | 52/1000 [00:41<14:05,  1.12it/s]
  5%|▌         | 53/1000 [00:42<13:32,  1.17it/s]
  5%|▌         | 54/1000 [00:43<12:58,  1.22it/s]
  6%|▌         | 55/1000 [00:44<12:39,  1.24it/s]
  6%|▌         | 56/1000 [00:44<12:37,  1.25it/s]
  6%|▌         | 57/1000 [00:45<12:33,  1.25it/s]
  6%|▌         | 59/1000 [00:46<10:13,  1.53it/s]
  6%|▌         | 60/1000 [00:47<10:40,  1.47it/s]
  6%|▌         | 61/1000 [00:48<11:16,  1.39it/s]
  6%|▌         | 62/1000 [00:48<11:25,  1.37it/s]
  6%|▋         | 63/1000 [00:50<12:43,  1.23it/s]
  6%|▋         | 64/1000 [00:50<12:54,  1.21it/s]
  6%|▋         | 65/1000 [00:51<12:38,  1.23it/s]
  7%|▋         | 66/1000 [00:52<13:40,  1.14it/s]
  7%|▋         | 67/1000 [00:53<13:23,  1.16it/s]
  7%|▋         | 68/1000 [00:54<13:11,  1.18it/s]
  7%|▋         | 69/1000 [00:55<12:40,  1.22it/s]
  7%|▋         | 70/1000 [00:55<12:37,  1.23it/s]
  7%|▋         | 71/1000 [00:57<14:37,  1.06it/s]
  7%|▋         | 72/1000 [00:57<13:53,  1.11it/s]
  7%|▋         | 73/1000 [00:58<14:26,  1.07it/s]
  7%|▋         | 74/1000 [00:59<13:45,  1.12it/s]
  8%|▊         | 75/1000 [01:00<12:59,  1.19it/s]
  8%|▊         | 76/1000 [01:01<12:55,  1.19it/s]
  8%|▊         | 77/1000 [01:02<12:38,  1.22it/s]
  8%|▊         | 78/1000 [01:02<12:25,  1.24it/s]
  8%|▊         | 80/1000 [01:03<09:28,  1.62it/s]
  8%|▊         | 81/1000 [01:04<10:13,  1.50it/s]
  8%|▊         | 82/1000 [01:05<10:44,  1.42it/s]
  8%|▊         | 83/1000 [01:06<11:10,  1.37it/s]
  8%|▊         | 84/1000 [01:06<11:40,  1.31it/s]
  8%|▊         | 85/1000 [01:07<11:30,  1.32it/s]
  9%|▊         | 86/1000 [01:08<11:33,  1.32it/s]
  9%|▊         | 87/1000 [01:09<11:38,  1.31it/s]
  9%|▉         | 88/1000 [01:10<12:49,  1.19it/s]
  9%|▉         | 89/1000 [01:11<15:15,  1.01s/it]
  9%|▉         | 90/1000 [01:12<14:16,  1.06it/s]
  9%|▉         | 91/1000 [01:13<13:29,  1.12it/s]
