Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:dataofs:9]-tamper{TCP:window:replace:100}(tamper{TCP:dataofs:replace:12},)-|[TCP:options-nop:]-drop-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:3}(drop,)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:3}(tamper{TCP:reserved:replace:2}(drop,),)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:replace:__DNS_REQUEST__}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:replace:3907346461}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:flags:PA]-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:chksum:replace:3878}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:14}(tamper{TCP:chksum:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:replace:54842}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:2773877703}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:199}(tamper{TCP:options-sackok:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:replace:37874}(drop,)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:replace:5451}(drop,)-|",1,['-1000']
-1000.0,"[TCP:window:60]-duplicate(,tamper{TCP:options-wscale:replace:151}(tamper{TCP:options-nop:replace:}(fragment{tcp:-1:False},),))-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:window:60]-duplicate(tamper{TCP:options-nop:corrupt},tamper{TCP:options-wscale:replace:151}(fragment{tcp:-1:False},))-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:window:60]-duplicate(tamper{TCP:sport:corrupt},tamper{TCP:options-wscale:replace:151}(fragment{tcp:-1:False},))-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-duplicate(tamper{TCP:options-md5header:replace:5dd53521946f9e185823f5b0e037e8e7}(drop,),tamper{TCP:options-wscale:corrupt}(drop,))-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:replace:00c243353f1118981a2d3412d9dc56f1}(tamper{TCP:options-sack:replace:}(tamper{TCP:options-timestamp:corrupt}(drop,),),)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-wscale:137]-tamper{TCP:options-wscale:corrupt}-|,1,['-1000']
-1000.0,[TCP:reserved:0:0]-duplicate-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol:]-drop-|[TCP:options-uto:162]-tamper{TCP:options-uto:corrupt}-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:dataofs:14]-duplicate-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:flags:PA]-|[TCP:options-uto:188]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,[TCP:flags:S]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-eol::0]-tamper{TCP:flags:corrupt}-|[TCP:options-sackok:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol:]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:chksum:32228]-tamper{TCP:load:replace:__DNS_REQUEST__}(fragment{ip:-1:False}(,fragment{tcp:-1:True}),)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-wscale:94:1]-tamper{TCP:dport:replace:15997}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:ack:725574851:1]-tamper{TCP:options-uto:replace:140}-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:8}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:sport:replace:56257}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:replace:20255}(drop,)-|[TCP:options-sack:]-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-wscale:83:0]-tamper{TCP:options-altchksum:replace:26}(tamper{TCP:options-timestamp:corrupt}(duplicate(tamper{TCP:options-eol:replace:}(duplicate(drop,),),tamper{TCP:urgptr:corrupt}),),)-|",1,['-1000']
-1000.0,"[TCP:options-eol::0]-tamper{TCP:ack:corrupt}-|[TCP:options-eol:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-md5header:30b5cda1913e6522bf8704ad54d0dc4e]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:load:corrupt}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:corrupt}(tamper{TCP:options-sack:replace:}(tamper{TCP:dport:corrupt}(tamper{TCP:options-md5header:corrupt}(tamper{TCP:ack:replace:63687568}(drop,),),),),)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-|[TCP:options-nop::0]-fragment{tcp:-1:True}(,duplicate)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:sport:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:corrupt}(tamper{TCP:dport:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-nop::0]-tamper{TCP:reserved:corrupt}-|[TCP:options-altchksum:87:1]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-altchksum:corrupt}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:ack:2540032907]-drop-|,1,['-1000']
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-sackok:]-|[TCP:options-eol:]-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-wscale:135]-tamper{TCP:options-md5header:corrupt}-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:load:]-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-mss:56545]-tamper{TCP:options-sackok:replace:}-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-mss:16248]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-wscale:83:0]-tamper{TCP:options-altchksum:replace:26}(tamper{TCP:options-timestamp:corrupt}(duplicate(tamper{TCP:options-eol:replace:}(duplicate(duplicate,duplicate(,tamper{TCP:options-uto:corrupt})),),tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:True},)),),)-|",1,['-1000']
-1000.0,"[TCP:options-nop::0]-fragment{tcp:15:True}(duplicate,)-|[TCP:options-nop:]-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-md5header:b3417ff0f40d229799a5a4148a3e9245]-tamper{TCP:options-altchksum:corrupt}-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:urgptr:1073]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-altchksumopt:corrupt}(drop,),)-|",1,['-1000']
-1000.0,[TCP:load:]-drop-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:corrupt}(tamper{TCP:reserved:corrupt}(tamper{TCP:options-md5header:corrupt}(drop,),),)-|",1,['-1000']
-1000.0,[TCP:load:]-drop-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:window:10]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:replace:38}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-drop-|[TCP:load:]-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:ack:1158447827]-|[TCP:sport:24174]-|,1,['-1000']
