Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(drop,drop)-|[TCP:options-mss:28762]-duplicate-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:True:5}(drop,drop)-|",1,[-1000]
-19.337,"[TCP:options-timestamp:3646612230:2]-tamper{TCP:options-timestamp:replace:3169398249}(fragment{tcp:-1:True},)-|[TCP:chksum:42032]-duplicate-|",1,[-19.337]
-19.337,"[TCP:ack:245571028]-duplicate(fragment{tcp:-1:False},)-|[TCP:urgptr:1475]-duplicate-|",1,[-19.337]
-19.337,"[TCP:sport:47464]-tamper{TCP:options-sackok:corrupt}(drop,)-|[TCP:urgptr:26821]-duplicate-|",1,[-19.337]
-19.337,[TCP:sport:5408]-duplicate-|[TCP:dataofs:8]-duplicate-|,1,[-19.337]
-19.337,"[TCP:dport:45320]-tamper{TCP:sport:corrupt}(tamper{TCP:options-nop:replace:},)-|[TCP:flags:P:2]-tamper{TCP:chksum:replace:3262}-|",1,[-19.337]
-19.337,"[TCP:chksum:56499:2]-tamper{TCP:options-md5header:replace:5e891d8c2a35f1237ff32eec4e73ca70}(drop,)-|[TCP:window:40:1]-drop-|",1,[-19.337]
-19.337,"[TCP:sport:764:2]-tamper{TCP:options-nop:corrupt}(tamper{TCP:sport:replace:53083},)-|[TCP:load:qrb1rw0edq]-tamper{TCP:options-timestamp:corrupt}-|",1,[-19.337]
-19.337,"[TCP:options-mss:48384]-duplicate(fragment{tcp:-1:True},)-|[TCP:reserved:3:4]-tamper{TCP:flags:corrupt}-|",1,[-19.337]
-19.337,"[TCP:seq:2645805593]-duplicate(tamper{TCP:options-uto:replace:76},)-|[TCP:dataofs:10:0]-duplicate-|",1,[-19.337]
-19.337,"[TCP:dataofs:5:1]-tamper{TCP:reserved:corrupt}(duplicate,)-|[TCP:seq:4040418951]-fragment{tcp:-1:False}-|",1,[-19.337]
-19.337,"[TCP:flags:]-tamper{TCP:options-sack:replace:}(tamper{TCP:sport:corrupt},)-|[TCP:options-sack::0]-tamper{TCP:options-altchksum:replace:166}-|",1,[-19.337]
-19.337,"[TCP:seq:1290385778]-tamper{TCP:options-uto:corrupt}(duplicate,)-|[TCP:flags:SRPUECN]-fragment{tcp:-1:True}-|",1,[-19.337]
-19.337,"[TCP:seq:3568662727]-duplicate(fragment{tcp:-1:True},)-|[TCP:ack:2363834264:3]-fragment{tcp:-1:False}-|",1,[-19.337]
-19.337,"[TCP:ack:191029852:3]-duplicate(tamper{TCP:options-uto:replace:77},)-|[TCP:flags:SA]-duplicate-|",1,[-19.337]
-19.337,"[TCP:options-uto:140]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:ack:corrupt},)-|[TCP:options-altchksum:36]-tamper{TCP:reserved:corrupt}-|",1,[-19.337]
-19.337,[TCP:flags:SA]-|[TCP:options-altchksum:239]-duplicate-|,1,[-19.337]
-19.337,[TCP:reserved:7]-|[TCP:options-mss:495]-tamper{TCP:flags:replace:SRPAUC}-|,1,[-19.337]
-10.0,"[TCP:chksum:33975]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:options-wscale:replace:11}(tamper{TCP:urgptr:replace:29260},),)-|",1,[-10]
-10.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(duplicate,)-|[TCP:dport:48884]-tamper{TCP:flags:replace:A}-|",1,[-10]
-10.0,"[TCP:options-sackok:]-fragment{tcp:55:True}(fragment{tcp:55:True}(duplicate,),)-|[TCP:flags:FA]-tamper{TCP:options-sack:corrupt}-|",1,[-10]
