Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:__DNS_REQUEST__}(drop,)-|",1,[-1000]
-1000.0,[TCP:load:]-drop-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:load:]-tamper{TCP:sport:corrupt}(drop,)-|[TCP:options-sackok:]-drop-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:load:]-|,1,[-1000]
-1000.0,[TCP:load:]-drop-|[TCP:flags:A:0]-tamper{TCP:options-altchksumopt:replace:}-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:load:]-drop-|[TCP:options-eol::1]-tamper{TCP:ack:replace:632172236}(drop,)-|",1,[-1000]
-1000.0,"[TCP:load:]-drop-|[TCP:options-eol:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:flags:A:0]-|[TCP:load:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:load:]-|[TCP:urgptr:16623]-duplicate(tamper{TCP:reserved:replace:4},)-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,"[TCP:flags:A:0]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,"[TCP:flags:A:0]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-drop-|[TCP:flags:A:0]-duplicate(tamper{TCP:reserved:replace:4},)-|[TCP:load:]-drop-|",1,[-1000]
-1000.0,"[TCP:load:]-drop-|[TCP:flags:A:0]-duplicate(tamper{TCP:reserved:replace:4},)-|[TCP:options-nop:]-drop-|[TCP:ack:3511196222]-tamper{TCP:options-wscale:corrupt}-|",1,[-1000]
-1000.0,"[TCP:load:]-drop-|[TCP:flags:A:0]-duplicate(,tamper{TCP:options-mss:corrupt})-|[TCP:options-nop:]-|[TCP:options-timestamp:2848958878]-duplicate-|",1,[-1000]
-1000.0,[TCP:load:]-drop-|[TCP:flags:A:0]-duplicate-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:flags:A:0]-duplicate(duplicate,)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:load:]-|[TCP:flags:A:0]-drop-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:load:]-|[TCP:flags:A:0]-duplicate(tamper{TCP:urgptr:corrupt},)-|[TCP:options-nop:]-drop-|[TCP:seq:520258630]-tamper{TCP:reserved:corrupt}-|",1,[-1000]
-1000.0,[TCP:load:]-drop-|[TCP:flags:A:0]-duplicate-|[TCP:options-nop:]-|[TCP:options-timestamp:3435917111:0]-tamper{TCP:options-wscale:corrupt}-|,1,[-1000]
-1000.0,[TCP:load:]-drop-|[TCP:flags:A:0]-duplicate-|[TCP:options-nop:]-drop-|[TCP:options-wscale:240]-tamper{TCP:options-sackok:replace:}-|,1,[-1000]
