Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:window:10]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:dport:replace:9791}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:window:150]-tamper{TCP:dport:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:SA}(drop,)-|[TCP:options-timestamp:4002321630]-duplicate-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:flags:corrupt}(tamper{TCP:flags:replace:SA}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(fragment{tcp:43:True:16}(drop,tamper{TCP:flags:corrupt}(tamper{TCP:flags:corrupt}(tamper{TCP:flags:replace:SA}(drop,),),)),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}(tamper{TCP:flags:replace:SA}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(drop,),)-|[TCP:options-nop::0]-fragment{tcp:-1:True:5}(fragment{tcp:-1:False}(duplicate,fragment{tcp:-1:True}),drop)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:corrupt}(tamper{TCP:flags:replace:SA}(fragment{tcp:43:True:16}(drop,tamper{TCP:load:replace:}(drop,)),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(tamper{TCP:flags:corrupt}(tamper{TCP:flags:replace:SA}(fragment{tcp:43:True:16}(drop,fragment{tcp:43:True:16}(drop,tamper{TCP:reserved:replace:7}(drop,))),),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(drop,),)-|",1,[-1000]
-19.349,"[TCP:dport:60096]-duplicate(duplicate,)-|[TCP:flags:FSRPECN:0]-duplicate-|",1,[-19.349]
-19.349,"[TCP:options-uto:57]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:chksum:20397:0]-duplicate-|",1,[-19.349]
-19.349,"[TCP:window:90]-duplicate(duplicate,)-|[TCP:options-timestamp:2555351246:3]-tamper{TCP:reserved:replace:2}-|",1,[-19.349]
-19.349,"[TCP:options-mss:16988]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-19.349]
-19.349,[TCP:options-md5header:af9939f4ee13d0d292d7e924ad05d53d]-drop-|[TCP:options-altchksum:151]-tamper{TCP:reserved:corrupt}-|,1,[-19.349]
-19.349,"[TCP:reserved:3]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-altchksumopt:corrupt},)-|[TCP:options-md5header:252e94a4745ebf428ceb9696e5bcddb6:0]-tamper{TCP:options-altchksum:replace:245}-|",1,[-19.349]
-19.349,"[TCP:sport:63201]-fragment{tcp:-1:False}(tamper{TCP:window:replace:190},)-|[TCP:flags:SA]-duplicate-|",1,[-19.349]
-19.349,"[TCP:reserved:1]-duplicate(tamper{TCP:options-sack:replace:},)-|[TCP:reserved:6]-tamper{TCP:ack:replace:3693700343}-|",1,[-19.349]
-19.349,"[TCP:options-altchksum:250]-duplicate(fragment{tcp:-1:False},)-|[TCP:urgptr:59919]-fragment{tcp:-1:True}-|",1,[-19.349]
-19.349,"[TCP:ack:174167812:3]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:seq:2713161296:2]-duplicate-|",1,[-19.349]
-19.349,"[TCP:dport:16294]-tamper{TCP:flags:corrupt}(tamper{TCP:flags:corrupt},)-|[TCP:sport:27688]-tamper{TCP:reserved:replace:3}-|",1,[-19.349]
-19.349,[TCP:chksum:15767]-tamper{TCP:sport:corrupt}-|[TCP:options-wscale:169]-duplicate-|,1,[-19.349]
-19.349,"[TCP:options-altchksum:20:2]-fragment{tcp:-1:False}(duplicate(,tamper{TCP:ack:replace:439524339}),)-|[TCP:flags:F]-duplicate-|",1,[-19.349]
-19.349,[TCP:seq:548302975]-|[TCP:reserved:1]-duplicate-|,1,[-19.349]
-19.349,[TCP:options-uto:107]-|[TCP:seq:1744083385]-fragment{tcp:-1:True}-|,1,[-19.349]
-19.349,"[TCP:options-altchksum:253]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|[TCP:options-mss:21627]-tamper{TCP:options-sackok:replace:}-|",1,[-19.349]
-10.0,[TCP:options-mss:51906]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:526507290]-duplicate(,tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1547288071:3]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:window:90:3]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:199]-drop-|,1,[-10]
-10.0,[TCP:urgptr:39247]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:3198233256]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,[TCP:options-mss:59879]-tamper{TCP:window:replace:130}-|,1,[-10]
-10.0,[TCP:reserved:6]-duplicate-|,1,[-10]
-10.0,[TCP:seq:4002189367]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-sack:]-fragment{tcp:-1:True}(tamper{TCP:options-altchksumopt:replace:},duplicate(fragment{tcp:-1:False},))-|[TCP:options-uto:29]-tamper{TCP:sport:replace:60053}-|",1,[-10]
