Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:replace:212}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-timestamp:539985408:3]-drop-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:urgptr:3731]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:2}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:FA}(tamper{TCP:load:replace:}(tamper{TCP:load:replace:}(duplicate(drop,drop),),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:flags:replace:FA}(tamper{TCP:load:replace:}(drop,),),)-|",1,[-1000]
-20.0,[TCP:dport:10274:1]-|[TCP:window:60]-tamper{TCP:options-mss:replace:9395}-|,1,[-20]
-19.312,"[TCP:sport:3487]-tamper{TCP:ack:replace:2528325280}(fragment{tcp:-1:True},)-|[TCP:options-altchksum:165]-duplicate-|",1,[-19.312]
-19.312,"[TCP:dataofs:4:4]-tamper{TCP:window:corrupt}(fragment{tcp:-1:True},)-|[TCP:ack:2971019153]-tamper{TCP:options-mss:replace:52968}-|",1,[-19.312]
-19.312,"[TCP:flags:SRPAU]-duplicate(,duplicate)-|[TCP:dport:51157]-fragment{tcp:-1:False}-|",1,[-19.312]
-19.312,"[TCP:options-md5header:d523f87698c9439a8f202b6a022201c4]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-timestamp:3317172579]-drop-|",1,[-19.312]
-19.312,"[TCP:sport:13815]-tamper{TCP:reserved:corrupt}(drop,)-|[TCP:dataofs:10]-duplicate-|",1,[-19.312]
-19.312,"[TCP:sport:18898]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-timestamp:2539031962]-tamper{TCP:options-altchksum:replace:92}-|",1,[-19.312]
-19.312,"[TCP:dport:23064]-duplicate(fragment{tcp:-1:True}(,duplicate),)-|[TCP:dport:11158:4]-tamper{TCP:dataofs:corrupt}-|",1,[-19.312]
-19.312,"[TCP:options-wscale:59:0]-duplicate(,duplicate)-|[TCP:urgptr:30836]-duplicate-|",1,[-19.312]
-19.312,"[TCP:options-wscale:75]-tamper{TCP:options-uto:replace:215}(fragment{tcp:-1:False},)-|[TCP:ack:706096411]-tamper{TCP:flags:replace:FSUN}-|",1,[-19.312]
-19.312,"[TCP:window:140]-duplicate(tamper{TCP:chksum:replace:25689},)-|[TCP:chksum:40528]-drop-|",1,[-19.312]
