Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:reserved:7]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:flags:replace:R}(drop,),)-|",1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::2]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-eol:corrupt}(tamper{TCP:flags:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok::0]-tamper{TCP:options-nop:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:sport:replace:18560}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:sport:corrupt}(duplicate,)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-nop:replace:}(tamper{TCP:sport:replace:4129}(tamper{TCP:urgptr:corrupt}(tamper{TCP:options-uto:corrupt},),),)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:replace:7y82uy5vqg}(tamper{TCP:options-eol:replace:}(tamper{TCP:options-mss:replace:5017}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-mss:60054]-duplicate-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-fragment{tcp:14:True}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-altchksum:replace:43}(tamper{TCP:seq:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-tamper{TCP:options-nop:replace:}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:dataofs:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-timestamp:4053707244]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:replace:29}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:dataofs:replace:3}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:127}(drop,)-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:reserved:6:2]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:replace:100}(drop,)-|[TCP:options-wscale:145]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-md5header:replace:2dcefc2ae5e452a21848e05b0ce62839},)-|",1,[-1000]
-20.0,"[TCP:urgptr:12087:1]-tamper{TCP:options-uto:replace:53}(tamper{TCP:options-sackok:corrupt},)-|[TCP:seq:2919707249]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:seq:2057793795]-duplicate(tamper{TCP:seq:corrupt},)-|[TCP:options-mss:34343:1]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:flags:RA]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:window:replace:120},)-|[TCP:options-wscale:186:2]-tamper{TCP:reserved:replace:0}-|",1,[-20]
-20.0,"[TCP:options-uto:62]-fragment{tcp:-1:False}(,fragment{tcp:-1:True})-|[TCP:sport:64094]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:50]-duplicate(tamper{TCP:window:replace:190},)-|[TCP:options-wscale:71]-tamper{TCP:ack:replace:2968136218}-|",1,[-20]
-20.0,"[TCP:options-md5header:cdd288d47fb0716781b46acbd63d4cf3]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-timestamp:3919765646]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:urgptr:64619:0]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-mss:51097]-duplicate-|",1,[-20]
