Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::3]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:urgptr:replace:27691}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::2]-tamper{TCP:chksum:replace:35868}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,"[TCP:dataofs:4]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:dport:11862:4]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-uto:219]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:corrupt}(tamper{TCP:flags:replace:SAUE}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:SAUE}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:flags:replace:SAUE}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-drop-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:ack:3617578805]-tamper{TCP:ack:replace:2453210248}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(tamper{TCP:flags:replace:SAUE}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:41:True:20}(drop,tamper{TCP:dataofs:replace:1}(drop,))-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-timestamp:3944180395:3]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-uto:81]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-timestamp:204544092]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:41:True:20}(drop,tamper{TCP:flags:replace:FSPAC}(tamper{TCP:flags:replace:SAUE}(drop,),))-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:load:]-tamper{TCP:options-mss:replace:35606}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:reserved:3]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:dport:11959:2]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:FSPAC}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:load:]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:41:True:20}(drop,tamper{TCP:flags:replace:FSPAC}(tamper{TCP:urgptr:replace:8974}(drop,),))-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-altchksum:110:4]-tamper{TCP:window:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:41:True:20}(drop,drop)-|[TCP:dataofs:10]-duplicate-|",1,[-1000]
