Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-uto:240]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:flags:PA:1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:replace:18678}(tamper{TCP:ack:corrupt}(tamper{TCP:sport:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-sackok:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-duplicate(drop,tamper{TCP:flags:corrupt}(drop,))-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksum:42]-tamper{TCP:dport:corrupt}(tamper{TCP:chksum:replace:49308},)-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-fragment{tcp:-1:False}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:reserved:2:0]-tamper{TCP:dport:replace:26245}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:replace:1363671678}(drop,)-|",1,[-1000]
-20.0,"[TCP:chksum:59525]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-mss:corrupt},)-|[TCP:options-timestamp:1285303174:2]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-altchksum:244]-duplicate(,tamper{TCP:dataofs:corrupt})-|[TCP:flags:RUE]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,[TCP:sport:49176]-duplicate-|[TCP:reserved:3]-tamper{TCP:seq:corrupt}-|,1,[-20]
-20.0,"[TCP:options-uto:160:3]-tamper{TCP:seq:replace:405249491}(duplicate,)-|[TCP:dport:63061]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:seq:3260683798:0]-fragment{tcp:-1:True}(tamper{TCP:flags:corrupt},)-|[TCP:sport:5982]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-md5header:ed23c5377bb1ed816bfcb0dd48145e89]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-uto:144]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:5:1]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:ack:3007319069]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:urgptr:45655]-tamper{TCP:sport:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-md5header:8d6754123b08efb839fa68b7d1163f2b]-tamper{TCP:options-sack:replace:}-|",1,[-20]
-20.0,"[TCP:sport:10685]-tamper{TCP:sport:corrupt}(tamper{TCP:chksum:corrupt},)-|[TCP:flags:FA:3]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-altchksum:69]-tamper{TCP:options-wscale:replace:108}(tamper{TCP:options-timestamp:replace:2514976441},)-|[TCP:options-mss:43645:4]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:2241713721]-tamper{TCP:options-eol:replace:}(tamper{TCP:reserved:replace:2}(tamper{TCP:flags:replace:P},),)-|[TCP:options-altchksum:212]-tamper{TCP:sport:replace:31940}-|",1,[-20]
-20.0,[TCP:options-wscale:180]-drop-|[TCP:options-mss:39026]-duplicate-|,1,[-20]
-20.0,"[TCP:dataofs:14]-duplicate(tamper{TCP:reserved:corrupt},)-|[TCP:options-uto:95]-tamper{TCP:seq:replace:623408932}-|",1,[-20]
-20.0,"[TCP:options-uto:131]-duplicate(,tamper{TCP:sport:corrupt})-|[TCP:options-mss:34735:0]-drop-|",1,[-20]
-20.0,"[TCP:options-wscale:107:1]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-altchksum:3]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:urgptr:35644]-fragment{tcp:-1:True}(tamper{TCP:options-eol:corrupt},)-|[TCP:seq:4124943539]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:urgptr:1000]-duplicate(duplicate,)-|[TCP:chksum:30593]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:5]-duplicate(drop,)-|[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-20.0,"[TCP:window:50]-fragment{tcp:-1:True}(,fragment{tcp:-1:False})-|[TCP:urgptr:27836:4]-tamper{TCP:options-sack:replace:}-|",1,[-20]
-20.0,[TCP:flags:SPCN]-|[TCP:options-wscale:242]-duplicate-|,1,[-20]
-20.0,[TCP:ack:79133534]-|[TCP:ack:4243285652]-duplicate-|,1,[-20]
-10.0,"[TCP:options-md5header:774b1f00435fbde2af0eff27f083d713]-duplicate(tamper{TCP:options-sackok:replace:}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-wscale:228]-tamper{TCP:seq:replace:3911373964}-|,1,[-10]
-10.0,"[TCP:options-wscale:155]-tamper{TCP:options-altchksum:replace:103}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-md5header:7567a951a1c80afc59955a3239581f97]-duplicate(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,[TCP:window:10]-drop-|,1,[-10]
-10.0,[TCP:ack:1394666391]-duplicate-|,1,[-10]
-10.0,"[TCP:options-nop::0]-duplicate(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,[TCP:options-altchksum:8]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:chksum:53153]-tamper{TCP:options-altchksum:replace:166}-|,1,[-10]
-10.0,"[TCP:flags:F]-tamper{TCP:sport:replace:62949}(drop,)-|",1,[-10]
-10.0,[TCP:options-wscale:25]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-mss:50214]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:41]-tamper{TCP:chksum:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,[TCP:load:x2scsttf3t]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:867059065:3]-tamper{TCP:sport:replace:15266}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(tamper{TCP:options-uto:replace:32},)-|[TCP:chksum:38271]-tamper{TCP:options-md5header:replace:829e91c69925b435e99a011bae291af9}-|",1,[-10]
-10.0,[TCP:options-uto:255:0]-tamper{TCP:options-uto:replace:159}-|,1,[-10]
-10.0,"[TCP:options-md5header:ec4ea19752a88cea6bcbbefd60912f50]-tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:options-wscale:225:4]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,"[TCP:window:110:4]-fragment{tcp:-1:True:46}(drop,)-|",1,[-10]
