Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-drop-|,1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-eol:corrupt}(tamper{TCP:options-uto:replace:62}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-mss:replace:26633}(tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:dataofs:corrupt}(drop,),),),)-|",1,[-1000]
-1000.0,[TCP:options-nop::2]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:dport:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:load:yb9dcg6d8i]-fragment{tcp:55:True:41}-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-wscale:41:4]-duplicate(duplicate,fragment{tcp:-1:False})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:chksum:replace:57410}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:SPUCN}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-timestamp:3380462289]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:window:replace:70}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-altchksum:replace:174}(tamper{TCP:ack:replace:3233968683}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:flags:F]-fragment{tcp:43:True}-|,1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:3}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-duplicate-|[TCP:ack:2312695876]-tamper{TCP:seq:corrupt}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
