Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::2]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:reserved:0:1]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{ip:-1:True:36}(,tamper{TCP:dataofs:corrupt})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-nop::0]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:-1:False}-|[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-fragment{tcp:-1:False}(,tamper{TCP:window:replace:60}(tamper{TCP:dataofs:replace:6},))-|[TCP:options-sack::2]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-fragment{tcp:-1:False}(,tamper{TCP:ack:replace:70168338})-|[TCP:options-eol::1]-drop-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-fragment{tcp:-1:True}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(tamper{TCP:sport:replace:64288}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-altchksum:corrupt}(drop,)-|[TCP:options-sackok:]-|[TCP:urgptr:13647]-tamper{TCP:options-eol:corrupt}-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:43432}(tamper{TCP:reserved:replace:4}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-sackok:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:urgptr:63010]-tamper{TCP:load:replace:jugoc7voxz}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-altchksum:6]-tamper{TCP:ack:corrupt}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:replace:11988}(tamper{TCP:options-wscale:replace:247}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-eol::0]-duplicate(fragment{tcp:18:False},tamper{TCP:reserved:replace:4})-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:urgptr:replace:46374}(drop,),)-|",1,[-1000]
