Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:replace:16}(drop,)-|[TCP:seq:218002739:1]-tamper{TCP:options-sack:corrupt}-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:6}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0:1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:39533}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-|[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:replace:1249581252}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-wscale:replace:115}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:27693}(tamper{TCP:options-sack:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:ack:3410512885:3]-duplicate-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop::0]-tamper{TCP:options-sackok:replace:}-|,1,[-1000]
-1000.0,"[TCP:load:__HTTP_REQUEST__]-fragment{tcp:-1:True:5}(fragment{tcp:31:False:15}(duplicate,drop),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:load:corrupt}(tamper{TCP:options-md5header:replace:b12319e3aedbb12ef8f1c8d3c35c5212}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:load:]-duplicate(fragment{tcp:-1:False}(drop,),fragment{ip:-1:True:30}(,tamper{TCP:options-nop:corrupt}))-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:ack:2221243380]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:replace:}(tamper{TCP:sport:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:ack:2183410116]-duplicate(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop::0]-tamper{TCP:load:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
