Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:replace:11}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:chksum:62498]-tamper{TCP:options-timestamp:replace:585677749}-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:28350}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:replace:14039}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|[TCP:dport:61169]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:urgptr:17088]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:replace:8b4c40be430735d11102dff4e8d67704}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-md5header:5814da4ec2bab92094639d8bf653c567]-tamper{TCP:options-altchksum:replace:134}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:replace:A}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(drop,duplicate(tamper{TCP:options-mss:corrupt}(drop,),drop))-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-md5header:748662703d0db3d4da2ebd53d930635d:3]-tamper{TCP:options-altchksum:replace:148}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-wscale:155]-fragment{tcp:17:False:5}-|[TCP:options-uto:127:0]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,[TCP:reserved:3]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:sport:21991]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:replace:60552}(tamper{TCP:options-timestamp:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:9559}(drop,)-|[TCP:options-uto:148:1]-duplicate-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-drop-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-eol:]-drop-|[TCP:options-eol::0]-fragment{tcp:-1:True:13}(tamper{TCP:options-altchksum:replace:161},)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:replace:120}(tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,),)-|",1,[-1000]
-20.0,"[TCP:options-uto:183]-duplicate(fragment{tcp:-1:False},)-|[TCP:reserved:4]-tamper{TCP:reserved:replace:4}-|",1,[-20]
-20.0,"[TCP:window:190:3]-duplicate(duplicate(tamper{TCP:options-altchksumopt:replace:},),)-|[TCP:sport:16743]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:44778]-tamper{TCP:reserved:replace:3}(tamper{TCP:options-sackok:corrupt},)-|[TCP:flags:R:4]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:options-wscale:204]-fragment{tcp:-1:True}(tamper{TCP:window:corrupt},)-|[TCP:options-wscale:93]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:reserved:5]-tamper{TCP:options-md5header:replace:45b835eb0a71f16944a9f4f19996bae0}(tamper{TCP:options-mss:corrupt},)-|[TCP:options-md5header:9d0c8e890df3d7f2c5f5dadf10ca7dfb]-duplicate-|",1,[-20]
-20.0,[TCP:ack:1485886867]-drop-|[TCP:options-altchksum:22]-tamper{TCP:options-sackok:replace:}-|,1,[-20]
-20.0,"[TCP:dport:16803]-tamper{TCP:dport:corrupt}(tamper{TCP:dataofs:replace:14},)-|[TCP:load:59awojtwgu:2]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,[TCP:sport:1038:1]-tamper{TCP:flags:replace:A}-|[TCP:sport:39299]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,"[TCP:flags:P]-duplicate(duplicate,)-|[TCP:options-mss:49369]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:616066648]-duplicate(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:dport:3095]-tamper{TCP:options-uto:replace:246}-|",1,[-20]
-20.0,"[TCP:options-md5header:a56c0958f99525aeea29adbe76fc245a:2]-duplicate(tamper{TCP:reserved:corrupt},)-|[TCP:reserved:4:3]-drop-|",1,[-20]
-20.0,"[TCP:sport:24348]-duplicate(duplicate,)-|[TCP:window:10]-tamper{TCP:seq:replace:1678446232}-|",1,[-20]
-20.0,"[TCP:window:160:4]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|[TCP:seq:2506174132]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:4]-tamper{TCP:window:corrupt}(duplicate,)-|[TCP:options-uto:200]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:seq:1454639920]-fragment{tcp:-1:True}(,tamper{TCP:urgptr:corrupt})-|[TCP:seq:1602797811]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:FUCN]-duplicate(tamper{TCP:sport:replace:49951},)-|[TCP:options-nop::0]-tamper{TCP:options-wscale:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:1]-tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:False},)-|[TCP:load:]-tamper{TCP:options-sack:corrupt}-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__]-duplicate(tamper{TCP:dataofs:replace:10},)-|[TCP:dataofs:1]-tamper{TCP:window:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:4136127722]-fragment{tcp:-1:True}(duplicate,)-|[TCP:ack:3464111351:4]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,[TCP:urgptr:15559]-drop-|[TCP:options-wscale:127]-duplicate-|,1,[-20]
-20.0,"[TCP:options-wscale:241]-fragment{tcp:-1:True}(duplicate,)-|[TCP:dport:31348:1]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,"[TCP:options-wscale:224]-duplicate(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-altchksum:144]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:flags:A:1]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:dport:6198]-tamper{TCP:flags:replace:SPE}-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(fragment{tcp:-1:True}(tamper{TCP:chksum:corrupt},),)-|[TCP:window:30:1]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:ack:2015432833]-tamper{TCP:flags:replace:PU}(duplicate,)-|[TCP:seq:2875094614]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,[TCP:options-wscale:137:1]-|[TCP:options-wscale:162:0]-duplicate-|,1,[-20]
-20.0,[TCP:window:70]-|[TCP:options-mss:26295]-drop-|,1,[-20]
-20.0,[TCP:urgptr:27702]-tamper{TCP:options-eol:corrupt}-|[TCP:options-timestamp:1622624176]-duplicate-|,1,[-20]
-20.0,[TCP:chksum:20725]-|[TCP:ack:3840036652]-duplicate-|,1,[-20]
-10.0,"[TCP:urgptr:12171]-fragment{tcp:-1:True}(tamper{TCP:window:corrupt},tamper{TCP:urgptr:replace:56427})-|",1,[-10]
-10.0,[TCP:chksum:31406]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:chksum:6681]-tamper{TCP:dport:replace:11187}-|,1,[-10]
-10.0,"[TCP:urgptr:50481]-tamper{TCP:options-wscale:replace:147}(tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-mss:4887]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:flags:FA:4]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:flags:replace:RA}(tamper{TCP:window:replace:130},),)-|",1,[-10]
-10.0,"[TCP:options-md5header:46ea50291b41b0187eca16d17c84a900]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:542]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:4150978244]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:options-mss:60053]-drop-|[TCP:reserved:0]-duplicate-|,1,[-10]
-10.0,[TCP:sport:62851]-tamper{TCP:window:replace:80}-|,1,[-10]
-10.0,"[TCP:load:fw7qe7fmjp]-fragment{tcp:17:False:8}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:15860]-tamper{TCP:options-md5header:replace:dd97bb2f0cb2e54c6f64b1d47ca20d8c}(fragment{tcp:-1:False}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:186:0]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:12281:3]-tamper{TCP:options-altchksum:replace:103}(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:49913]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:4b63fabdb8ce5b93173110945d0efffb]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:window:160]-duplicate-|,1,[-10]
-10.0,[TCP:dport:20054:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:198]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:vj760fdpdb]-duplicate(,duplicate(,duplicate))-|",1,[-10]
-10.0,"[TCP:options-wscale:169]-fragment{tcp:-1:True}(duplicate,duplicate)-|",1,[-10]
-10.0,[TCP:ack:2186573762]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:4635]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:chksum:1117]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:46892]-fragment{tcp:-1:True:13}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:dataofs:5:0]-duplicate(tamper{TCP:options-mss:replace:6102},fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:dataofs:11:4]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:8307]-fragment{tcp:-1:False}(,tamper{TCP:dport:replace:59948})-|",1,[-10]
-10.0,[TCP:seq:1383293019]-drop-|[TCP:options-nop::0]-tamper{TCP:options-mss:replace:17765}-|,1,[-10]
-10.0,"[TCP:seq:1053444849]-tamper{TCP:dport:replace:14335}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:flags:A]-tamper{TCP:dport:replace:16831}(duplicate(drop,),)-|",1,[-10]
-10.0,[TCP:dataofs:6]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:1705122605]-duplicate(tamper{TCP:reserved:replace:2},)-|",1,[-10]
-10.0,"[TCP:dport:4265:0]-tamper{TCP:options-uto:replace:113}(duplicate(tamper{TCP:dport:replace:40629},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3848585427]-tamper{TCP:options-sack:replace:}(tamper{TCP:window:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:urgptr:8106]-duplicate(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(,fragment{tcp:21:False})-|",1,[-10]
-10.0,"[TCP:options-timestamp:1831529715]-fragment{tcp:-1:True}(drop,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,"[TCP:dataofs:10]-tamper{TCP:urgptr:replace:8850}(fragment{tcp:49:False:28},)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:flags:FE]-duplicate-|,1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:options-eol:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:sport:39202]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dataofs:9]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:227]-tamper{TCP:dataofs:corrupt}(tamper{TCP:flags:replace:PA},)-|",1,[-10]
-10.0,"[TCP:window:10]-tamper{TCP:dataofs:replace:1}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:chksum:62765:2]-tamper{TCP:dport:corrupt}(tamper{TCP:options-mss:replace:3817}(tamper{TCP:options-uto:corrupt},),)-|",1,[-10]
-10.0,"[TCP:flags:R]-fragment{tcp:-1:True}(tamper{TCP:options-wscale:replace:127},tamper{TCP:options-sack:corrupt})-|",1,[-10]
-10.0,"[TCP:dport:14313]-fragment{tcp:-1:True}(tamper{TCP:options-uto:replace:81},)-|[TCP:options-altchksumopt:]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:options-mss:7479]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:urgptr:10687:2]-drop-|,1,[-10]
-10.0,"[TCP:ack:2443564300]-fragment{tcp:56:True:40}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:241]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__:3]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dataofs:11]-duplicate(fragment{tcp:-1:False}(duplicate,),)-|",1,[-10]
-10.0,[TCP:seq:1106097288]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:144:4]-drop-|,1,[-10]
-10.0,[TCP:options-md5header:5220a5a3dcd0231ba73115f8009469ee]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:load::3]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:window:replace:100},)-|",1,[-10]
-10.0,[TCP:sport:56866]-duplicate-|,1,[-10]
-10.0,[TCP:ack:2434468624]-fragment{tcp:-1:False}-|,1,[-10]
