Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:urgptr:replace:22349}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-nop::2]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:}(tamper{TCP:options-altchksum:replace:226}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:50455}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:replace:6}(tamper{TCP:options-sack:corrupt}(tamper{TCP:seq:replace:2226311080}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-fragment{tcp:-1:False}-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:2226311080}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:options-altchksumopt:corrupt}-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-altchksum:43]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-1000]
-1000.0,[TCP:window:120]-tamper{TCP:options-sackok:replace:}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-fragment{tcp:-1:False}(fragment{tcp:-1:True}(fragment{tcp:-1:False},duplicate),)-|[TCP:options-sackok::3]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|[TCP:options-altchksum:229]-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:reserved:2]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(tamper{TCP:options-uto:replace:234}(drop,),)-|[TCP:options-altchksum:229]-tamper{TCP:window:corrupt}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:load:]-fragment{tcp:-1:False:32}(,fragment{tcp:-1:True})-|[TCP:ack:3252375514:0]-tamper{TCP:sport:corrupt}-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:replace:ymfntrf6r4}(drop,)-|",1,[-1000]
-20.0,"[TCP:reserved:2:0]-tamper{TCP:ack:corrupt}(tamper{TCP:seq:replace:907035670},)-|[TCP:chksum:61527]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:ack:1564512720]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:reserved:7]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:178]-duplicate(,tamper{TCP:window:replace:80})-|[TCP:dataofs:6]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:flags:FPAEN]-duplicate(tamper{TCP:options-wscale:corrupt},)-|[TCP:options-timestamp:3772259574]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:dataofs:8]-duplicate(drop,)-|[TCP:options-uto:83]-tamper{TCP:flags:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:2544242994]-tamper{TCP:options-sackok:replace:}(tamper{TCP:load:corrupt},)-|[TCP:options-timestamp:3641021737]-drop-|",1,[-20]
-20.0,"[TCP:reserved:7]-duplicate(tamper{TCP:options-mss:replace:25139},)-|[TCP:options-altchksum:50:2]-tamper{TCP:flags:corrupt}-|",1,[-20]
-20.0,"[TCP:options-mss:39478]-tamper{TCP:dataofs:replace:4}(tamper{TCP:chksum:corrupt},)-|[TCP:window:190]-fragment{tcp:-1:True}-|",1,[-20]
