Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|[TCP:dataofs:5]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-timestamp:807534463]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,[TCP:options-sackok::1]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:reserved:0:1]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-sackok:]-tamper{TCP:sport:corrupt}(tamper{TCP:options-timestamp:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:flags:AUECN]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:flags:replace:PAUC}(tamper{TCP:dport:replace:42726}(drop,),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:window:corrupt}(tamper{TCP:options-uto:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:14:False}(duplicate(tamper{TCP:options-nop:corrupt},),tamper{TCP:options-sackok:replace:})-|[TCP:options-nop::0]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-duplicate-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:sport:61795]-fragment{ip:-1:False:5}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-wscale:corrupt}(duplicate(fragment{tcp:-1:False},duplicate),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-nop:]-|[TCP:options-uto:67]-fragment{ip:24:False}-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:dport:replace:34422}(duplicate,)-|[TCP:options-nop::0]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:replace:79}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:reserved:2]-fragment{tcp:25:False:15}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:dataofs:14]-duplicate(fragment{tcp:-1:True},)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-tamper{TCP:ack:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:sport:7660]-duplicate-|,1,[-1000]
-20.0,"[TCP:options-uto:62]-fragment{tcp:-1:False}(duplicate,)-|[TCP:ack:2773578426]-drop-|",1,[-20]
-20.0,"[TCP:window:80]-tamper{TCP:load:corrupt}(tamper{TCP:options-mss:replace:34719},)-|[TCP:options-timestamp:3905653251]-tamper{TCP:options-altchksum:replace:122}-|",1,[-20]
-20.0,"[TCP:ack:2178784356]-tamper{TCP:options-eol:replace:}(duplicate,)-|[TCP:sport:54130]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:load:oeztek2tsc]-fragment{tcp:-1:False}(,fragment{tcp:-1:False})-|[TCP:options-uto:179]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:15233]-fragment{tcp:-1:True}(,tamper{TCP:window:replace:180})-|[TCP:dataofs:15]-duplicate-|",1,[-20]
-20.0,"[TCP:reserved:3]-duplicate(drop,)-|[TCP:seq:299342408]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:158]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-uto:176]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:ack:2136198371]-tamper{TCP:options-nop:corrupt}-|[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,"[TCP:options-altchksum:84]-duplicate(tamper{TCP:options-sackok:replace:},)-|[TCP:sport:60752]-drop-|",1,[-20]
-20.0,"[TCP:dataofs:6:4]-duplicate(,duplicate)-|[TCP:options-sackok::0]-tamper{TCP:dataofs:replace:13}-|",1,[-20]
-20.0,"[TCP:window:70]-duplicate(tamper{TCP:options-uto:corrupt},)-|[TCP:dataofs:2]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:options-timestamp:2800755641]-duplicate(tamper{TCP:options-uto:replace:114},)-|[TCP:urgptr:62558]-drop-|",1,[-20]
-20.0,"[TCP:options-altchksum:45]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:reserved:7]-tamper{TCP:dataofs:replace:14}-|",1,[-20]
-20.0,"[TCP:reserved:6]-tamper{TCP:ack:corrupt}(fragment{tcp:-1:True},)-|[TCP:flags:FAUC:0]-duplicate-|",1,[-20]
-20.0,[TCP:urgptr:30290]-|[TCP:urgptr:48953]-duplicate-|,1,[-20]
-20.0,"[TCP:options-uto:168]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-eol:]-tamper{TCP:ack:replace:2997183269}-|[TCP:flags:RA]-tamper{TCP:options-wscale:replace:108}-|",1,[-20]
-10.0,[TCP:options-altchksum:100]-tamper{TCP:options-mss:replace:45317}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-timestamp:replace:3940540315}(tamper{TCP:urgptr:replace:52412},)-|",1,[-10]
-10.0,[TCP:dport:25540]-duplicate-|,1,[-10]
-10.0,"[TCP:load:iaw11k6gas:3]-tamper{TCP:options-md5header:replace:0d63d727b323c2b432e5b5bed80fe3a8}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
