Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-timestamp:140214567]-tamper{TCP:options-nop:replace:}(tamper{TCP:reserved:replace:0},)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:load:replace:m5o12eu0si}(drop,),drop)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:flags:PA]-tamper{TCP:sport:replace:56964}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:dataofs:corrupt}-|[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:window:replace:60}-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-fragment{tcp:-1:True}(tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:False},),)-|[TCP:reserved:0]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:reserved:replace:7}(duplicate(,duplicate),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-mss:31341]-tamper{TCP:options-altchksumopt:corrupt}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:reserved:replace:7}(duplicate,)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-uto:26]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-mss:31341]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksum:corrupt})-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-mss:31341]-fragment{ip:38:True}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:corrupt}(tamper{TCP:options-md5header:replace:26d87551850c2630eef4449ff7bd086b}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:replace:d7c2d79790139c9e5c1b6eb8baed4567}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-mss:31341]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:replace:11f61861f88fde2f87b48ab3094ee72a}(tamper{TCP:chksum:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-tamper{TCP:dataofs:corrupt}-|[TCP:options-nop::0]-|,1,[-1000]
-1000.0,[TCP:dport:54639:3]-tamper{TCP:options-wscale:replace:103}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
