Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:sport:21613:4]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:True},)-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:dataofs:8]-tamper{TCP:chksum:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:corrupt}(tamper{TCP:window:replace:10}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack::1]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-sackok:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol::0]-tamper{TCP:options-mss:replace:63699}-|[TCP:urgptr:48501]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-sackok:replace:}(tamper{TCP:flags:replace:SA}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-sackok:replace:}(tamper{TCP:options-sack:replace:}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:26:False},)-|[TCP:options-sackok:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(fragment{tcp:-1:False:5}(drop,drop),),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:urgptr:47866]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:27831}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:flags:replace:SA}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(tamper{TCP:flags:replace:SA}(tamper{TCP:load:replace:nt34gta1fo}(drop,),),)-|",1,[-1000]
-20.0,"[TCP:options-mss:51919]-tamper{TCP:seq:replace:184286991}(fragment{tcp:-1:False},)-|[TCP:load:__HTTP_REQUEST__:2]-duplicate-|",1,[-20]
-20.0,"[TCP:seq:4285956983]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-eol:replace:},)-|[TCP:dport:10364]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:7]-tamper{TCP:options-nop:replace:}(duplicate,)-|[TCP:options-sack::0]-drop-|",1,[-20]
-20.0,"[TCP:dport:44370:4]-tamper{TCP:options-md5header:corrupt}(duplicate,)-|[TCP:sport:54918]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:120]-fragment{tcp:-1:True}(tamper{TCP:dport:corrupt},)-|[TCP:urgptr:16683]-duplicate-|",1,[-20]
-20.0,[TCP:options-wscale:40:0]-drop-|[TCP:options-timestamp:1207552097]-tamper{TCP:options-mss:replace:54740}-|,1,[-20]
-20.0,"[TCP:window:80:0]-tamper{TCP:seq:replace:1114003898}(tamper{TCP:options-eol:corrupt},)-|[TCP:options-timestamp:3862155255]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:1601373069]-duplicate(tamper{TCP:urgptr:replace:61582},)-|[TCP:flags:FSE]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:seq:2285448701]-fragment{tcp:-1:True}(tamper{TCP:options-wscale:corrupt},)-|[TCP:load:qorhknhjfv]-drop-|",1,[-20]
-20.0,"[TCP:ack:1019508138]-duplicate(tamper{TCP:options-uto:replace:30},)-|[TCP:options-mss:20983]-duplicate-|",1,[-20]
-20.0,[TCP:options-altchksum:185]-drop-|[TCP:options-uto:21]-tamper{TCP:options-nop:replace:}-|,1,[-20]
-10.0,[TCP:options-wscale:44]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-md5header:5d6a6bf6f80d9c0213543b179c620bfa]-duplicate(tamper{TCP:load:replace:__DNS_REQUEST__},tamper{TCP:flags:replace:FSUE})-|",1,[-10]
-10.0,[TCP:options-mss:9740:4]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,[TCP:options-uto:131:3]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:30]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:chksum:27926]-fragment{ip:-1:False:5}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3145249128]-tamper{TCP:dataofs:replace:8}(tamper{TCP:seq:corrupt}(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:options-eol:corrupt},)-|[TCP:seq:397545822]-tamper{TCP:ack:corrupt}-|",1,[-10]
-10.0,[TCP:options-mss:12790]-drop-|,1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-mss:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:3210003327]-fragment{tcp:-1:True}(duplicate,drop)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1338594024]-fragment{tcp:-1:True}(drop,)-|",1,[-10]
-10.0,"[TCP:options-md5header:904cc99be6af3269ead47ad2e7d3a42a]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-wscale:3:4]-drop-|,1,[-10]
-10.0,[TCP:options-mss:50165]-duplicate-|,1,[-10]
-10.0,[TCP:options-mss:15127]-tamper{TCP:ack:replace:3126184040}-|,1,[-10]
-10.0,[TCP:chksum:38177]-drop-|,1,[-10]
-10.0,"[TCP:urgptr:22711]-fragment{tcp:-1:False}(tamper{TCP:window:replace:140},)-|",1,[-10]
-10.0,[TCP:window:70]-drop-|,1,[-10]
-10.0,"[TCP:window:70]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:options-md5header:035ebd3e727f694c059909bdfd030bd6:4]-fragment{tcp:31:True}(tamper{TCP:options-wscale:replace:130},)-|",1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-eol:replace:},)-|[TCP:options-altchksum:60]-tamper{TCP:ack:replace:2221680303}-|",1,[-10]
-10.0,"[TCP:options-mss:5080]-fragment{tcp:54:False}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-altchksum:178]-tamper{TCP:urgptr:replace:21038}(tamper{TCP:options-wscale:replace:240},)-|",1,[-10]
-10.0,"[TCP:options-mss:18418]-duplicate(tamper{TCP:options-altchksum:replace:249},)-|",1,[-10]
-10.0,[TCP:options-wscale:112]-duplicate-|,1,[-10]
-10.0,"[TCP:options-md5header:cacde906933cc0071fd8247709d4f9ee]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:32653]-tamper{TCP:load:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:options-timestamp:2675211969]-tamper{TCP:chksum:replace:13205}-|,1,[-10]
-10.0,"[TCP:options-md5header:8ceef03bc3dae44b449c7c309adc6ceb]-tamper{TCP:options-wscale:replace:118}(tamper{TCP:options-uto:replace:191},)-|",1,[-10]
-10.0,[TCP:seq:1490125144]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-mss:35089]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:seq:77135336]-drop-|,1,[-10]
-10.0,"[TCP:sport:14928]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,[TCP:dport:14784:0]-duplicate-|,1,[-10]
-10.0,"[TCP:chksum:34979]-tamper{TCP:sport:corrupt}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:dport:24322]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:37232]-duplicate(,duplicate(duplicate,))-|",1,[-10]
-10.0,[TCP:options-md5header:c18e591b58e17e1c700de4c0d78874a9:3]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:4031742165:3]-tamper{TCP:dport:corrupt}(fragment{tcp:18:False},)-|",1,[-10]
-10.0,[TCP:options-timestamp:1269545515]-duplicate-|,1,[-10]
-10.0,[TCP:dport:6733:1]-duplicate-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:flags:replace:FA}(tamper{TCP:dport:replace:29577}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:sport:61527]-tamper{TCP:options-nop:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:19291]-tamper{TCP:ack:replace:3255351246}-|,1,[-10]
-10.0,[TCP:options-altchksum:181]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:reserved:0]-duplicate(tamper{TCP:options-wscale:replace:147},)-|[TCP:chksum:60463]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:True},)-|[TCP:ack:1338452271:3]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:options-md5header:3a993d8a7b17e1901296154c0605bb49]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:49262]-fragment{tcp:-1:False}(fragment{tcp:-1:False},duplicate)-|",1,[-10]
-10.0,[TCP:seq:4281841934:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:sport:36323:3]-tamper{TCP:options-mss:replace:46631}-|,1,[-10]
-10.0,[TCP:sport:61404]-tamper{TCP:chksum:replace:31726}-|,1,[-10]
-10.0,[TCP:options-altchksum:65]-duplicate-|,1,[-10]
