Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:flags:190]-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:options-altchksumopt:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:corrupt}(tamper{TCP:dataofs:replace:10}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:replace:}(tamper{TCP:flags:corrupt},)-|",1,['-1000']
-1000.0,"[TCP:flags:39]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,['-1000']
-1000.0,"[TCP:flags:192]-tamper{TCP:options-nop:corrupt}(drop,)-|[TCP:load:]-tamper{TCP:options-uto:replace:198}-|",1,['-1000']
-1000.0,"[TCP:flags:342]-fragment{tcp:-1:True}(duplicate,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(tamper{TCP:options-sack:corrupt},tamper{TCP:options-md5header:replace:7b074a4e336fe0b256047db02d604177})-|",1,['-1000']
-1000.0,"[TCP:options-nop::3]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:flags:replace:379},)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:ack:replace:3099393676}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:dataofs:replace:15}(tamper{TCP:options-wscale:corrupt}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:flags:323]-tamper{TCP:chksum:replace:47195}(tamper{TCP:seq:corrupt},)-|[TCP:options-timestamp:1827916485]-duplicate-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:43318}(drop,)-|[TCP:options-altchksum:178]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False:11}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(drop,tamper{TCP:options-wscale:corrupt})-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-duplicate(,fragment{tcp:-1:False})-|",1,['-1000']
-1000.0,[TCP:flags:434]-drop-|,1,['-1000']
-1000.0,[TCP:flags:346]-drop-|,1,['-1000']
-1000.0,"[TCP:flags:414:3]-duplicate(tamper{TCP:options-uto:replace:60},)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:True}(tamper{TCP:options-uto:corrupt},tamper{TCP:options-mss:corrupt})-|",1,['-1000']
-1000.0,[TCP:flags:442:1]-tamper{TCP:options-md5header:replace:dbe2abfdaeb0245846f6c598f536d1b8}-|,1,['-1000']
-1000.0,[TCP:flags:93]-drop-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:seq:corrupt}(tamper{TCP:seq:replace:663953176}(tamper{TCP:options-timestamp:replace:383163545}(fragment{tcp:-1:True},),),)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}-|[TCP:flags:35]-duplicate-|,1,['-1000']
-1000.0,[TCP:flags:478]-tamper{TCP:options-altchksumopt:corrupt}-|,1,['-1000']
-1000.0,[TCP:flags:50]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:29531}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,[TCP:flags:22]-tamper{TCP:flags:replace:R}-|,1,['-1000']
-1000.0,[TCP:options-nop::1]-tamper{TCP:flags:corrupt}-|,1,['-1000']
-1000.0,[TCP:dataofs:6]-duplicate-|[TCP:options-sackok:]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:replace:047053a7db6c84a3d3610b76709a73b7}(tamper{TCP:options-sack:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(duplicate(tamper{TCP:flags:replace:SA},),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:SA}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-fragment{tcp:56:True:15}-|,1,['-1000']
-1000.0,[TCP:options-eol:]-fragment{tcp:-1:False:43}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:dport:replace:40507}(fragment{tcp:-1:True},),duplicate)-|",1,['-1000']
-1000.0,"[TCP:options-eol::0]-tamper{TCP:urgptr:corrupt}(duplicate(duplicate,),)-|[TCP:options-nop::1]-drop-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:chksum:replace:29531}(tamper{TCP:options-altchksum:corrupt},),fragment{tcp:-1:True})-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(,fragment{tcp:-1:False}(fragment{tcp:-1:False},))-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:29531}(tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-eol:replace:}(duplicate(fragment{tcp:-1:False},tamper{TCP:options-altchksumopt:corrupt}),),)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-tamper{TCP:flags:replace:248}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:corrupt}(tamper{TCP:sport:replace:44898}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(tamper{TCP:flags:corrupt},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-fragment{tcp:30:True:15}-|[TCP:options-mss:61742]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:dport:replace:40507},duplicate(fragment{tcp:-1:True},))-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:replace:ee42ac770a95ba8e3c4365f4553362ac}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-eol:replace:}(duplicate(tamper{TCP:flags:corrupt},),),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:36349}(duplicate(fragment{tcp:-1:True},),)-|[TCP:dport:29999]-tamper{TCP:options-sackok:corrupt}-|",1,['-1000']
-1000.0,[TCP:options-eol:]-fragment{tcp:40:False:20}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-nop:]-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:dataofs:corrupt},fragment{tcp:-1:True}(duplicate,))-|",1,['-1000']
-1000.0,[TCP:load:]-drop-|[TCP:options-nop:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:load:corrupt},)-|[TCP:options-nop:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-wscale:replace:13},)-|[TCP:options-altchksumopt:]-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(tamper{TCP:seq:replace:137159696},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:flags:replace:329},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:flags:corrupt},)-|",1,['-1000']
-1000.0,"[TCP:load:]-fragment{tcp:-1:True}(tamper{TCP:options-mss:corrupt},tamper{TCP:sport:corrupt}(duplicate(tamper{TCP:dport:corrupt},),))-|[TCP:flags:120]-duplicate-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(,tamper{TCP:flags:replace:474})-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:21315}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:False},duplicate)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-duplicate(,duplicate(tamper{TCP:flags:corrupt},))-|",1,['-1000']
