Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,['-1000']
-1000.0,"[TCP:urgptr:10835]-duplicate(,duplicate)-|[TCP:reserved:0]-drop-|",1,['-1000']
-1000.0,[TCP:options-eol:]-|[TCP:flags:RA]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt::0]-tamper{TCP:window:replace:160}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack::0]-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:corrupt}(tamper{TCP:options-wscale:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:replace:40}(drop,)-|",1,['-1000']
-1000.0,"[TCP:reserved:0:0]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:sport:corrupt},)-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,"[TCP:reserved:0:0]-tamper{TCP:flags:replace:FRPN}(tamper{TCP:sport:replace:48788},)-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:replace:209}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sackok:]-|[TCP:options-sack::0]-tamper{TCP:options-wscale:corrupt}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-wscale:replace:72}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:window:replace:40}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:dport:replace:4872}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:ack:1103860446:4]-duplicate-|,1,['-1000']
-1000.0,[TCP:options-sack::0]-tamper{TCP:reserved:corrupt}-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,[TCP:reserved:0]-|,1,['-1000']
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-eol:]-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(tamper{TCP:flags:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack::0]-tamper{TCP:chksum:corrupt}(tamper{TCP:dport:corrupt},)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-mss:6043]-tamper{TCP:options-sackok:replace:}(tamper{TCP:window:replace:20},)-|[TCP:options-sackok:]-drop-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-|[TCP:dataofs:10]-duplicate(tamper{TCP:flags:replace:RPAN},drop)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:1807226156}(drop,)-|",1,['-1000']
-20.0,[TCP:flags:SRP]-drop-|[TCP:load:3rzg0qjjvr]-tamper{TCP:options-timestamp:corrupt}-|,1,['-20']
-20.0,[TCP:options-timestamp:3287456982]-drop-|[TCP:options-timestamp:2394790292]-drop-|,1,['-20']
-20.0,"[TCP:dataofs:12]-tamper{TCP:options-sack:replace:}(tamper{TCP:dataofs:corrupt},)-|[TCP:load:__HTTP_REQUEST__:2]-tamper{TCP:options-sack:replace:}-|",1,['-20']
-20.0,"[TCP:sport:27688]-tamper{TCP:options-sackok:replace:}(drop,)-|[TCP:seq:4292822923]-fragment{tcp:-1:False}-|",1,['-20']
-20.0,[TCP:urgptr:47938:1]-duplicate-|[TCP:options-uto:188]-duplicate-|,1,['-20']
