Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::1]-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:f3btbci6gw}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:replace:37471}(drop,)-|[TCP:dport:60714]-duplicate-|",1,['-1000']
-1000.0,"[TCP:reserved:0]-fragment{tcp:-1:False}(drop,drop)-|",1,['-1000']
-1000.0,"[TCP:options-md5header:eb708e7fe9ac00b6f56d07a984f608b9]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:flags:corrupt}(tamper{TCP:load:replace:__DNS_REQUEST__}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(drop,tamper{TCP:urgptr:replace:10104}(drop,))-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksum:replace:199}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-duplicate(,duplicate)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:replace:__DNS_REQUEST__}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-wscale:131]-drop-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-timestamp:replace:214587432}(tamper{TCP:dport:corrupt}(tamper{TCP:flags:corrupt}(drop,),),)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt:]-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:replace:3}(tamper{TCP:seq:corrupt}(drop,),)-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-timestamp:replace:214587432}(tamper{TCP:load:corrupt}(tamper{TCP:options-uto:replace:26}(drop,),),)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:replace:102}(tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:seq:replace:397970763}(tamper{TCP:options-mss:replace:34478}(drop,),),),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:corrupt}(fragment{tcp:2:True:1}(drop,tamper{TCP:window:corrupt}(drop,)),)-|",1,['-1000']
-1000.0,[TCP:options-nop::0]-fragment{tcp:-1:False}-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:ack:replace:1753581588}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}(,tamper{TCP:options-sackok:replace:})-|[TCP:options-sack:]-drop-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:False:5}(,tamper{TCP:options-eol:replace:})-|[TCP:chksum:41412:2]-tamper{TCP:window:replace:110}(duplicate(fragment{tcp:24:True:12},),)-|",1,['-1000']
-1000.0,[TCP:flags:S:0]-tamper{TCP:options-sack:replace:}-|[TCP:options-nop:]-|,1,['-1000']
-20.0,"[TCP:options-md5header:def644a5180d7a5cfa823cdb167e53be]-duplicate(,tamper{TCP:window:corrupt})-|[TCP:sport:46501]-tamper{TCP:options-altchksum:replace:125}-|",1,['-20']
-20.0,"[TCP:urgptr:57438]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}-|",1,['-20']
-20.0,"[TCP:urgptr:34479]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:False},)-|[TCP:dport:40121]-tamper{TCP:options-altchksumopt:corrupt}-|",1,['-20']
-20.0,"[TCP:chksum:64354]-fragment{tcp:-1:False}(,tamper{TCP:options-sackok:replace:})-|[TCP:flags:SAEN:2]-tamper{TCP:options-timestamp:replace:3033391191}-|",1,['-20']
-20.0,"[TCP:reserved:6:2]-tamper{TCP:reserved:replace:0}(tamper{TCP:options-mss:corrupt},)-|[TCP:window:100]-tamper{TCP:options-mss:replace:60602}-|",1,['-20']
-20.0,"[TCP:dport:17592]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-uto:82]-tamper{TCP:flags:replace:SPAU}-|",1,['-20']
-20.0,"[TCP:seq:2844532508]-duplicate(,duplicate)-|[TCP:options-timestamp:4130536816]-duplicate-|",1,['-20']
-20.0,[TCP:dataofs:7:1]-fragment{tcp:-1:False}-|[TCP:window:70]-tamper{TCP:dataofs:replace:11}-|,1,['-20']
-20.0,"[TCP:flags:SA]-duplicate(,tamper{TCP:dataofs:replace:13})-|[TCP:urgptr:41417:0]-tamper{TCP:chksum:replace:51488}-|",1,['-20']
-20.0,"[TCP:sport:8387:4]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:options-sackok::0]-drop-|",1,['-20']
-20.0,"[TCP:options-mss:12333]-fragment{tcp:-1:True}(,tamper{TCP:options-wscale:replace:140})-|[TCP:ack:3148938824]-fragment{tcp:-1:True}-|",1,['-20']
-20.0,"[TCP:dataofs:11]-duplicate(fragment{tcp:-1:True},)-|[TCP:dport:60249]-duplicate-|",1,['-20']
-20.0,"[TCP:flags:RA]-tamper{TCP:urgptr:replace:20661}(duplicate,)-|[TCP:options-md5header:b1148b7d70fff5e3dcf14f4938ed8176]-tamper{TCP:options-mss:corrupt}-|",1,['-20']
-20.0,"[TCP:options-timestamp:4275709169]-fragment{tcp:-1:True}(duplicate,)-|[TCP:sport:1223:2]-duplicate-|",1,['-20']
-10.0,[TCP:options-eol:]-tamper{TCP:sport:corrupt}-|[TCP:sport:10519]-tamper{TCP:window:corrupt}-|,1,['-10']
-10.0,"[TCP:dataofs:5]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:options-altchksum:119:0]-tamper{TCP:options-uto:corrupt}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:options-nop:]-duplicate(tamper{TCP:load:corrupt},)-|[TCP:load:__HTTP_REQUEST__]-tamper{TCP:ack:corrupt}-|",1,['-10']
-10.0,"[TCP:window:20]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,['-10']
-10.0,"[TCP:options-md5header:a57b30c5007dc8bf876d6f47553500e2]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-eol:]-tamper{TCP:chksum:replace:14221}-|",1,['-10']
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:chksum:replace:32027}-|,1,['-10']
-10.0,"[TCP:urgptr:57463]-tamper{TCP:load:corrupt}(duplicate(fragment{tcp:-1:True},),)-|",1,['-10']
-10.0,"[TCP:options-sack::0]-duplicate(,tamper{TCP:options-sackok:corrupt})-|[TCP:options-nop:]-duplicate-|",1,['-10']
-10.0,"[TCP:options-altchksum:74]-duplicate(,tamper{TCP:options-sackok:corrupt})-|",1,['-10']
-10.0,"[TCP:options-wscale:10:3]-tamper{TCP:options-timestamp:corrupt}(duplicate(tamper{TCP:window:corrupt},),)-|",1,['-10']
-10.0,"[TCP:options-mss:9225]-duplicate(tamper{TCP:chksum:corrupt},)-|",1,['-10']
-10.0,"[TCP:options-mss:19674:2]-tamper{TCP:urgptr:replace:20303}(duplicate(tamper{TCP:options-altchksum:replace:171},),)-|",1,['-10']
-10.0,"[TCP:urgptr:30444]-duplicate(,tamper{TCP:flags:replace:S})-|",1,['-10']
-10.0,[TCP:ack:350635102]-tamper{TCP:options-sackok:corrupt}-|,1,['-10']
