Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sackok::1]-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:replace:33cc0db2a15ba93f2966b8a597c4ece6}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop::1]-tamper{TCP:ack:replace:2331362652}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:P}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-nop::0]-fragment{ip:-1:False}(fragment{tcp:-1:False},tamper{TCP:options-sackok:replace:})-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:reserved:5]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(tamper{TCP:options-sack:replace:}(drop,),)-|",1,['-1000']
-1000.0,[TCP:options-eol:]-|[TCP:ack:3657187572]-fragment{tcp:-1:True}-|,1,['-1000']
-1000.0,"[TCP:options-eol::0]-fragment{tcp:-1:True:5}(duplicate,)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:seq:replace:2794124592}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:replace:60}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-eol::0]-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-sack:]-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-altchksumopt:]-drop-|,1,['-1000']
