Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-eol:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(tamper{TCP:options-uto:replace:246}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:chksum:51284]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:181},)-|[TCP:options-sackok:]-drop-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:reserved:0]-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-timestamp:35588641]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(tamper{TCP:dataofs:replace:11}(tamper{TCP:options-sackok:corrupt}(drop,),),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:dport:corrupt}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack::0]-|[TCP:options-altchksumopt:]-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:replace:trvd0h4did}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-altchksumopt::0]-|,1,['-1000']
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-md5header:bf7e146540a348539d21c59204aa4653]-duplicate-|,1,['-1000']
-1000.0,"[TCP:sport:49078]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:False},)-|[TCP:options-eol:]-|",1,['-1000']
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-drop-|,1,['-1000']
-1000.0,[TCP:options-eol:]-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,[TCP:options-nop:]-|[TCP:options-sack:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:replace:2}(drop,)-|[TCP:options-altchksumopt::0]-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:replace:2}(tamper{TCP:dataofs:corrupt}(drop,),)-|[TCP:options-altchksumopt::0]-drop-|",1,['-1000']
-1000.0,[TCP:options-nop:]-|[TCP:reserved:4:2]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-mss:replace:59688}(tamper{TCP:options-nop:replace:},)-|[TCP:options-sackok:]-|",1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-nop:]-|,1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:sport:10233]-duplicate-|[TCP:options-eol::0]-duplicate-|,1,['-1000']
-20.0,"[TCP:dataofs:13:3]-tamper{TCP:ack:replace:186931979}(fragment{tcp:-1:False},)-|[TCP:options-altchksum:210]-fragment{tcp:-1:False}-|",1,['-20']
-20.0,[TCP:options-mss:44955]-drop-|[TCP:urgptr:40818]-tamper{TCP:options-wscale:corrupt}-|,1,['-20']
-20.0,"[TCP:seq:2410601796]-fragment{tcp:-1:False}(tamper{TCP:load:corrupt},)-|[TCP:options-uto:16]-duplicate-|",1,['-20']
-20.0,"[TCP:options-md5header:cd54b7bddbc73d65b9660918529d13c9]-duplicate(duplicate,)-|[TCP:options-wscale:100]-fragment{tcp:-1:False}-|",1,['-20']
-20.0,"[TCP:options-md5header:ab631eafaf545859ef72ca81bbd7a2fe]-duplicate(tamper{TCP:chksum:corrupt},)-|[TCP:seq:4027590321]-duplicate-|",1,['-20']
-20.0,"[TCP:chksum:34629]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:dport:24810]-tamper{TCP:sport:corrupt}-|",1,['-20']
-20.0,"[TCP:options-altchksum:7:0]-tamper{TCP:load:replace:}(tamper{TCP:sport:replace:6588},)-|[TCP:dport:50340]-duplicate-|",1,['-20']
-20.0,"[TCP:dport:51500]-tamper{TCP:seq:replace:3380289176}(duplicate(,drop),)-|[TCP:load:__HTTP_REQUEST__]-duplicate-|",1,['-20']
-20.0,[TCP:window:130:2]-drop-|[TCP:urgptr:56412]-duplicate-|,1,['-20']
-20.0,[TCP:dataofs:7]-drop-|[TCP:options-wscale:42]-duplicate-|,1,['-20']
-20.0,[TCP:load:__HTTP_REQUEST__]-drop-|[TCP:sport:15605]-duplicate-|,1,['-20']
-20.0,[TCP:window:100]-drop-|[TCP:sport:53554]-fragment{tcp:-1:True}-|,1,['-20']
-20.0,"[TCP:options-eol::0]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:window:corrupt},)-|[TCP:sport:63659]-tamper{TCP:seq:corrupt}-|",1,['-20']
-20.0,"[TCP:options-sackok::0]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:seq:replace:2069431630},)-|[TCP:seq:2509891901:1]-tamper{TCP:options-uto:replace:202}-|",1,['-20']
-20.0,[TCP:dataofs:13:0]-fragment{tcp:-1:False}-|[TCP:options-wscale:165:1]-fragment{tcp:-1:True}-|,1,['-20']
-20.0,[TCP:dataofs:13:0]-|[TCP:reserved:6]-tamper{TCP:window:corrupt}-|,1,['-20']
-20.0,[TCP:dataofs:13:0]-|[TCP:dataofs:15]-duplicate-|,1,['-20']
-10.0,"[TCP:urgptr:51946]-tamper{TCP:ack:corrupt}(drop,)-|",1,['-10']
