Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-timestamp:1301616119]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:1632463772}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:replace:3887120301}(tamper{TCP:options-timestamp:replace:4088171131}(tamper{TCP:window:replace:180}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:a3zjxk990v}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:options-sack:corrupt}(drop,),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-drop-|[TCP:options-sack::0]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:options-sack:corrupt}-|[TCP:options-nop:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|[TCP:urgptr:63144]-duplicate-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}(drop,)-|[TCP:options-timestamp:2237738192]-tamper{TCP:options-sackok:corrupt}-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:46009}(tamper{TCP:options-altchksum:replace:224}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sack::0]-tamper{TCP:options-altchksum:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:dataofs:replace:6}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-fragment{tcp:-1:True}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:55:False:1}(tamper{TCP:sport:corrupt},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-tamper{TCP:flags:replace:RA}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksum:191]-duplicate-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-mss:replace:29281}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:chksum:replace:26181}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-sack::2]-tamper{TCP:dataofs:replace:9}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:window:70]-fragment{tcp:-1:False}(tamper{TCP:urgptr:corrupt},)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:window:190:3]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:chksum:43720]-fragment{tcp:-1:True:23}(tamper{TCP:dport:replace:18366},)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:replace:4216063307}(tamper{TCP:options-uto:corrupt}(tamper{TCP:options-altchksumopt:replace:}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-sackok::0]-fragment{tcp:2:True:1}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:replace:204}(tamper{TCP:options-mss:replace:7383}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-duplicate(drop,drop)-|",1,[-1000]
-20.0,"[TCP:options-uto:155]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-uto:227]-tamper{TCP:reserved:replace:0}-|",1,[-20]
-20.0,"[TCP:options-mss:11655:2]-tamper{TCP:options-wscale:replace:242}(tamper{TCP:sport:replace:44693},)-|[TCP:ack:2863437684]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-altchksum:124]-duplicate(tamper{TCP:seq:replace:772913322},)-|[TCP:ack:2624592351]-tamper{TCP:window:replace:170}-|",1,[-20]
-20.0,"[TCP:window:150:0]-fragment{tcp:-1:False}(tamper{TCP:reserved:replace:7},)-|[TCP:options-mss:46858]-drop-|",1,[-20]
-20.0,"[TCP:options-timestamp:1846974825]-fragment{tcp:-1:False}(tamper{TCP:reserved:replace:2},)-|[TCP:ack:112726496:2]-tamper{TCP:dport:replace:39307}-|",1,[-20]
-20.0,[TCP:load:__DNS_REQUEST__]-duplicate-|[TCP:options-uto:14]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,"[TCP:flags:F:1]-tamper{TCP:options-wscale:corrupt}(fragment{tcp:-1:False},)-|[TCP:options-md5header:08b5a47304ab1a4099ccb638537a8577]-tamper{TCP:sport:replace:17219}-|",1,[-20]
-20.0,"[TCP:urgptr:25656:2]-fragment{tcp:-1:False}(,duplicate)-|[TCP:urgptr:17937]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:reserved:5]-duplicate(tamper{TCP:options-eol:corrupt},)-|[TCP:reserved:3]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:flags:R]-duplicate(tamper{TCP:sport:replace:45042},)-|[TCP:sport:40729]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:options-timestamp:1841135946]-fragment{tcp:-1:True}(,tamper{TCP:chksum:corrupt})-|[TCP:options-mss:7493]-tamper{TCP:options-sackok:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:SRPAUEN:2]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:window:50]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,[TCP:chksum:57953]-|[TCP:seq:3768533232]-tamper{TCP:options-eol:replace:}-|,1,[-20]
-10.0,"[TCP:options-mss:51494]-fragment{tcp:-1:False}(tamper{TCP:sport:replace:63285},)-|",1,[-10]
-10.0,[TCP:flags:FSPAUE]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:reserved:3]-tamper{TCP:dataofs:replace:5}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:27842:1]-duplicate(duplicate,drop)-|",1,[-10]
-10.0,[TCP:seq:2438380900]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:3]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:52999]-fragment{tcp:-1:False}(,fragment{tcp:-1:True:9})-|",1,[-10]
-10.0,[TCP:reserved:7]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-mss:30185]-duplicate(tamper{TCP:dport:replace:27807},tamper{TCP:ack:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:]-fragment{ip:40:False:20}(,tamper{TCP:urgptr:replace:30311})-|",1,[-10]
-10.0,[TCP:dport:12742]-tamper{TCP:load:replace:xhm78g0xlq}-|,1,[-10]
-10.0,[TCP:seq:3382872656]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-uto:175]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:20652:1]-drop-|,1,[-10]
-10.0,"[TCP:urgptr:51960]-tamper{TCP:options-md5header:replace:49f59c122d966ca39861a75bbd1e2703}(duplicate(tamper{TCP:options-altchksum:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-uto:177]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,[TCP:window:10]-drop-|,1,[-10]
-10.0,[TCP:dport:17808]-tamper{TCP:options-uto:replace:10}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1129488354:0]-tamper{TCP:sport:corrupt}(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:urgptr:19476]-tamper{TCP:options-eol:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:218]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:window:130]-duplicate(duplicate(,fragment{tcp:-1:False:5}),)-|",1,[-10]
-10.0,[TCP:window:10]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:167]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:reserved:5]-tamper{TCP:options-uto:replace:39}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,[TCP:seq:2166606828]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-mss:37746:2]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:seq:1398491237]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:sport:41695]-tamper{TCP:options-altchksumopt:replace:}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:chksum:49790]-tamper{TCP:dataofs:replace:5}(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:2:1]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,[TCP:load:343tfu4rzk:1]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:135]-duplicate(tamper{TCP:reserved:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:34]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-wscale:28]-duplicate(tamper{TCP:options-nop:corrupt}(tamper{TCP:window:replace:170},),)-|",1,[-10]
-10.0,"[TCP:options-eol::1]-duplicate(,duplicate)-|[TCP:dataofs:15:3]-tamper{TCP:load:replace:pm3rcqnoey}-|",1,[-10]
-10.0,[TCP:dataofs:7]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:4]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1440969073]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:238]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:246]-tamper{TCP:options-nop:replace:}(tamper{TCP:seq:replace:1369401568},)-|",1,[-10]
-10.0,[TCP:chksum:41531]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:224:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-wscale:60]-fragment{tcp:-1:False}(,tamper{TCP:options-nop:corrupt}(duplicate,))-|",1,[-10]
-10.0,"[TCP:chksum:64880:1]-fragment{tcp:-1:False}(fragment{tcp:-1:False:39},)-|",1,[-10]
-10.0,"[TCP:seq:3687630883]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-drop-|,1,[-10]
-10.0,"[TCP:seq:1162466348]-duplicate(drop,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:12578]-tamper{TCP:options-wscale:replace:184}(drop,)-|",1,[-10]
-10.0,[TCP:options-mss:2809]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:33df5c5d7d4f683133ff888ed3e1d0e5]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:3209061213]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:ack:replace:538381133},)-|",1,[-10]
-10.0,[TCP:options-altchksum:2:3]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:62299]-fragment{tcp:56:True}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:37425]-fragment{tcp:-1:False}(,tamper{TCP:reserved:corrupt}(tamper{TCP:options-altchksum:replace:136},))-|",1,[-10]
-10.0,"[TCP:flags:F]-duplicate(tamper{TCP:dport:corrupt},tamper{TCP:options-sackok:corrupt})-|",1,[-10]
-10.0,[TCP:dport:20666:4]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:1427922949:1]-fragment{tcp:54:True:32}(drop,)-|",1,[-10]
-10.0,"[TCP:chksum:34995]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:sport:17362:3]-fragment{tcp:-1:True}(,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,"[TCP:dport:35892]-fragment{tcp:-1:False}(tamper{TCP:seq:corrupt}(tamper{TCP:dataofs:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:169]-duplicate(,drop)-|",1,[-10]
-10.0,"[TCP:dataofs:1:4]-tamper{TCP:options-md5header:replace:170ff939c23d3b200f14274363ed724a}(tamper{TCP:options-wscale:replace:22}(tamper{TCP:sport:replace:20197},),)-|",1,[-10]
-10.0,[TCP:sport:22037]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:ack:1467194565]-tamper{TCP:reserved:replace:0}-|,1,[-10]
-10.0,"[TCP:options-mss:32216]-tamper{TCP:window:replace:190}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:sport:corrupt},)-|[TCP:options-uto:201]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:options-wscale:216]-tamper{TCP:dport:replace:31324}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:21a04cb5ec4409e55d961f93017c729b]-fragment{tcp:-1:True}(drop,)-|",1,[-10]
-10.0,"[TCP:window:60]-fragment{tcp:18:False}(,tamper{TCP:flags:corrupt})-|",1,[-10]
-10.0,"[TCP:dport:42546]-tamper{TCP:flags:replace:UN}(tamper{TCP:options-sack:corrupt}(tamper{TCP:ack:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-timestamp:3558399714:4]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:159]-tamper{TCP:chksum:corrupt}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,[TCP:options-md5header:b81cd7ac5319ccfab41de07b9be83356]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:105]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-wscale:179]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-mss:corrupt}(tamper{TCP:options-altchksumopt:replace:},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:55]-duplicate(,drop)-|",1,[-10]
-10.0,"[TCP:load:3awfshisea]-fragment{tcp:-1:False}(,tamper{TCP:options-md5header:corrupt})-|",1,[-10]
-10.0,[TCP:options-md5header:a53cab41414c0598cee8df4324601bdb]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-md5header:7f7a92b0d1e1e684e44c178742585c72]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:options-mss:1160]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:47:0]-tamper{TCP:window:corrupt}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:10]-fragment{tcp:-1:True}(,tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,"[TCP:options-uto:107]-fragment{ip:-1:False}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-mss:40633]-fragment{tcp:-1:True}(,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,"[TCP:chksum:7624]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:options-altchksumopt:replace:},)-|",1,[-10]
-10.0,"[TCP:dport:5406:3]-fragment{tcp:-1:False}(,tamper{TCP:window:corrupt})-|",1,[-10]
-10.0,"[TCP:options-sack::0]-fragment{tcp:-1:False}(tamper{TCP:urgptr:corrupt}(tamper{TCP:options-nop:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-mss:16772]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:options-mss:47145]-duplicate(tamper{TCP:options-mss:replace:41104},)-|",1,[-10]
-10.0,"[TCP:options-mss:30790:1]-tamper{TCP:options-timestamp:replace:3347431114}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:8428]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:23:True:11},)-|",1,[-10]
-10.0,"[TCP:urgptr:32491]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:load:uhxcgs2kmp]-fragment{tcp:-1:True}(tamper{TCP:options-uto:replace:20},)-|",1,[-10]
-10.0,[TCP:seq:3513514164]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:sport:2396:4]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:flags:FCN]-drop-|,1,[-10]
-10.0,[TCP:options-eol::0]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:12546]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:flags:FRE]-tamper{TCP:options-altchksum:replace:47}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-md5header:replace:2409b6414a6c885dad86b70f51b5ac42}(drop,)-|",1,[-10]
-10.0,"[TCP:dport:58639]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-10]
