Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:options-uto:replace:3}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-fragment{tcp:-1:True}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:150}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:12]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:A}(drop,)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-eol:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:chksum:replace:61462}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:127}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-uto:142]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:corrupt}(tamper{TCP:reserved:replace:7}(drop,),)-|",1,[-1000]
-1000.0,[TCP:flags:PA]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:replace:120}(tamper{TCP:options-sack:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:replace:46975}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksum:101:0]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:flags:FA]-tamper{TCP:ack:replace:1076694180}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-fragment{tcp:-1:True}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:31830}(tamper{TCP:options-timestamp:replace:2300559260}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dport:49982:0]-tamper{TCP:dport:replace:25784}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-altchksum:corrupt}(duplicate(fragment{tcp:-1:False}(,fragment{tcp:-1:False}),),)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:replace:194}(drop,)-|",1,[-1000]
-20.0,"[TCP:load:]-duplicate(duplicate,)-|[TCP:options-md5header:b2959006382c5dbc9813b938f410da3c:4]-tamper{TCP:options-wscale:replace:58}-|",1,[-20]
-20.0,"[TCP:dataofs:13]-duplicate(,drop)-|[TCP:options-md5header:8b2a716a1d348dd11c95bf4386e71524]-duplicate-|",1,[-20]
-20.0,"[TCP:dataofs:3]-duplicate(duplicate,)-|[TCP:options-wscale:169]-duplicate-|",1,[-20]
-20.0,[TCP:urgptr:18456]-drop-|[TCP:window:190:3]-duplicate-|,1,[-20]
-20.0,"[TCP:dport:10761]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:urgptr:corrupt},)-|[TCP:sport:24997]-duplicate-|",1,[-20]
