Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-timestamp:1981857067]-tamper{TCP:dataofs:corrupt}(drop,)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-tamper{TCP:sport:corrupt}-|[TCP:reserved:0:1]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksum:244]-tamper{TCP:flags:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:urgptr:22488]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-tamper{TCP:seq:replace:866019839}-|[TCP:options-eol::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:replace:6}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-tamper{TCP:chksum:replace:56970}-|[TCP:flags:PA]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:46374}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:ack:corrupt}(tamper{TCP:options-nop:replace:},)-|[TCP:reserved:0:0]-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(duplicate(tamper{TCP:chksum:replace:35409},),tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:True},))-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(duplicate,fragment{tcp:-1:True})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:seq:replace:1331763454}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:replace:148}(tamper{TCP:options-altchksum:replace:15}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-drop-|[TCP:options-md5header:e0c8466bdbf0dddf527dedd74c915ab6]-duplicate(tamper{TCP:options-uto:corrupt},tamper{TCP:options-mss:replace:9450})-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:corrupt}(duplicate(drop,drop),)-|",1,[-1000]
-1000.0,"[TCP:sport:59360]-tamper{TCP:options-nop:corrupt}(fragment{tcp:29:True},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:urgptr:54422]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-timestamp:657631150]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-timestamp:657631150]-fragment{ip:-1:False:49}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:urgptr:49118]-fragment{tcp:-1:False}(tamper{TCP:dport:replace:2489},)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:dport:41487]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:flags:R]-duplicate(tamper{TCP:urgptr:corrupt},tamper{TCP:options-timestamp:corrupt})-|",1,[-1000]
-1000.0,"[TCP:dport:57251:2]-duplicate(tamper{TCP:options-timestamp:corrupt},tamper{TCP:urgptr:corrupt})-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-timestamp:958896490]-tamper{TCP:seq:replace:447093519}(fragment{tcp:-1:False},)-|",1,[-1000]
-1000.0,"[TCP:window:20]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-20.0,"[TCP:urgptr:8069:0]-duplicate(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:options-md5header:4f7ab3744faabdb79d212597351206ab]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:2667582070]-duplicate(tamper{TCP:options-sackok:replace:},)-|[TCP:ack:3484599547]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:47596]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|[TCP:dport:57813:1]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:127:3]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:chksum:19517:3]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:options-timestamp:917779170]-duplicate(,tamper{TCP:window:replace:70})-|[TCP:options-uto:33]-tamper{TCP:reserved:replace:2}-|",1,[-20]
-20.0,[TCP:options-md5header:5dbab0e12bd8b65917a5b26c3076c717:1]-duplicate-|[TCP:options-sackok::0]-duplicate-|,1,[-20]
-20.0,"[TCP:reserved:5]-fragment{tcp:-1:True}(,tamper{TCP:options-sack:corrupt})-|[TCP:sport:37974]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:options-timestamp:1175874556]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:False},)-|[TCP:reserved:6:3]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:flags:RA:4]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-uto:239]-tamper{TCP:window:replace:60}-|",1,[-20]
-20.0,"[TCP:sport:55960]-duplicate(duplicate,)-|[TCP:ack:998201101]-tamper{TCP:options-nop:corrupt}-|",1,[-20]
-20.0,"[TCP:options-wscale:214:3]-fragment{tcp:-1:True}(tamper{TCP:flags:replace:SPAUEN},)-|[TCP:options-mss:53551]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-uto:99]-tamper{TCP:options-eol:corrupt}(duplicate,)-|[TCP:sport:33544]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:573842648]-duplicate(,duplicate)-|[TCP:dport:30538]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:44009]-tamper{TCP:options-nop:replace:}(duplicate,)-|[TCP:dataofs:1]-duplicate-|",1,[-20]
-20.0,[TCP:options-wscale:108]-drop-|[TCP:urgptr:7442]-tamper{TCP:options-uto:replace:46}-|,1,[-20]
-20.0,"[TCP:dport:10037]-tamper{TCP:flags:corrupt}(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:sport:60406]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:load:fvzoca7tky:2]-tamper{TCP:urgptr:replace:6185}(tamper{TCP:options-wscale:replace:35},)-|[TCP:ack:2663884327]-tamper{TCP:options-timestamp:replace:3561565067}-|",1,[-20]
-20.0,[TCP:dport:51552]-|[TCP:dataofs:5]-duplicate-|,1,[-20]
-20.0,[TCP:options-mss:54865]-|[TCP:options-uto:218]-tamper{TCP:options-sack:replace:}-|,1,[-20]
-10.0,"[TCP:options-mss:13950:2]-tamper{TCP:options-timestamp:replace:4093051657}(fragment{tcp:-1:True}(tamper{TCP:chksum:corrupt},),)-|",1,[-10]
-10.0,[TCP:dataofs:9]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:29509]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:False},)-|[TCP:reserved:4]-drop-|",1,[-10]
-10.0,"[TCP:options-mss:61581]-tamper{TCP:seq:replace:1468424535}(tamper{TCP:seq:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:35778]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:A]-fragment{tcp:-1:True}(tamper{TCP:flags:replace:F},)-|",1,[-10]
-10.0,"[TCP:options-wscale:16]-tamper{TCP:urgptr:replace:20156}(tamper{TCP:ack:corrupt}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,[TCP:sport:12110]-tamper{TCP:options-wscale:replace:243}-|,1,[-10]
-10.0,"[TCP:options-altchksum:199:4]-tamper{TCP:seq:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:seq:2941634202]-fragment{ip:-1:False}-|,1,[-10]
-10.0,[TCP:dataofs:14]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:options-mss:15569]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:47]-duplicate(duplicate,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:sport:9258]-tamper{TCP:options-altchksum:replace:48}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:17844]-drop-|,1,[-10]
-10.0,"[TCP:options-sack::0]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:44274]-fragment{tcp:-1:False}(drop,drop)-|",1,[-10]
-10.0,[TCP:chksum:20596]-drop-|,1,[-10]
-10.0,"[TCP:reserved:7]-tamper{TCP:urgptr:replace:1855}(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:56568]-tamper{TCP:reserved:replace:5}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:31708]-duplicate(,tamper{TCP:options-mss:replace:9701}(tamper{TCP:window:replace:110},))-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-uto:216]-tamper{TCP:options-uto:replace:173}(tamper{TCP:chksum:replace:18474},)-|",1,[-10]
-10.0,[TCP:dataofs:9]-tamper{TCP:sport:replace:24901}-|,1,[-10]
-10.0,"[TCP:options-mss:34373]-duplicate(,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:reserved:replace:3}(drop,)-|",1,[-10]
-10.0,[TCP:seq:3918814315]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:105:0]-fragment{tcp:-1:True}(fragment{tcp:-1:False}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:seq:1556072721]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,"[TCP:chksum:36019:3]-tamper{TCP:ack:replace:1958466538}(tamper{TCP:options-eol:corrupt},)-|",1,[-10]
-10.0,[TCP:ack:1756932788:0]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:180]-fragment{tcp:-1:True}(,tamper{TCP:options-timestamp:replace:827265388}(duplicate,))-|",1,[-10]
-10.0,"[TCP:chksum:50110:3]-fragment{tcp:-1:False}(drop,)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__:1]-duplicate(fragment{ip:-1:False},)-|",1,[-10]
-10.0,[TCP:flags:]-duplicate-|,1,[-10]
-10.0,[TCP:seq:2780068154]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:bff50a9af0850c73036f7b4e269cbe42]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:urgptr:43690]-fragment{tcp:31:True:6}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-wscale:81]-fragment{tcp:-1:True}(fragment{tcp:-1:False}(tamper{TCP:reserved:corrupt},),)-|",1,[-10]
-10.0,"[TCP:window:180]-tamper{TCP:window:replace:110}(drop,)-|[TCP:options-eol::1]-duplicate-|",1,[-10]
-10.0,"[TCP:window:50:4]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(,tamper{TCP:window:corrupt})-|",1,[-10]
-10.0,[TCP:urgptr:57711:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-altchksum:68]-fragment{tcp:-1:True}(tamper{TCP:options-altchksumopt:corrupt},tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,[TCP:ack:1870426745]-drop-|,1,[-10]
-10.0,"[TCP:flags:FRUE]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:dataofs:3]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:sport:47398]-duplicate(drop,tamper{TCP:options-altchksumopt:replace:})-|",1,[-10]
-10.0,"[TCP:options-timestamp:4263038344]-fragment{tcp:-1:True}(tamper{TCP:options-mss:replace:53948},duplicate)-|",1,[-10]
-10.0,"[TCP:dataofs:4]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-timestamp:replace:1407959328},)-|",1,[-10]
-10.0,[TCP:chksum:17185]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,[TCP:seq:3893744635]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:175:0]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:dataofs:replace:14},)-|",1,[-10]
-10.0,[TCP:dataofs:4:3]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:40514]-duplicate(,tamper{TCP:dport:corrupt})-|",1,[-10]
-10.0,[TCP:urgptr:673]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:149]-tamper{TCP:chksum:replace:44668}(fragment{tcp:-1:True}(duplicate(tamper{TCP:options-mss:corrupt},),),)-|",1,[-10]
-10.0,"[TCP:options-wscale:196]-tamper{TCP:ack:corrupt}(tamper{TCP:chksum:replace:15251},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3046237221]-tamper{TCP:seq:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:13:1]-fragment{tcp:-1:True}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:54144]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:7]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:dport:20104]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:9535]-tamper{TCP:load:replace:__DNS_REQUEST__}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FSR]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:False}(duplicate(,fragment{tcp:-1:False}),),)-|",1,[-10]
-10.0,"[TCP:options-md5header:3b1beb5e047e543d8961adc2b6134da7]-tamper{TCP:dport:corrupt}(tamper{TCP:dataofs:corrupt},)-|",1,[-10]
-10.0,[TCP:reserved:5]-tamper{TCP:sport:replace:39523}-|,1,[-10]
-10.0,"[TCP:options-altchksum:169]-tamper{TCP:options-md5header:replace:b293b5050930597f6e5e1f2a0ba5ce67}(duplicate(tamper{TCP:options-uto:corrupt},),)-|",1,[-10]
-10.0,[TCP:window:130]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:2687628448]-duplicate(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-timestamp:replace:2945158083}(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,[TCP:window:150]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,"[TCP:dataofs:9]-duplicate(fragment{tcp:-1:False:17},)-|",1,[-10]
