Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:27}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dataofs:replace:8}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-sackok:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-nop::2]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:replace:39}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-nop:replace:}(tamper{TCP:options-wscale:replace:100}(drop,),),)-|",1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-uto:replace:139}(tamper{TCP:options-md5header:replace:c4d661d89e828042369eddf2217ec7d9}(tamper{TCP:reserved:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:load:uzfsxeis65]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:36807}(tamper{TCP:sport:replace:13577}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-wscale:27]-fragment{tcp:-1:True}-|[TCP:options-sack::0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:ack:replace:3938163012}(tamper{TCP:reserved:replace:3},)-|[TCP:options-eol::2]-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:replace:9}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-timestamp:2463772015]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:dataofs:4]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-tamper{TCP:reserved:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-md5header:56ce687581fbf08c5300d8b4b6f1d9af]-tamper{TCP:sport:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-altchksum:200:3]-duplicate(tamper{TCP:load:corrupt},)-|",1,[-1000]
-1000.0,[TCP:options-md5header:a3236d253fc6d9722422688e6416b54b]-tamper{TCP:options-uto:corrupt}-|[TCP:options-nop:]-|,1,[-1000]
