Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-mss:10426]-tamper{TCP:window:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::3]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:flags:SRPEC:0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok::2]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:window:190]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-|[TCP:options-timestamp:558170328]-tamper{TCP:options-eol:replace:}-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-eol::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:replace:1533156465}(tamper{TCP:options-timestamp:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::1]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-md5header:d84051fa988c62b98644e452a4e08acd]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,tamper{TCP:dataofs:corrupt}(drop,))-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:window:130]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:corrupt}(tamper{TCP:chksum:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:57:True:14}(tamper{TCP:reserved:replace:4}(tamper{TCP:options-eol:corrupt},),)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:dataofs:replace:5}(duplicate,),)-|[TCP:options-sackok:]-tamper{TCP:urgptr:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:corrupt}(tamper{TCP:chksum:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|[TCP:chksum:22151]-tamper{TCP:dport:corrupt}-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:ack:2842436637]-tamper{TCP:load:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:urgptr:corrupt}(drop,)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-sackok:]-tamper{TCP:dport:replace:37936}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-uto:124:4]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-fragment{ip:-1:False}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt::0]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:11]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:urgptr:31656]-tamper{TCP:sport:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:11]-tamper{TCP:chksum:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:dataofs:11]-tamper{TCP:options-eol:corrupt}(fragment{tcp:-1:True},)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:11]-tamper{TCP:options-mss:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:11]-tamper{TCP:load:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:11]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-20.0,[TCP:flags:SRUC]-drop-|[TCP:flags:F]-duplicate-|,1,[-20]
-20.0,"[TCP:options-mss:56169]-tamper{TCP:options-md5header:replace:c1e6da31d8beceaa21494b565a68b308}(duplicate,)-|[TCP:options-wscale:97]-drop-|",1,[-20]
-20.0,[TCP:options-mss:22758]-drop-|[TCP:options-uto:103:4]-duplicate-|,1,[-20]
-20.0,"[TCP:options-wscale:249]-tamper{TCP:ack:replace:210200176}(tamper{TCP:options-wscale:corrupt},)-|[TCP:options-timestamp:978297792]-drop-|",1,[-20]
-20.0,"[TCP:options-wscale:108]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:chksum:30248]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-20.0,"[TCP:options-wscale:202:2]-tamper{TCP:seq:corrupt}(duplicate,)-|[TCP:options-mss:33971]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-wscale:117]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:False},)-|[TCP:dport:54772]-duplicate-|",1,[-20]
-20.0,"[TCP:load:w04s8eqh26]-tamper{TCP:seq:replace:1721457456}(tamper{TCP:flags:replace:FSREC},)-|[TCP:options-timestamp:1120555061]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:1563480842:0]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-uto:251]-duplicate-|",1,[-20]
-20.0,"[TCP:seq:3830615160:3]-fragment{tcp:-1:False}(,tamper{TCP:options-altchksum:corrupt})-|[TCP:chksum:60608]-duplicate-|",1,[-20]
-20.0,"[TCP:options-altchksum:243]-fragment{tcp:-1:False}(drop,)-|[TCP:options-md5header:09ac05638a44862365763865bb31704b:0]-drop-|",1,[-20]
-20.0,"[TCP:sport:14978]-tamper{TCP:sport:corrupt}(tamper{TCP:options-mss:replace:27300},)-|[TCP:options-md5header:e48186fbb07fe8e801897bd7c878ac37]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:36221]-tamper{TCP:flags:corrupt}(tamper{TCP:options-nop:corrupt},)-|[TCP:sport:48102:2]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:P]-tamper{TCP:window:corrupt}(duplicate,)-|[TCP:options-md5header:5c1c5575505e1d7351624d7d17a84750]-drop-|",1,[-20]
-20.0,"[TCP:options-timestamp:3877114824]-tamper{TCP:options-md5header:replace:a01b8bf138e304b129313b241e933ddc}(duplicate,)-|[TCP:options-altchksum:244]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-uto:130:2]-fragment{tcp:-1:True}(duplicate(tamper{TCP:options-nop:replace:},),)-|[TCP:load:48umlq0idq:1]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:15709:0]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-uto:replace:29}(fragment{tcp:-1:False},),)-|[TCP:reserved:1:2]-tamper{TCP:options-md5header:replace:0607904799c0616ae8d74581f469a889}-|",1,[-20]
-20.0,[TCP:ack:2374375824:3]-|[TCP:options-wscale:98]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,[TCP:options-timestamp:3549363068]-|[TCP:reserved:5]-fragment{tcp:-1:True}-|,1,[-20]
-10.0,[TCP:options-md5header:7dfb5dbe04efb7d3d1d3424a3dff4f4f]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-uto:20]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-uto:126]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-timestamp:replace:3522148060},)-|",1,[-10]
-10.0,"[TCP:options-md5header:d28cd5aac0fdccdf80ec8a11add8d73a]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:52892:4]-tamper{TCP:options-uto:replace:6}(tamper{TCP:flags:corrupt}(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,[TCP:dport:62005]-drop-|,1,[-10]
-10.0,[TCP:dport:15114]-duplicate-|,1,[-10]
-10.0,"[TCP:chksum:5665]-duplicate(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:ack:replace:1075139724}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:36]-duplicate(tamper{TCP:options-md5header:replace:fe008948b30436a90c12837fea9c8652},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3115664460]-tamper{TCP:load:replace:}(tamper{TCP:dataofs:corrupt},)-|[TCP:options-altchksumopt:]-duplicate-|",1,[-10]
-10.0,"[TCP:dataofs:8]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:dport:corrupt}(tamper{TCP:options-mss:corrupt},),)-|",1,[-10]
-10.0,[TCP:reserved:5]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:flags:PA]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-uto:corrupt},)-|[TCP:options-altchksum:141]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:dataofs:14]-duplicate(,duplicate)-|",1,[-10]
