Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:seq:645106847]-tamper{TCP:options-uto:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-mss:19327]-tamper{TCP:dport:replace:62291}(fragment{tcp:-1:False},)-|[TCP:options-altchksumopt::1]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:58484}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:window:corrupt}(tamper{TCP:window:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:options-timestamp:2613572285]-tamper{TCP:reserved:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-wscale:94:4]-tamper{TCP:reserved:corrupt}-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-nop::0]-tamper{TCP:options-wscale:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-nop::0]-duplicate(tamper{TCP:options-nop:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:flags:S]-duplicate(tamper{TCP:window:corrupt},duplicate)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-nop::0]-tamper{TCP:sport:replace:32434}-|,1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-nop::0]-tamper{TCP:urgptr:corrupt}-|[TCP:options-nop:]-drop-|,1,[-1000]
