Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:dport:13321]-fragment{ip:-1:True}-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:replace:21953}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:sport:replace:36420}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:seq:3874771336]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:replace:19203}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:urgptr:replace:43977}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:ack:2250685489]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:reserved:3]-tamper{TCP:options-nop:replace:}(duplicate(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:urgptr:31314]-fragment{tcp:-1:False}(duplicate,duplicate)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dataofs:4]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(tamper{TCP:urgptr:replace:43977}(drop,),)-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-md5header:56cbd2b77e561bd8ad339058bb7ae1c5]-tamper{TCP:ack:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:corrupt}(tamper{TCP:options-wscale:replace:31}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:replace:1653068873}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:urgptr:23621]-tamper{TCP:options-nop:replace:}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-mss:replace:60417}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:replace:f40a5e4e77ce4a56e2095e72de851aea}(drop,)-|",1,[-1000]
-20.0,[TCP:seq:2084008810]-drop-|[TCP:sport:52873]-fragment{tcp:-1:False}-|,1,[-20]
-20.0,"[TCP:window:10:0]-fragment{tcp:-1:True}(tamper{TCP:options-uto:replace:119},)-|[TCP:chksum:16604]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:dport:63504:0]-duplicate(,duplicate)-|[TCP:reserved:3:0]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:reserved:7]-tamper{TCP:ack:corrupt}(tamper{TCP:options-sackok:corrupt},)-|[TCP:load:31on8a0rqz]-duplicate-|",1,[-20]
-20.0,[TCP:options-altchksum:83]-drop-|[TCP:dataofs:1]-tamper{TCP:chksum:corrupt}-|,1,[-20]
-20.0,"[TCP:chksum:35634]-duplicate(tamper{TCP:options-timestamp:replace:1971996999},)-|[TCP:chksum:63823:1]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,"[TCP:options-md5header:32d523efc89f39847b078a958b76b65e]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:options-altchksum:replace:160},)-|[TCP:options-uto:85]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:22460]-tamper{TCP:reserved:corrupt}(duplicate,)-|[TCP:options-uto:149:4]-drop-|",1,[-20]
-20.0,"[TCP:sport:19167:4]-tamper{TCP:options-sack:replace:}(duplicate,)-|[TCP:options-md5header:192dd97c169fdca8534c262c5532560b:3]-tamper{TCP:options-altchksum:replace:4}-|",1,[-20]
-20.0,[TCP:options-uto:246]-|[TCP:sport:24633]-tamper{TCP:load:replace:__HTTP_REQUEST__}-|,1,[-20]
-10.0,[TCP:options-wscale:214]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dataofs:1]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:sport:3311]-duplicate(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:2619]-duplicate(fragment{tcp:-1:False},duplicate)-|",1,[-10]
-10.0,[TCP:reserved:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:209:2]-duplicate(duplicate,tamper{TCP:options-eol:corrupt})-|",1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:dport:replace:38092}(duplicate,)-|[TCP:options-timestamp:1955957809]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:reserved:2:0]-duplicate(fragment{tcp:-1:False},tamper{TCP:flags:replace:FSPAEN})-|",1,[-10]
