Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-md5header:8256ce6c1ace6cd3fd2521e5586421ea]-tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-altchksumopt::2]-drop-|",1,[-1000]
-1000.0,"[TCP:load:]-duplicate(tamper{TCP:sport:corrupt},)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,"[TCP:flags:FSRPAUN]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(drop,drop)-|[TCP:options-altchksumopt::0]-tamper{TCP:options-sack:replace:}-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:reserved:replace:7}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:3376387468}(tamper{TCP:window:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:33}(drop,)-|",1,[-1000]
-1000.0,"[TCP:seq:2600075837:2]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:dataofs:replace:2},)-|[TCP:options-eol:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-uto:201]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:chksum:21765]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:corrupt}(drop,)-|[TCP:options-uto:201]-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:replace:325332575}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:ack:3501048892:0]-tamper{TCP:sport:replace:58510}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:83}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,[TCP:reserved:7]-tamper{TCP:seq:corrupt}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-uto:167]-tamper{TCP:options-mss:replace:12862}(tamper{TCP:dport:corrupt},)-|",1,[-1000]
