saddr,len,payloadlen,flags,validation_type
104.160.72.135,44,0,18,1
3.214.163.75,44,0,18,1
184.29.169.96,44,0,18,1
192.99.203.241,44,0,18,1
50.111.15.152,44,0,18,1
51.91.93.235,44,0,18,1
154.205.200.9,44,0,18,1
23.22.230.3,44,0,18,1
185.49.234.78,44,0,18,1
199.232.182.102,44,0,18,1
172.64.169.234,44,0,18,1
23.198.174.208,44,0,18,1
64.29.167.29,44,0,18,1
45.89.207.213,44,0,18,1
107.187.180.196,44,0,18,1
200.37.97.36,44,0,18,1
194.103.235.163,44,0,18,1
119.245.189.124,44,0,18,1
52.84.55.41,44,0,18,1
181.225.59.30,44,0,18,1
54.86.184.39,44,0,18,1
89.22.121.2,44,0,18,1
54.171.242.79,44,0,18,1
190.83.149.59,44,0,18,1
124.108.39.138,44,0,18,1
180.6.115.4,44,0,18,1
54.95.250.187,44,0,18,1
195.201.103.173,44,0,18,1
34.224.239.246,44,0,18,1
35.227.160.231,44,0,18,1
147.92.240.182,44,0,18,1
66.98.18.188,44,0,18,1
121.178.80.188,44,0,18,1
213.155.157.108,44,0,18,1
150.60.4.26,44,0,18,1
223.111.249.160,44,0,18,1
142.252.129.70,44,0,18,1
117.222.190.203,44,0,18,1
206.232.5.34,44,0,18,1
115.174.75.40,52,0,16,1
115.174.75.40,718,666,24,1
18.244.152.207,44,0,18,1
54.83.28.80,44,0,18,1
23.219.24.151,44,0,18,1
13.232.94.4,44,0,18,1
78.94.20.90,44,0,18,1
34.200.209.183,44,0,18,1
104.100.213.40,44,0,18,1
23.202.146.127,44,0,18,1
153.122.66.206,44,0,18,1
154.91.115.75,44,0,18,1
126.147.253.92,44,0,18,1
168.235.94.112,44,0,18,1
23.58.104.241,44,0,18,1
27.254.159.50,77,37,18,1
96.6.36.229,44,0,18,1
95.168.198.123,44,0,18,1
18.165.118.93,44,0,18,1
104.251.216.106,44,0,18,1
77.55.141.67,44,0,18,1
186.57.99.140,44,0,18,1
